GMID,Name,School,Year,Grade,AST,PercATrans,PercARim,PercA2PJ,PercA3P,PercADunks,TO,PercTOFoul,PercTOStea,PercTOMisc
14718,Jeffery Middlebrooks,Alabama State,2009,So,58,24.14%,27.59%,18.97%,53.45%,1.72%,34,2.94%,55.88%,41.18%
14724,Sekari Milligen,Alabama State,2009,So,10,40.00%,50.00%,0.00%,50.00%,0.00%,18,5.56%,55.56%,38.89%
14727,Tramyne Moorer,Alabama State,2009,Jr,21,33.33%,52.38%,9.52%,38.10%,0.00%,65,12.31%,40.00%,47.69%
14717,Jadarren Mumpfield,Alabama State,2009,Jr,13,7.69%,15.38%,38.46%,46.15%,0.00%,10,0.00%,40.00%,60.00%
14721,Menji Mundadi,Alabama State,2009,Sr,21,47.62%,47.62%,28.57%,23.81%,23.81%,46,8.70%,47.83%,43.48%
14722,Robert Sanders,Alabama State,2009,Jr,13,15.38%,23.08%,7.69%,69.23%,7.69%,30,13.33%,46.67%,40.00%
14712,A.J. Spencer,Alabama State,2009,Jr,94,30.85%,29.79%,31.91%,38.30%,6.38%,45,4.44%,53.33%,42.22%
14407,Byron Walker,Alabama State,2009,Sr,12,16.67%,33.33%,16.67%,50.00%,0.00%,35,8.57%,42.86%,48.57%
14723,Ryan Watts,Alabama State,2009,Fr,10,40.00%,30.00%,20.00%,40.00%,10.00%,16,0.00%,37.50%,62.50%
14716,Ivory White,Alabama State,2009,So,18,16.67%,27.78%,22.22%,50.00%,0.00%,19,0.00%,57.89%,42.11%
5496,Anthony Brock,Alabama,2009,Sr,70,35.71%,51.43%,14.29%,34.29%,18.57%,37,5.41%,64.86%,29.73%
5502,Greg Cage,Alabama,2009,Sr,0,NA,NA,NA,NA,NA,0,NA,NA,NA
5498,Charvez Davis,Alabama,2009,Jr,20,45.00%,20.00%,60.00%,20.00%,0.00%,21,0.00%,61.90%,38.10%
44725,Chris Dixon,Alabama,2009,Fr,0,NA,NA,NA,NA,NA,0,NA,NA,NA
5497,Ben Eblen,Alabama,2009,Fr,11,27.27%,36.36%,9.09%,54.55%,18.18%,10,0.00%,50.00%,50.00%
2187,JaMychal Green,Alabama,2009,So,30,30.00%,30.00%,33.33%,36.67%,6.67%,77,11.69%,35.06%,53.25%
2356,Senario Hillman,Alabama,2009,Jr,61,32.79%,57.38%,18.03%,24.59%,14.75%,60,0.00%,46.67%,53.33%
5499,Chris Hines,Alabama,2009,Jr,12,33.33%,50.00%,8.33%,41.67%,25.00%,39,17.95%,38.46%,43.59%
5503,Justin Knox,Alabama,2009,Jr,21,33.33%,47.62%,9.52%,42.86%,9.52%,32,21.88%,34.38%,43.75%
5504,Justin Luquire,Alabama,2009,Sr,0,NA,NA,NA,NA,NA,0,NA,NA,NA
5506,Tony Mitchell,Alabama,2009,Fr,16,43.75%,50.00%,31.25%,18.75%,0.00%,20,15.00%,45.00%,40.00%
5495,Andrew Steele,Alabama,2009,RS-So,7,28.57%,42.86%,28.57%,28.57%,14.29%,9,11.11%,66.67%,22.22%
5505,Mikhail Torrance,Alabama,2009,Sr,149,40.94%,40.27%,19.46%,40.27%,16.78%,84,7.14%,50.00%,42.86%
17582,Billy Allen,Albany,2009,So,14,35.71%,28.57%,14.29%,57.14%,7.14%,12,0.00%,41.67%,58.33%
17596,Tim Ambrose,Albany,2009,Jr,82,26.83%,34.15%,28.05%,37.80%,1.22%,93,13.98%,62.37%,23.66%
17590,Logan Aronhalt,Albany,2009,Fr,18,22.22%,0.00%,22.22%,77.78%,0.00%,36,8.33%,47.22%,44.44%
17591,Louis Barraza,Albany,2009,Jr,0,NA,NA,NA,NA,NA,4,0.00%,50.00%,50.00%
17593,Mike Black,Albany,2009,Fr,67,31.34%,34.33%,19.40%,46.27%,2.99%,65,12.31%,43.08%,44.62%
17584,Brett Gifford,Albany,2009,Sr,18,5.56%,44.44%,22.22%,33.33%,5.56%,28,10.71%,32.14%,57.14%
4414,Will Harris,Albany,2009,Sr,27,11.11%,37.04%,37.04%,25.93%,0.00%,50,26.00%,34.00%,40.00%
17592,Mike Johnson,Albany,2009,Sr,51,39.22%,33.33%,25.49%,41.18%,3.92%,38,13.16%,47.37%,39.47%
17588,Jake Lindfors,Albany,2009,RS-Fr,1,0.00%,0.00%,100.00%,0.00%,0.00%,10,0.00%,50.00%,50.00%
17595,Scotty McRae,Albany,2009,Sr,21,9.52%,42.86%,19.05%,33.33%,4.76%,40,17.50%,55.00%,27.50%
17583,Blake Metcalf,Albany,2009,Fr,10,30.00%,60.00%,10.00%,30.00%,0.00%,23,17.39%,52.17%,30.43%
17585,Derrek Tartt,Albany,2009,Fr,17,29.41%,23.53%,11.76%,64.71%,5.88%,26,11.54%,65.38%,23.08%
17586,Fran Urli,Albany,2009,Jr,14,14.29%,42.86%,28.57%,28.57%,0.00%,26,3.85%,50.00%,46.15%
14783,Corey Anthony,Alcorn State,2009,So,6,0.00%,33.33%,50.00%,16.67%,0.00%,19,0.00%,31.58%,68.42%
14785,Derrick Blackwell,Alcorn State,2009,Jr,33,39.39%,39.39%,30.30%,30.30%,6.06%,44,6.82%,47.73%,45.45%
14786,Gifford Blakely,Alcorn State,2009,RS-Sr,0,NA,NA,NA,NA,NA,2,0.00%,50.00%,50.00%
9460,Jonathan Boyd,Alcorn State,2009,RS-Sr,30,30.00%,36.67%,30.00%,33.33%,6.67%,60,1.67%,46.67%,51.67%
14795,Tony Eackles,Alcorn State,2009,Fr,7,42.86%,28.57%,42.86%,28.57%,0.00%,33,15.15%,66.67%,18.18%
14787,Ian Francis,Alcorn State,2009,Fr,19,26.32%,31.58%,31.58%,36.84%,5.26%,59,6.78%,50.85%,42.37%
14789,JaMarkus Holt,Alcorn State,2009,RS-Sr,14,28.57%,50.00%,14.29%,35.71%,0.00%,53,13.21%,39.62%,47.17%
14794,Shauvanta Ingram,Alcorn State,2009,Fr,14,50.00%,50.00%,35.71%,14.29%,14.29%,32,3.13%,62.50%,34.38%
14793,Michael Martin,Alcorn State,2009,Fr,4,0.00%,75.00%,0.00%,25.00%,0.00%,10,20.00%,10.00%,70.00%
14788,Jamar Ragland,Alcorn State,2009,Fr,8,37.50%,37.50%,12.50%,50.00%,0.00%,19,10.53%,68.42%,21.05%
14782,Brandon Rogers,Alcorn State,2009,RS-Sr,22,31.82%,18.18%,31.82%,50.00%,0.00%,59,6.78%,40.68%,52.54%
14781,Alex Savannah,Alcorn State,2009,So,20,20.00%,50.00%,20.00%,30.00%,20.00%,28,7.14%,67.86%,25.00%
14790,Keith Searcy,Alcorn State,2009,Fr,29,41.38%,31.03%,20.69%,48.28%,6.90%,91,5.49%,46.15%,48.35%
14792,Michael Starks,Alcorn State,2009,Fr,1,0.00%,100.00%,0.00%,0.00%,0.00%,19,5.26%,31.58%,63.16%
16942,Mike Bersch,American University,2009,Fr,6,16.67%,16.67%,66.67%,16.67%,0.00%,8,25.00%,50.00%,25.00%
16939,Jordan Borucki,American University,2009,Fr,0,NA,NA,NA,NA,NA,0,NA,NA,NA
16935,Daniel Fisher,American University,2009,Fr,5,0.00%,60.00%,20.00%,20.00%,0.00%,3,0.00%,66.67%,33.33%
16944,Riley Grafft,American University,2009,So,20,5.00%,35.00%,25.00%,40.00%,0.00%,46,15.22%,54.35%,30.43%
16943,Nick Hendra,American University,2009,Jr,74,14.86%,50.00%,27.03%,22.97%,5.41%,78,10.26%,50.00%,39.74%
16938,Joe Hill (2),American University,2009,So,12,8.33%,50.00%,16.67%,33.33%,8.33%,9,0.00%,66.67%,33.33%
16937,Jeff Holton,American University,2009,Fr,0,NA,NA,NA,NA,NA,0,NA,NA,NA
16934,Blake Jolivette,American University,2009,Fr,33,30.30%,36.36%,15.15%,48.48%,6.06%,45,0.00%,44.44%,55.56%
16946,Stephen Lumpkins,American University,2009,So,38,2.63%,44.74%,7.89%,47.37%,0.00%,42,14.29%,42.86%,42.86%
16947,Steve Luptak,American University,2009,Jr,37,18.92%,32.43%,5.41%,62.16%,2.70%,20,10.00%,70.00%,20.00%
16945,Simon McCormack,American University,2009,So,66,13.64%,42.42%,25.76%,31.82%,4.55%,64,14.06%,53.13%,32.81%
16948,Vlad Moldoveanu,American University,2009,So,42,11.90%,47.62%,14.29%,38.10%,9.52%,50,24.00%,48.00%,28.00%
16936,Daniel Munoz (2),American University,2009,Fr,67,25.37%,38.81%,19.40%,41.79%,4.48%,52,0.00%,73.08%,26.92%
16941,Matthew Wilson,American University,2009,Jr,21,19.05%,33.33%,28.57%,38.10%,0.00%,15,13.33%,33.33%,53.33%
20990,Ryann Abraham,Appalachian State,2009,Sr,86,45.35%,36.05%,16.28%,47.67%,3.49%,53,5.66%,52.83%,41.51%
20981,J.R. Archer,Appalachian State,2009,Jr,0,NA,NA,NA,NA,NA,0,NA,NA,NA
20983,Jeremi Booth,Appalachian State,2009,Jr,33,24.24%,39.39%,18.18%,42.42%,6.06%,36,5.56%,61.11%,33.33%
20986,Kellen Brand,Appalachian State,2009,Sr,73,27.40%,38.36%,10.96%,50.68%,2.74%,80,5.00%,36.25%,58.75%
20980,Isaac Butts,Appalachian State,2009,Jr,30,13.33%,26.67%,23.33%,50.00%,3.33%,71,11.27%,38.03%,50.70%
20988,Nathan Healy,Appalachian State,2009,Fr,7,14.29%,57.14%,14.29%,28.57%,0.00%,19,0.00%,68.42%,31.58%
20978,A.J. Highsmith,Appalachian State,2009,Sr,2,0.00%,50.00%,0.00%,50.00%,0.00%,2,0.00%,50.00%,50.00%
20985,Josh Hunter,Appalachian State,2009,Sr,39,10.26%,43.59%,15.38%,41.03%,5.13%,48,6.25%,37.50%,56.25%
20982,Jacob Lail,Appalachian State,2009,So,0,NA,NA,NA,NA,NA,0,NA,NA,NA
20984,Josh Nirenberg,Appalachian State,2009,Fr,0,NA,NA,NA,NA,NA,2,0.00%,100.00%,0.00%
9581,Donald Sims,Appalachian State,2009,Jr,79,41.77%,29.11%,17.72%,53.16%,2.53%,83,2.41%,59.04%,38.55%
20991,Tyler Webb,Appalachian State,2009,Sr,6,0.00%,33.33%,66.67%,0.00%,0.00%,12,0.00%,66.67%,33.33%
20979,Andre Williamson,Appalachian State,2009,So,18,27.78%,33.33%,11.11%,55.56%,0.00%,38,5.26%,57.89%,36.84%
20987,Marcus Wright,Appalachian State,2009,So,39,35.90%,46.15%,15.38%,38.46%,0.00%,48,2.08%,52.08%,45.83%
6680,Ty Abbott,Arizona State,2009,Jr,49,20.41%,44.90%,16.33%,38.78%,14.29%,47,14.89%,44.68%,40.43%
1954,Eric Boateng,Arizona State,2009,Sr,29,3.45%,34.48%,10.34%,55.17%,0.00%,67,25.37%,20.90%,53.73%
4734,Derek Glasser,Arizona State,2009,Sr,145,33.10%,33.79%,12.41%,53.79%,6.90%,67,2.99%,61.19%,35.82%
6682,Marcus Jackson,Arizona State,2009,Fr,0,NA,NA,NA,NA,NA,0,NA,NA,NA
6676,Rihards Kuksiks,Arizona State,2009,Jr,52,23.08%,40.38%,19.23%,40.38%,7.69%,37,10.81%,56.76%,32.43%
6679,Trent Lockett,Arizona State,2009,Fr,24,33.33%,33.33%,16.67%,50.00%,4.17%,40,7.50%,47.50%,45.00%
6674,Jamelle McMillan,Arizona State,2009,Jr,70,27.14%,32.86%,14.29%,52.86%,5.71%,28,7.14%,64.29%,28.57%
6677,Ruslan Pateev,Arizona State,2009,Fr,3,0.00%,0.00%,33.33%,66.67%,0.00%,6,33.33%,16.67%,50.00%
6678,Taylor Rohde,Arizona State,2009,So,3,33.33%,0.00%,0.00%,100.00%,0.00%,5,0.00%,40.00%,60.00%
6681,Victor Rudd,Arizona State,2009,Fr,1,100.00%,0.00%,0.00%,100.00%,0.00%,3,0.00%,66.67%,33.33%
6675,Jerren Shipp,Arizona State,2009,Sr,15,26.67%,33.33%,13.33%,53.33%,13.33%,17,5.88%,41.18%,52.94%
6671,Brandon Thompson,Arizona State,2009,Fr,0,NA,NA,NA,NA,NA,0,NA,NA,NA
6673,Demetrius Walker,Arizona State,2009,Fr,12,25.00%,50.00%,8.33%,41.67%,0.00%,13,15.38%,61.54%,23.08%
6649,Kyle Fogg,Arizona,2009,So,63,31.75%,47.62%,12.70%,39.68%,22.22%,63,4.76%,55.56%,39.68%
6653,Solomon Hill,Arizona,2009,Fr,49,22.45%,38.78%,18.37%,42.86%,6.12%,59,5.08%,40.68%,54.24%
6647,Jamelle Horne,Arizona,2009,Jr,35,14.29%,51.43%,20.00%,28.57%,8.57%,48,10.42%,43.75%,45.83%
6641,Alex Jacobson,Arizona,2009,So,0,NA,NA,NA,NA,NA,7,42.86%,0.00%,57.14%
2540,Lamont Jones,Arizona,2009,Fr,41,26.83%,26.83%,21.95%,51.22%,9.76%,40,2.50%,27.50%,70.00%
6646,Garland Judkins,Arizona,2009,RS-So,2,50.00%,50.00%,50.00%,0.00%,0.00%,4,0.00%,50.00%,50.00%
6642,Brendon Lavender,Arizona,2009,So,21,9.52%,28.57%,0.00%,61.90%,4.76%,18,5.56%,61.11%,33.33%
6650,Kyryl Natyazhko,Arizona,2009,Fr,2,0.00%,0.00%,0.00%,100.00%,0.00%,20,20.00%,30.00%,50.00%
6648,Kevin Parrom,Arizona,2009,Fr,27,40.74%,29.63%,14.81%,55.56%,11.11%,20,10.00%,35.00%,55.00%
6643,D.J. Shumpert,Arizona,2009,So,1,0.00%,0.00%,0.00%,100.00%,0.00%,1,0.00%,0.00%,100.00%
6644,Derrick Williams,Arizona,2009,Fr,20,15.00%,50.00%,10.00%,40.00%,0.00%,58,22.41%,32.76%,44.83%
6645,Dondre Wise,Arizona,2009,So,0,NA,NA,NA,NA,NA,0,NA,NA,NA
2331,Nic Wise,Arizona,2009,Sr,97,30.93%,35.05%,15.46%,49.48%,9.28%,71,4.23%,42.25%,53.52%
14852,Hugh Barnett,Arkansas-Pine Bluff ,2009,Sr,1,0.00%,0.00%,100.00%,0.00%,0.00%,6,16.67%,66.67%,16.67%
14858,Terrance Calvin,Arkansas-Pine Bluff ,2009,Sr,112,35.71%,50.00%,15.18%,34.82%,13.39%,92,7.61%,46.74%,45.65%
14856,Stephan Collins,Arkansas-Pine Bluff ,2009,Fr,4,25.00%,75.00%,0.00%,25.00%,0.00%,11,9.09%,18.18%,72.73%
14851,George Davis,Arkansas-Pine Bluff ,2009,Sr,12,50.00%,66.67%,16.67%,16.67%,25.00%,29,13.79%,44.83%,41.38%
14861,Tyrees Glass,Arkansas-Pine Bluff ,2009,Sr,20,15.00%,30.00%,30.00%,40.00%,0.00%,65,16.92%,36.92%,46.15%
14859,Terrell Kennedy,Arkansas-Pine Bluff ,2009,So,11,9.09%,54.55%,9.09%,36.36%,27.27%,11,45.45%,9.09%,45.45%
14847,Antoni Lasker,Arkansas-Pine Bluff ,2009,So,0,NA,NA,NA,NA,NA,1,0.00%,100.00%,0.00%
