GMID,Name,School,Year,Grade,AST,A2PJ,S2P,A3P,DunkAss,TO,TOFoul,TOSteal,TOMisc
17595,Scotty McRae,Albany,2009,Sr,21,4,9,7,1,45,10,23,12
17583,Blake Metcalf,Albany,2009,Fr,11,1,7,3,0,24,4,13,7
17585,Derrek Tartt,Albany,2009,Fr,23,2,6,15,1,34,4,21,9
17586,Fran Urli,Albany,2009,Jr,14,4,6,4,0,29,1,15,13
14783,Corey Anthony,Alcorn State,2009,So,10,4,3,3,1,22,0,6,16
14785,Derrick Blackwell,Alcorn State,2009,Jr,44,15,17,12,2,54,3,26,25
14786,Gifford Blakely,Alcorn State,2009,RS-Sr,0,0,0,0,0,2,0,1,1
9460,Jonathan Boyd,Alcorn State,2009,RS-Sr,40,12,17,11,3,72,1,36,35
14795,Tony Eackles,Alcorn State,2009,Fr,11,5,2,4,0,44,8,27,9
14787,Ian Francis,Alcorn State,2009,Fr,23,7,8,8,1,71,5,38,28
14789,JaMarkus Holt,Alcorn State,2009,RS-Sr,15,2,8,5,1,62,8,27,27
14794,Shauvanta Ingram,Alcorn State,2009,Fr,14,5,7,2,2,37,1,24,12
14793,Michael Martin,Alcorn State,2009,Fr,4,0,3,1,0,14,3,2,9
14788,Jamar Ragland,Alcorn State,2009,Fr,10,1,4,5,0,25,3,17,5
14782,Brandon Rogers,Alcorn State,2009,RS-Sr,29,10,4,15,0,65,5,27,33
14781,Alex Savannah,Alcorn State,2009,So,31,7,17,7,5,39,2,25,12
14790,Keith Searcy,Alcorn State,2009,Fr,37,7,10,20,2,102,5,46,51
14792,Michael Starks,Alcorn State,2009,Fr,1,0,1,0,0,22,1,6,15
16942,Mike Bersch,American University,2009,Fr,6,4,1,1,0,9,2,4,3
16939,Jordan Borucki,American University,2009,Fr,0,0,0,0,0,0,0,0,0
16935,Daniel Fisher,American University,2009,Fr,5,1,3,1,0,6,0,4,2
16944,Riley Grafft,American University,2009,So,21,5,7,9,0,46,7,25,14
16943,Nick Hendra,American University,2009,Jr,81,20,42,19,6,80,9,40,31
16938,Joe Hill (2),American University,2009,So,13,2,7,4,2,9,0,6,3
16937,Jeff Holton,American University,2009,Fr,1,0,0,1,0,2,0,2,0
16934,Blake Jolivette,American University,2009,Fr,34,5,12,17,2,46,0,21,25
16946,Stephen Lumpkins,American University,2009,So,39,3,18,18,0,42,6,18,18
16947,Steve Luptak,American University,2009,Jr,41,3,13,25,1,20,2,14,4
16945,Simon McCormack,American University,2009,So,68,17,29,22,3,65,9,35,21
