GMID,Name,School,Year,Grade,PerRimABlkd,Per2PJABlkd,Per3PABlkd,PerRimMissesRbded,Per2PJMissesRbded,Per3PMissesRbded,PerS2APB,PerL2PAPB,PerPBDunked
5503,Justin Knox,Alabama,2009,Jr,14.00%,6.12%,0.00%,25.00%,36.67%,NA,24.00%,11.22%,4.35%
5504,Justin Luquire,Alabama,2009,Sr,NA,NA,NA,NA,NA,NA,NA,NA,NA
5506,Tony Mitchell,Alabama,2009,Fr,3.16%,4.11%,0.00%,58.33%,32.65%,25.64%,22.11%,16.44%,18.18%
5495,Andrew Steele,Alabama,2009,RS-So,0.00%,25.00%,0.00%,0.00%,66.67%,0.00%,0.00%,75.00%,0.00%
5505,Mikhail Torrance,Alabama,2009,Sr,7.08%,0.86%,0.93%,36.00%,47.54%,31.88%,1.77%,1.72%,0.00%
17582,Billy Allen,Albany,2009,So,20.00%,12.50%,6.90%,25.00%,25.00%,26.19%,20.00%,0.00%,0.00%
17596,Tim Ambrose,Albany,2009,Jr,8.54%,13.61%,0.00%,40.74%,33.33%,36.73%,9.76%,4.14%,0.00%
17590,Logan Aronhalt,Albany,2009,Fr,9.52%,4.76%,4.12%,50.00%,48.00%,43.08%,4.76%,7.14%,0.00%
17591,Louis Barraza,Albany,2009,Jr,NA,NA,0.00%,NA,NA,0.00%,NA,NA,NA
17593,Mike Black,Albany,2009,Fr,12.77%,12.82%,1.39%,53.85%,34.48%,50.00%,4.26%,0.00%,0.00%
17584,Brett Gifford,Albany,2009,Sr,4.76%,7.69%,0.00%,20.00%,7.69%,0.00%,14.29%,2.56%,0.00%
4414,Will Harris,Albany,2009,Sr,9.59%,6.52%,1.83%,41.38%,26.79%,30.88%,10.96%,5.43%,0.00%
17592,Mike Johnson,Albany,2009,Sr,11.11%,2.33%,0.00%,57.14%,37.93%,42.11%,3.70%,4.65%,0.00%
17588,Jake Lindfors,Albany,2009,RS-Fr,20.00%,11.11%,0.00%,25.00%,36.36%,33.33%,13.33%,5.56%,0.00%
17595,Scotty McRae,Albany,2009,Sr,11.90%,5.43%,0.00%,60.00%,29.69%,25.00%,26.19%,8.70%,10.53%
17583,Blake Metcalf,Albany,2009,Fr,17.24%,17.39%,0.00%,47.06%,54.55%,100.00%,13.79%,21.74%,0.00%
17585,Derrek Tartt,Albany,2009,Fr,0.00%,30.00%,0.00%,33.33%,75.00%,44.44%,0.00%,0.00%,NA
17586,Fran Urli,Albany,2009,Jr,12.07%,10.00%,0.00%,48.00%,50.00%,50.00%,13.79%,7.50%,0.00%
14783,Corey Anthony,Alcorn State,2009,So,6.67%,10.00%,0.00%,60.00%,22.22%,23.08%,0.00%,0.00%,NA
14785,Derrick Blackwell,Alcorn State,2009,Jr,28.57%,9.09%,0.00%,30.77%,37.50%,53.85%,0.00%,0.00%,NA
14786,Gifford Blakely,Alcorn State,2009,RS-Sr,66.67%,0.00%,NA,0.00%,0.00%,NA,33.33%,0.00%,0.00%
9460,Jonathan Boyd,Alcorn State,2009,RS-Sr,13.51%,9.84%,0.60%,60.00%,34.04%,25.74%,0.00%,0.00%,NA
14795,Tony Eackles,Alcorn State,2009,Fr,10.34%,12.90%,0.00%,35.71%,47.06%,40.00%,3.45%,0.00%,0.00%
14787,Ian Francis,Alcorn State,2009,Fr,15.32%,12.50%,NA,24.07%,29.55%,NA,8.87%,3.13%,23.08%
14789,JaMarkus Holt,Alcorn State,2009,RS-Sr,12.82%,14.61%,0.00%,40.54%,20.90%,0.00%,25.64%,5.62%,0.00%
14794,Shauvanta Ingram,Alcorn State,2009,Fr,16.00%,6.82%,0.00%,43.75%,23.08%,18.52%,8.00%,0.00%,0.00%
14793,Michael Martin,Alcorn State,2009,Fr,42.86%,20.00%,NA,50.00%,0.00%,NA,28.57%,20.00%,0.00%
14788,Jamar Ragland,Alcorn State,2009,Fr,16.67%,7.41%,0.00%,50.00%,13.64%,22.22%,8.33%,0.00%,0.00%
14782,Brandon Rogers,Alcorn State,2009,RS-Sr,12.82%,15.38%,0.00%,42.86%,47.06%,21.74%,0.00%,3.85%,0.00%
14781,Alex Savannah,Alcorn State,2009,So,29.41%,8.33%,0.00%,30.77%,46.67%,11.11%,0.00%,0.00%,NA
14790,Keith Searcy,Alcorn State,2009,Fr,21.05%,6.42%,0.00%,38.89%,20.83%,28.57%,0.00%,0.92%,0.00%
14792,Michael Starks,Alcorn State,2009,Fr,30.00%,22.22%,NA,46.15%,33.33%,NA,13.33%,0.00%,0.00%
16942,Mike Bersch,American University,2009,Fr,20.00%,25.00%,0.00%,50.00%,50.00%,18.52%,0.00%,0.00%,NA
16939,Jordan Borucki,American University,2009,Fr,NA,NA,NA,NA,NA,NA,NA,NA,NA
16935,Daniel Fisher,American University,2009,Fr,0.00%,0.00%,NA,NA,33.33%,NA,0.00%,0.00%,NA
16944,Riley Grafft,American University,2009,So,0.00%,0.00%,0.00%,25.00%,24.00%,21.43%,23.91%,4.88%,0.00%
16943,Nick Hendra,American University,2009,Jr,5.77%,14.89%,0.70%,38.10%,43.59%,28.09%,5.77%,2.13%,0.00%
16938,Joe Hill (2),American University,2009,So,0.00%,25.00%,0.00%,0.00%,0.00%,21.05%,0.00%,0.00%,NA
16937,Jeff Holton,American University,2009,Fr,NA,NA,NA,NA,NA,NA,NA,NA,NA
16934,Blake Jolivette,American University,2009,Fr,7.14%,8.11%,0.00%,42.86%,28.00%,41.67%,0.00%,0.00%,NA
16946,Stephen Lumpkins,American University,2009,So,9.50%,12.64%,NA,33.77%,23.08%,NA,13.00%,0.00%,3.85%
16947,Steve Luptak,American University,2009,Jr,0.00%,6.25%,0.00%,25.00%,50.00%,23.68%,0.00%,0.00%,NA
16945,Simon McCormack,American University,2009,So,7.23%,7.69%,NA,51.72%,34.21%,NA,8.43%,0.00%,0.00%
16948,Vlad Moldoveanu,American University,2009,So,5.88%,2.50%,0.83%,50.00%,19.23%,30.56%,8.82%,1.25%,0.00%
16936,Daniel Munoz (2),American University,2009,Fr,24.00%,4.55%,0.00%,46.15%,31.11%,45.45%,0.00%,0.00%,NA
16941,Matthew Wilson,American University,2009,Jr,26.67%,10.00%,NA,28.57%,14.29%,NA,0.00%,0.00%,NA
20990,Ryann Abraham,Appalachian State,2009,Sr,6.98%,3.03%,1.45%,36.84%,31.58%,39.58%,0.00%,0.00%,NA
20981,J.R. Archer,Appalachian State,2009,Jr,NA,NA,0.00%,NA,NA,100.00%,NA,NA,NA
20983,Jeremi Booth,Appalachian State,2009,Jr,2.86%,11.29%,0.00%,61.54%,36.59%,31.43%,5.71%,0.00%,0.00%
20986,Kellen Brand,Appalachian State,2009,Sr,13.04%,3.60%,0.00%,42.86%,42.65%,42.19%,6.52%,0.90%,0.00%
20980,Isaac Butts,Appalachian State,2009,Jr,5.30%,2.67%,NA,41.67%,20.00%,NA,23.84%,13.33%,0.00%
20988,Nathan Healy,Appalachian State,2009,Fr,14.29%,0.00%,0.00%,55.56%,22.22%,25.00%,14.29%,0.00%,0.00%
20978,A.J. Highsmith,Appalachian State,2009,Sr,NA,NA,0.00%,NA,NA,42.86%,NA,NA,NA
20985,Josh Hunter,Appalachian State,2009,Sr,10.28%,11.76%,0.00%,47.22%,34.29%,33.33%,14.02%,9.80%,0.00%
20982,Jacob Lail,Appalachian State,2009,So,NA,NA,NA,NA,NA,NA,NA,NA,NA
20984,Josh Nirenberg,Appalachian State,2009,Fr,0.00%,0.00%,NA,0.00%,0.00%,NA,0.00%,0.00%,NA
9581,Donald Sims,Appalachian State,2009,Jr,13.58%,4.20%,1.44%,40.00%,42.86%,32.30%,1.23%,0.00%,0.00%
20991,Tyler Webb,Appalachian State,2009,Sr,0.00%,0.00%,0.00%,NA,27.27%,36.36%,14.29%,0.00%,0.00%
20979,Andre Williamson,Appalachian State,2009,So,4.76%,3.13%,NA,33.33%,30.00%,NA,26.19%,9.38%,5.88%
