GMID,Name,School,Year,Grade,S2PA,S2PM,S2PMAss,DunkA,DunkM,DunkAss,L2PA,L2PM,L2PMAss,A3P,M3P,Ass3PM,FTA,FTM
17584,Brett Gifford,Albany,2009,Sr,18,13,9,0,0,0,37,12,11,1,0,0,4,1
4414,Will Harris,Albany,2009,Sr,55,29,14,3,3,2,88,34,12,90,36,27,43,31
17592,Mike Johnson,Albany,2009,Sr,13,10,2,0,0,0,37,13,4,23,5,4,12,6
17588,Jake Lindfors,Albany,2009,RS-Fr,16,6,3,0,0,0,24,9,6,35,7,7,9,7
17595,Scotty McRae,Albany,2009,Sr,29,14,5,3,3,2,92,29,11,21,5,5,64,45
17583,Blake Metcalf,Albany,2009,Fr,26,12,6,0,0,0,24,15,9,0,0,0,23,10
17585,Derrek Tartt,Albany,2009,Fr,7,4,2,0,0,0,11,3,0,15,4,3,6,5
17586,Fran Urli,Albany,2009,Jr,48,25,12,0,0,0,40,13,5,4,2,2,63,46
14783,Corey Anthony,Alcorn State,2009,So,10,6,1,0,0,0,15,3,2,22,3,2,10,6
14785,Derrick Blackwell,Alcorn State,2009,Jr,13,2,0,0,0,0,11,3,2,22,7,6,9,8
14786,Gifford Blakely,Alcorn State,2009,RS-Sr,4,0,0,0,0,0,5,3,2,0,0,0,2,2
9460,Jonathan Boyd,Alcorn State,2009,RS-Sr,26,9,2,0,0,0,51,12,3,137,51,30,39,30
14795,Tony Eackles,Alcorn State,2009,Fr,21,9,3,0,0,0,34,13,2,26,10,7,45,32
14787,Ian Francis,Alcorn State,2009,Fr,109,60,24,12,9,4,57,11,6,0,0,0,85,49
14789,JaMarkus Holt,Alcorn State,2009,RS-Sr,76,38,13,1,1,1,102,26,17,2,0,0,65,36
14794,Shauvanta Ingram,Alcorn State,2009,Fr,19,7,3,0,0,0,45,17,3,33,8,6,30,21
14793,Michael Martin,Alcorn State,2009,Fr,13,6,1,0,0,0,4,1,0,0,0,0,5,2
14788,Jamar Ragland,Alcorn State,2009,Fr,7,4,0,0,0,0,29,9,3,14,4,3,1,0
14782,Brandon Rogers,Alcorn State,2009,RS-Sr,27,14,0,0,0,0,25,9,2,25,5,4,31,22
14781,Alex Savannah,Alcorn State,2009,So,16,4,2,0,0,0,24,9,1,16,3,3,23,11
14790,Keith Searcy,Alcorn State,2009,Fr,26,11,3,0,0,0,94,36,11,10,1,1,38,30
14792,Michael Starks,Alcorn State,2009,Fr,35,17,7,5,2,2,10,2,1,0,0,0,21,9
16942,Mike Bersch,American University,2009,Fr,4,2,1,0,0,0,4,1,0,34,11,10,2,2
16939,Jordan Borucki,American University,2009,Fr,0,0,0,0,0,0,1,0,0,0,0,0,0,0
16935,Daniel Fisher,American University,2009,Fr,2,2,1,0,0,0,6,2,2,0,0,0,3,1
16944,Riley Grafft,American University,2009,So,34,26,13,5,4,2,77,28,23,19,5,5,25,17
16943,Nick Hendra,American University,2009,Jr,41,23,11,0,0,0,45,8,7,138,54,50,45,29
16938,Joe Hill (2),American University,2009,So,2,0,0,0,0,0,3,0,0,53,20,19,0,0
16937,Jeff Holton,American University,2009,Fr,0,0,0,0,0,0,0,0,0,0,0,0,2,1
16934,Blake Jolivette,American University,2009,Fr,7,1,0,0,0,0,28,10,2,17,6,6,4,3
16946,Stephen Lumpkins,American University,2009,So,194,121,71,18,18,16,81,20,13,0,0,0,138,78
