GMID,Name,School,Year,Grade,S2PA,S2PM,S2PMAss,DunkA,DunkM,L2PA,L2PM,L2PMAss,A3P,M3P,Ass3PM,FTA,FTM
17588,Jake Lindfors,Albany,2009,RS-Fr,2,1,0,0,0,2,0,0,12,3,3,0,0
17595,Scotty McRae,Albany,2009,Sr,14,9,4,3,3,7,3,1,7,1,1,19,12
17583,Blake Metcalf,Albany,2009,Fr,3,0,0,0,0,3,0,0,1,0,0,0,0
17585,Derrek Tartt,Albany,2009,Fr,4,2,2,1,0,1,0,0,2,2,2,12,6
17586,Fran Urli,Albany,2009,Jr,12,10,6,0,0,2,2,0,1,1,1,15,9
14783,Corey Anthony,Alcorn State,2009,So,5,4,0,0,0,2,0,0,3,2,0,4,2
14785,Derrick Blackwell,Alcorn State,2009,Jr,5,0,0,0,0,1,0,0,2,1,1,10,6
14786,Gifford Blakely,Alcorn State,2009,RS-Sr,1,1,0,0,0,1,0,0,0,0,0,3,1
9460,Jonathan Boyd,Alcorn State,2009,RS-Sr,16,10,2,0,0,16,5,1,53,21,14,21,15
14795,Tony Eackles,Alcorn State,2009,Fr,13,8,1,1,0,8,3,0,1,0,0,30,20
14787,Ian Francis,Alcorn State,2009,Fr,30,19,10,10,9,17,11,5,0,0,0,46,27
14789,JaMarkus Holt,Alcorn State,2009,RS-Sr,21,12,5,0,0,17,5,4,1,0,0,30,14
14794,Shauvanta Ingram,Alcorn State,2009,Fr,9,4,2,0,0,8,3,1,10,2,2,8,4
14793,Michael Martin,Alcorn State,2009,Fr,0,0,0,0,0,2,2,0,0,0,0,7,3
14788,Jamar Ragland,Alcorn State,2009,Fr,5,2,0,2,2,7,1,0,4,0,0,8,6
14782,Brandon Rogers,Alcorn State,2009,RS-Sr,19,7,4,0,0,10,5,1,12,4,4,19,14
14781,Alex Savannah,Alcorn State,2009,So,6,2,0,0,0,5,1,1,2,2,2,9,3
14790,Keith Searcy,Alcorn State,2009,Fr,19,11,3,0,0,31,8,1,5,0,0,21,11
14792,Michael Starks,Alcorn State,2009,Fr,4,3,3,2,2,4,2,2,0,0,0,6,1
16942,Mike Bersch,American University,2009,Fr,1,1,1,0,0,1,1,0,7,1,1,0,0
16939,Jordan Borucki,American University,2009,Fr,0,0,0,0,0,0,0,0,0,0,0,0,0
16935,Daniel Fisher,American University,2009,Fr,0,0,0,0,0,0,0,0,0,0,0,0,0
16944,Riley Grafft,American University,2009,So,12,8,7,3,3,6,4,4,1,0,0,13,10
16943,Nick Hendra,American University,2009,Jr,13,9,3,0,0,3,0,0,13,3,2,27,18
16938,Joe Hill (2),American University,2009,So,0,0,0,0,0,1,1,0,9,3,3,0,0
16937,Jeff Holton,American University,2009,Fr,0,0,0,0,0,0,0,0,0,0,0,0,0
16934,Blake Jolivette,American University,2009,Fr,9,6,2,0,0,10,2,0,5,2,2,14,10
16946,Stephen Lumpkins,American University,2009,So,20,13,8,3,3,8,2,2,0,0,0,18,11
16947,Steve Luptak,American University,2009,Jr,3,3,2,0,0,0,0,0,9,4,4,9,8
16945,Simon McCormack,American University,2009,So,21,13,8,0,0,8,2,2,0,0,0,28,15
16948,Vlad Moldoveanu,American University,2009,So,7,2,1,0,0,3,1,0,20,10,10,37,30
16936,Daniel Munoz (2),American University,2009,Fr,8,5,2,0,0,4,1,0,6,2,1,20,17
16941,Matthew Wilson,American University,2009,Jr,3,1,1,0,0,2,1,1,0,0,0,10,10
20990,Ryann Abraham,Appalachian State,2009,Sr,27,19,2,0,0,9,5,1,21,6,3,50,34
