GMID,Name,School,Year,Grade,AST,A2PJ,S2P,A3P,DunkAss,TO,TOFoul,TOSteal,TOMisc
17585,Derrek Tartt,Albany,2009,Fr,17,2,4,11,1,26,3,17,6
17586,Fran Urli,Albany,2009,Jr,14,4,6,4,0,26,1,13,12
14783,Corey Anthony,Alcorn State,2009,So,6,3,2,1,0,19,0,6,13
14785,Derrick Blackwell,Alcorn State,2009,Jr,33,10,13,10,2,44,3,21,20
14786,Gifford Blakely,Alcorn State,2009,RS-Sr,0,0,0,0,0,2,0,1,1
9460,Jonathan Boyd,Alcorn State,2009,RS-Sr,30,9,11,10,2,60,1,28,31
14795,Tony Eackles,Alcorn State,2009,Fr,7,3,2,2,0,33,5,22,6
14787,Ian Francis,Alcorn State,2009,Fr,19,6,6,7,1,59,4,30,25
14789,JaMarkus Holt,Alcorn State,2009,RS-Sr,14,2,7,5,0,53,7,21,25
14794,Shauvanta Ingram,Alcorn State,2009,Fr,14,5,7,2,2,32,1,20,11
14793,Michael Martin,Alcorn State,2009,Fr,4,0,3,1,0,10,2,1,7
14788,Jamar Ragland,Alcorn State,2009,Fr,8,1,3,4,0,19,2,13,4
14782,Brandon Rogers,Alcorn State,2009,RS-Sr,22,7,4,11,0,59,4,24,31
14781,Alex Savannah,Alcorn State,2009,So,20,4,10,6,4,28,2,19,7
14790,Keith Searcy,Alcorn State,2009,Fr,29,6,9,14,2,91,5,42,44
14792,Michael Starks,Alcorn State,2009,Fr,1,0,1,0,0,19,1,6,12
16942,Mike Bersch,American University,2009,Fr,6,4,1,1,0,8,2,4,2
16939,Jordan Borucki,American University,2009,Fr,0,0,0,0,0,0,0,0,0
16935,Daniel Fisher,American University,2009,Fr,5,1,3,1,0,3,0,2,1
16944,Riley Grafft,American University,2009,So,20,5,7,8,0,46,7,25,14
16943,Nick Hendra,American University,2009,Jr,74,20,37,17,4,78,8,39,31
16938,Joe Hill (2),American University,2009,So,12,2,6,4,1,9,0,6,3
16937,Jeff Holton,American University,2009,Fr,0,0,0,0,0,0,0,0,0
16934,Blake Jolivette,American University,2009,Fr,33,5,12,16,2,45,0,20,25
16946,Stephen Lumpkins,American University,2009,So,38,3,17,18,0,42,6,18,18
16947,Steve Luptak,American University,2009,Jr,37,2,12,23,1,20,2,14,4
16945,Simon McCormack,American University,2009,So,66,17,28,21,3,64,9,34,21
16948,Vlad Moldoveanu,American University,2009,So,42,6,20,16,4,50,12,24,14
