GMID,Name,School,Year,AST,A2PJ,S2P,A3P,DunkAss,TO,TOFoul,TOSteal,TOMisc
2361,Jon Diebler,Ohio State,2009,43,12,14,17,27,27,0,13,14
2361,Jon Diebler,Ohio State,2010,73,28,28,17,29,29,0,12,17
2362,Leslie McDonald,North Carolina,2009,19,11,4,4,14,14,1,9,4
2362,Leslie McDonald,North Carolina,2010,11,6,2,3,23,23,2,11,10
2362,Leslie McDonald,North Carolina,2012,21,5,8,8,17,17,4,7,6
2362,Leslie McDonald,North Carolina,2013,26,16,5,5,15,15,2,6,7
2363,Trey Thompkins,Georgia,2009,48,6,30,12,78,78,6,43,29
2363,Trey Thompkins,Georgia,2010,37,7,25,5,60,60,4,32,24
2364,Darius Miller,Kentucky,2009,47,14,18,15,29,29,0,16,13
2364,Darius Miller,Kentucky,2010,61,9,23,29,51,51,2,27,22
2364,Darius Miller,Kentucky,2011,67,10,28,29,48,48,3,21,24
2365,DeQuan Jones,Miami (FL),2009,14,2,8,4,37,37,3,22,12
2365,DeQuan Jones,Miami (FL),2010,10,3,3,4,23,23,1,10,12
2365,DeQuan Jones,Miami (FL),2011,8,2,2,4,16,16,0,8,8
2366,Tony Woods,Wake Forest,2009,1,0,1,0,24,24,0,11,13
2366,Tony Woods,Oregon,2011,18,4,6,8,45,45,6,15,24
2366,Tony Woods,Oregon,2012,14,4,6,4,54,54,4,18,32
2368,Yancy Gates,Cincinnati,2009,28,0,13,15,48,48,4,20,24
2368,Yancy Gates,Cincinnati,2010,41,8,19,14,38,38,0,24,14
2368,Yancy Gates,Cincinnati,2011,20,3,11,6,32,32,2,16,14
2369,Draymond Green,Michigan State,2009,77,20,37,20,47,47,5,24,18
2369,Draymond Green,Michigan State,2010,128,23,62,43,71,71,5,34,32
2369,Draymond Green,Michigan State,2011,92,16,58,18,69,69,9,32,28
2370,Kevin Jones,West Virginia,2009,30,6,11,13,36,36,1,13,22
2370,Kevin Jones,West Virginia,2010,33,6,10,17,33,33,2,16,15
2370,Kevin Jones,West Virginia,2011,37,5,19,13,36,36,2,22,12
2371,Henry Sims,Georgetown,2009,6,1,3,2,14,14,1,7,6
2371,Henry Sims,Georgetown,2010,35,2,20,13,30,30,5,15,10
2371,Henry Sims,Georgetown,2011,92,12,53,27,80,80,9,37,34
2372,Harrison Barnes,North Carolina,2010,36,15,13,8,53,53,4,30,19
2372,Harrison Barnes,North Carolina,2011,31,18,9,4,52,52,10,24,18
2374,Joshua Smith,UCLA,2010,20,0,15,5,47,47,15,13,19
2374,Joshua Smith,UCLA,2011,12,0,9,3,51,51,19,13,19
2374,Joshua Smith,UCLA,2012,1,0,0,1,4,4,0,4,0
2374,Joshua Smith,Georgetown,2013,9,2,6,1,21,21,2,9,10
2374,Joshua Smith,Georgetown,2014,32,5,17,9,62,62,9,29,24
2375,Jared Sullinger,Ohio State,2010,39,4,12,23,51,51,9,20,22
2375,Jared Sullinger,Ohio State,2011,42,8,21,13,65,65,9,23,33
2376,Tyler Honeycutt,UCLA,2009,18,5,9,3,23,23,1,16,6
2376,Tyler Honeycutt,UCLA,2010,85,5,67,13,91,91,3,52,36
2377,John Jenkins,Vanderbilt,2009,23,5,8,10,20,20,1,12,7
2377,John Jenkins,Vanderbilt,2010,31,7,13,11,40,40,2,26,12
2377,John Jenkins,Vanderbilt,2011,36,1,19,16,48,48,8,30,10
2378,Mfon Udofia,Georgia Tech,2009,54,16,14,23,51,51,4,28,19
2378,Mfon Udofia,Georgia Tech,2010,34,8,10,16,38,38,5,18,15
2378,Mfon Udofia,Georgia Tech,2011,11,1,4,6,25,25,0,16,9
2378,Mfon Udofia,Georgia Tech,2012,13,3,6,4,13,13,0,4,9
2379,Durand Scott,Miami (FL),2009,103,15,36,52,68,68,5,33,30
2379,Durand Scott,Miami (FL),2010,76,10,29,37,84,84,4,47,33
2379,Durand Scott,Miami (FL),2011,71,19,24,28,48,48,1,27,20
2379,Durand Scott,Miami (FL),2012,55,8,22,25,40,40,0,24,16
2380,Terrell Vinson,Massachusetts,2009,9,1,1,7,21,21,2,6,13
2380,Terrell Vinson,Massachusetts,2010,0,0,0,0,2,2,0,0,2
2380,Terrell Vinson,Massachusetts,2011,30,4,13,13,42,42,8,20,14
2380,Terrell Vinson,Massachusetts,2012,22,1,9,12,48,48,6,21,21
2381,Deshaun Thomas,Ohio State,2010,12,3,6,3,25,25,4,7,14
2381,Deshaun Thomas,Ohio State,2011,27,5,15,6,35,35,3,12,20
2381,Deshaun Thomas,Ohio State,2012,38,5,21,12,32,32,2,17,13
2382,Lorenzo Brown,NC State,2010,104,21,53,30,64,64,2,34,28
2382,Lorenzo Brown,NC State,2011,208,39,111,58,105,105,2,65,38
2382,Lorenzo Brown,NC State,2012,189,41,84,63,94,94,2,58,34
2383,Thomas Robinson,Kansas,2009,9,1,5,3,24,24,3,11,10
2383,Thomas Robinson,Kansas,2010,13,2,9,2,36,36,7,10,19
2383,Thomas Robinson,Kansas,2011,64,5,38,21,95,95,13,36,46
2384,Erik Murphy,Florida,2009,8,3,4,1,19,19,0,10,9
2384,Erik Murphy,Florida,2010,5,0,3,2,15,15,2,9,4
2384,Erik Murphy,Florida,2011,23,4,7,12,40,40,5,16,19
2384,Erik Murphy,Florida,2012,35,7,15,13,34,34,1,18,15
2385,Roger Franklin,Oklahoma State,2009,7,0,3,4,15,15,6,7,2
2385,Roger Franklin,Oklahoma State,2010,4,1,2,1,8,8,4,3,1
2385,Roger Franklin,North Texas,2011,4,1,2,1,4,4,0,3,1
2385,Roger Franklin,North Texas,2012,3,0,3,0,6,6,2,3,1
2386,D.J. Richardson,Illinois,2009,65,29,17,19,51,51,4,29,18
2386,D.J. Richardson,Illinois,2010,57,10,25,22,34,34,1,15,18
2386,D.J. Richardson,Illinois,2011,46,11,20,15,38,38,3,25,10
2386,D.J. Richardson,Illinois,2012,54,11,14,29,47,47,6,26,15
2388,DeShawn Sims,Michigan,2009,26,3,4,19,40,40,4,21,15
2389,Alex Stepheson,USC,2009,6,0,2,4,36,36,3,10,23
2389,Alex Stepheson,USC,2010,5,0,3,2,41,41,6,11,24
2390,Brian Zoubek,Duke,2009,30,7,5,18,39,39,4,17,18
2391,Jerry Smith,Louisville,2009,55,6,21,28,49,49,2,18,29
2411,Jerime Anderson,UCLA,2009,22,2,12,8,15,15,2,8,5
2411,Jerime Anderson,UCLA,2010,81,9,41,31,42,42,6,21,15
2411,Jerime Anderson,UCLA,2011,103,24,51,28,45,45,1,25,19
2412,Drew Gordon,UCLA,2009,0,0,0,0,0,0,0,0,0
2412,Drew Gordon,New Mexico,2010,15,5,5,3,55,55,5,25,25
2412,Drew Gordon,New Mexico,2011,42,3,19,19,65,65,10,24,31
2415,Angel Garcia,Memphis,2009,2,0,2,0,6,6,0,3,3
2415,Angel Garcia,Memphis,2010,1,0,0,1,6,6,2,2,2
2416,Emmanuel Negedu,New Mexico,2010,5,2,3,0,9,9,4,3,2
2419,Devoe Joseph,Minnesota,2009,91,23,34,34,60,60,2,38,20
2419,Devoe Joseph,Minnesota,2010,25,4,12,9,13,13,0,8,5
2419,Devoe Joseph,Oregon,2011,83,18,20,45,50,50,4,30,16
2421,Mike Moser,UCLA,2009,0,0,0,0,4,4,0,0,4
2421,Mike Moser,UNLV,2011,57,3,35,19,72,72,3,27,42
2421,Mike Moser,UNLV,2012,25,3,14,8,33,33,2,15,16
2421,Mike Moser,Oregon,2013,49,10,23,16,55,55,2,21,32
2439,Marvell Waithe,Arkansas,2010,1,1,0,0,4,4,0,1,3
2439,Marvell Waithe,Arkansas,2011,2,0,1,1,3,3,1,1,1
2479,Torgrim Sommerfeldt,Manhattan,2011,NA,NA,NA,NA,NA,0,NA,NA,NA
2482,Ben Allen,Saint Mary's,2009,19,6,9,4,20,20,1,8,11
2505,Mike Tisdale,Illinois,2009,23,5,4,13,44,44,7,18,19
2505,Mike Tisdale,Illinois,2010,42,11,16,13,55,55,11,17,27
2506,Demetri McCamey,Illinois,2009,204,67,73,64,105,105,8,50,47
2506,Demetri McCamey,Illinois,2010,192,47,72,73,97,97,11,42,44
2507,Mike Davis,Illinois,2009,25,8,9,8,39,39,4,15,20
2507,Mike Davis,Illinois,2010,55,13,23,19,41,41,13,13,15
2529,Devan Downey,South Carolina,2009,85,10,28,47,79,79,0,43,36
2530,Edgar Sosa,Louisville,2009,133,15,60,58,83,83,4,38,41
2531,Jonathan Kreft,Florida State,2010,6,0,2,4,18,18,5,3,10
2531,Jonathan Kreft,Florida State,2011,8,2,3,3,36,36,8,18,10
2532,Curtis Kelly,Kansas State,2009,47,12,16,19,87,87,2,39,46
2532,Curtis Kelly,Kansas State,2010,37,8,16,13,63,63,4,24,35
2533,Obi Muonelo,Oklahoma State,2009,77,7,36,34,57,57,2,24,31
2534,Jeff Robinson,Seton Hall,2009,8,2,6,0,13,13,0,7,6
2534,Jeff Robinson,Seton Hall,2010,19,2,11,6,39,39,3,15,21
2535,Jeff Jordan,Illinois,2009,49,21,10,18,22,22,0,17,5
2535,Jeff Jordan,UCF,2011,2,0,0,2,0,0,0,0,0
2536,Chris Wright (2),Dayton,2009,41,5,14,21,73,73,8,25,40
2536,Chris Wright (2),Dayton,2010,56,8,25,23,83,83,10,29,44
2537,Chandler Parsons,Florida,2009,78,20,33,25,61,61,0,32,29
