GMID,Name,School,Year,AST,A2PJ,S2P,A3P,DunkAss,TO,TOFoul,TOSteal,TOMisc
19833,Rob Lewis,Denver,2011,37,2,18,17,30,30,0,11,19
19834,Sabatino Chen,Denver,2009,1,0,0,1,0,0,0,0,0
19834,Sabatino Chen,Colorado,2011,13,2,7,4,14,14,4,6,4
19834,Sabatino Chen,Colorado,2012,40,6,21,13,33,33,4,17,12
19835,Tom Chott,Denver,2009,0,0,0,0,0,0,0,0,0
19836,Travis Hallam,Denver,2009,1,0,0,1,0,0,0,0,0
19836,Travis Hallam,Denver,2010,4,1,0,3,4,4,0,4,0
19836,Travis Hallam,Denver,2011,39,5,16,18,13,13,1,7,5
19837,Tyler Thalken,Denver,2009,0,0,0,0,0,0,0,0,0
19837,Tyler Thalken,Denver,2010,0,0,0,0,2,2,0,1,1
19837,Tyler Thalken,Denver,2011,0,0,0,0,0,0,0,0,0
19878,Alex Tucker,Florida Atlantic,2009,6,0,2,4,8,8,0,4,4
19878,Alex Tucker,Florida Atlantic,2010,11,6,1,4,5,5,0,3,2
19878,Alex Tucker,Florida Atlantic,2011,35,5,8,22,14,14,3,9,2
19879,Andre Mattison,Florida Atlantic,2009,0,0,0,0,1,1,0,0,1
19879,Andre Mattison,Florida Atlantic,2010,0,0,0,0,0,0,0,0,0
19879,Andre Mattison,Florida Atlantic,2011,1,0,1,0,3,3,1,1,1
19879,Andre Mattison,Florida Atlantic,2012,0,0,0,0,3,3,0,1,2
19880,Brett Royster,Florida Atlantic,2009,3,1,1,1,5,5,0,4,1
19880,Brett Royster,Florida Atlantic,2010,0,0,0,0,4,4,1,3,0
19882,Darren Stewart,Florida Atlantic,2009,0,0,0,0,0,0,0,0,0
19883,DeMonte' Simpson,Florida Atlantic,2009,0,0,0,0,6,6,2,1,3
19883,DeMonte' Simpson,Florida Atlantic,2010,NA,NA,NA,NA,NA,0,NA,NA,NA
19884,Dylan O'Sullivan,Florida Atlantic,2009,0,0,0,0,1,1,0,0,1
19885,Greg Gantt,Florida Atlantic,2009,4,2,0,2,5,5,0,5,0
19885,Greg Gantt,Florida Atlantic,2010,3,1,1,1,6,6,0,3,3
19885,Greg Gantt,Florida Atlantic,2011,4,1,1,2,8,8,0,3,5
19885,Greg Gantt,Florida Atlantic,2012,4,1,0,3,9,9,0,5,4
19886,Jordan McCoy,Florida Atlantic,2009,0,0,0,0,2,2,0,0,2
19886,Jordan McCoy,Florida Atlantic,2010,1,0,1,0,0,0,0,0,0
19886,Jordan McCoy,Florida Atlantic,2011,1,0,1,0,4,4,1,1,2
19886,Jordan McCoy,Florida Atlantic,2012,2,2,0,0,4,4,0,1,3
19887,Raymond Taylor,Florida Atlantic,2009,22,4,6,12,12,12,1,6,5
19887,Raymond Taylor,Florida Atlantic,2010,8,0,4,4,7,7,1,3,3
19887,Raymond Taylor,Florida Atlantic,2011,37,7,10,20,25,25,1,12,12
19887,Raymond Taylor,Florida International,2013,0,0,0,0,0,0,0,0,0
19888,Sanchez Hughley,Florida Atlantic,2009,0,0,0,0,4,4,1,2,1
19889,Shavar Richardson,Florida Atlantic,2009,5,3,2,0,4,4,1,2,1
19889,Shavar Richardson,Florida Atlantic,2010,0,0,0,0,3,3,0,1,2
19889,Shavar Richardson,Florida Atlantic,2011,7,1,1,5,6,6,2,2,2
19934,Antoine Watson,Florida International,2009,14,5,4,5,13,13,0,9,4
19935,Cedric Essola,Florida International,2009,1,0,1,0,2,2,1,0,1
19937,J.C. Otero,Florida International,2009,3,1,2,0,1,1,0,1,0
19939,Manuel Nunez,Florida International,2009,0,0,0,0,0,0,0,0,0
19939,Manuel Nunez,Florida International,2011,0,0,0,0,0,0,0,0,0
19939,Manuel Nunez,Florida International,2012,0,0,0,0,0,0,0,0,0
19940,Marcus Crawford,Florida International,2009,0,0,0,0,1,1,0,1,0
19941,Marlon Bright,Florida International,2009,3,0,2,1,4,4,1,1,2
19942,Marvin Roberts,Florida International,2009,5,1,2,2,14,14,1,8,5
19942,Marvin Roberts,Florida International,2010,1,1,0,0,10,10,1,5,4
19943,Nehemiah Crowder,Florida International,2009,0,0,0,0,0,0,0,0,0
19944,Nick Taylor,Florida International,2009,2,0,1,1,2,2,1,1,0
19945,Nikola Gacesa,Florida International,2009,0,0,0,0,1,1,0,1,0
19945,Nikola Gacesa,Texas Christian,2010,4,0,2,2,3,3,1,1,1
19946,Stephon Weaver,Florida International,2009,3,1,1,1,3,3,0,2,1
19946,Stephon Weaver,Florida International,2010,1,0,0,1,1,1,0,0,1
19947,Steven Miro,Florida International,2009,2,0,0,2,0,0,0,0,0
19947,Steven Miro,Florida International,2011,0,0,0,0,1,1,0,0,1
19947,Steven Miro,Florida International,2013,1,1,0,0,1,1,0,1,0
19948,Tremayne Russell,Florida International,2009,1,1,0,0,7,7,2,2,3
19948,Tremayne Russell,Florida International,2010,0,0,0,0,8,8,0,5,3
19999,Chris Gradnigo,Louisiana,2009,0,0,0,0,0,0,0,0,0
19999,Chris Gradnigo,Coastal Carolina,2011,1,0,1,0,4,4,0,2,2
20001,Colby Batiste,Louisiana,2009,0,0,0,0,0,0,0,0,0
20001,Colby Batiste,Louisiana,2010,0,0,0,0,0,0,0,0,0
20002,Courtney Wallace,Louisiana,2010,3,2,0,1,2,2,0,0,2
20003,Javan Mitchell,Louisiana,2009,0,0,0,0,0,0,0,0,0
20003,Javan Mitchell,Louisiana,2010,0,0,0,0,1,1,0,0,1
20003,Javan Mitchell,Southern,2012,5,3,0,2,7,7,0,4,3
20003,Javan Mitchell,Southern,2013,0,0,0,0,7,7,0,4,3
20004,La'Ryan Gary,Louisiana,2010,0,0,0,0,0,0,0,0,0
20005,Phillip Jones,Louisiana,2010,1,1,0,0,1,1,0,0,1
20006,Randell Daigle,Louisiana,2009,0,0,0,0,0,0,0,0,0
20006,Randell Daigle,Louisiana,2010,3,1,1,1,1,1,0,0,1
20007,Raymone Andrews,Louisiana,2010,0,0,0,0,0,0,0,0,0
20007,Raymone Andrews,Louisiana,2011,5,0,1,4,6,6,3,1,2
20007,Raymone Andrews,Stetson,2013,11,0,5,6,3,3,0,2,1
20009,Ryan McCoy,Louisiana,2009,NA,NA,NA,NA,NA,0,NA,NA,NA
20010,Travis Bureau,Louisiana,2009,NA,NA,NA,NA,NA,0,NA,NA,NA
20010,Travis Bureau,Louisiana,2010,2,0,0,2,0,0,0,0,0
20011,Willie Lago,Louisiana,2009,NA,NA,NA,NA,NA,0,NA,NA,NA
20015,Damon Forest,Southeastern Louisiana,2009,1,0,0,1,3,3,0,1,2
20045,Brandon Williams (2),Louisiana-Monroe,2009,0,0,0,0,0,0,0,0,0
20046,Colby Carr,Louisiana-Monroe,2009,2,0,0,2,0,0,0,0,0
20047,Nyla Forbes,Louisiana-Monroe,2009,1,0,1,0,3,3,0,1,2
20048,Fabio Ribeiro,Louisiana-Monroe,2009,0,0,0,0,1,1,0,1,0
20048,Fabio Ribeiro,Louisiana-Monroe,2010,2,1,0,1,4,4,0,3,1
20048,Fabio Ribeiro,Louisiana-Monroe,2011,1,1,0,0,9,9,1,3,5
20049,Hugh Mingo,Louisiana-Monroe,2010,7,3,2,1,14,14,0,10,4
20049,Hugh Mingo,Louisiana-Monroe,2011,6,1,1,4,5,5,1,3,1
20050,Kenneth Averette,Louisiana-Monroe,2009,0,0,0,0,0,0,0,0,0
20051,Robert Nelson,Louisiana-Monroe,2009,0,0,0,0,0,0,0,0,0
20052,Rory Burt,Louisiana-Monroe,2009,0,0,0,0,0,0,0,0,0
20053,Rudy Turner,Louisiana-Monroe,2009,1,0,1,0,1,1,0,0,1
20053,Rudy Turner,McNeese State,2011,1,1,0,0,5,5,0,0,5
20054,Tommie Sykes,Louisiana-Monroe,2009,0,0,0,0,2,2,1,1,0
20054,Tommie Sykes,Louisiana-Monroe,2010,2,1,0,1,6,6,0,1,5
20055,Tony Hooper,Louisiana-Monroe,2009,1,0,0,1,2,2,0,2,0
20056,Warren Fuselier,Louisiana-Monroe,2009,0,0,0,0,6,6,0,5,1
20063,Raschard Boatner,Grambling State,2010,7,2,2,3,3,3,0,0,3
20063,Raschard Boatner,Grambling State,2011,0,0,0,0,2,2,0,1,1
20072,Sei Paye,Texas-San Antonio,2009,0,0,0,0,0,0,0,0,0
20072,Sei Paye,Texas-San Antonio,2010,4,0,0,4,0,0,0,0,0
20072,Sei Paye,Texas-San Antonio,2011,11,1,4,6,6,6,2,3,1
20109,Calvin O'Neil,Middle Tennessee State,2009,7,2,2,3,6,6,0,2,4
20110,David Murray,Middle Tennessee State,2009,0,0,0,0,0,0,0,0,0
20111,DeMario Williams,Middle Tennessee State,2009,4,0,4,0,3,3,0,2,1
20112,J.T. Sulton,Middle Tennessee State,2009,0,0,0,0,7,7,1,1,5
20112,J.T. Sulton,Middle Tennessee State,2010,1,0,1,0,6,6,1,3,2
20112,J.T. Sulton,Middle Tennessee State,2011,17,2,7,8,38,38,5,12,21
20112,J.T. Sulton,Middle Tennessee State,2012,7,0,4,3,24,24,4,10,10
20113,James Gallman,Middle Tennessee State,2009,8,3,0,5,6,6,1,1,4
20113,James Gallman,Middle Tennessee State,2010,4,1,2,1,4,4,0,4,0
20113,James Gallman,Middle Tennessee State,2011,23,8,5,10,16,16,0,7,9
20113,James Gallman,Middle Tennessee State,2012,18,7,4,7,9,9,1,4,4
20116,John David Little,Middle Tennessee State,2009,0,0,0,0,0,0,0,0,0
20117,Josh Jones (3),Middle Tennessee State,2009,0,0,0,0,1,1,0,1,0
20118,K.C. Anuna,Middle Tennessee State,2009,NA,NA,NA,NA,NA,0,NA,NA,NA
20118,K.C. Anuna,Middle Tennessee State,2010,0,0,0,0,0,0,0,0,0
20119,Matthew Joines,Middle Tennessee State,2009,0,0,0,0,0,0,0,0,0
20120,Rod Emanuel,Middle Tennessee State,2009,6,2,1,3,11,11,1,5,5
20120,Rod Emanuel,Middle Tennessee State,2010,6,0,2,4,1,1,0,1,0
20121,Theryn Hudson,Middle Tennessee State,2009,0,0,0,0,5,5,1,1,3
20122,Trevor Ottley,Middle Tennessee State,2009,2,0,1,1,8,8,1,5,2
20122,Trevor Ottley,Middle Tennessee State,2010,2,0,2,0,4,4,1,1,2
20123,Zane Gibson,Middle Tennessee State,2010,NA,NA,NA,NA,NA,0,NA,NA,NA
20123,Zane Gibson,Middle Tennessee State,2011,3,1,1,1,1,1,0,0,1
20123,Zane Gibson,Middle Tennessee State,2012,5,2,0,3,4,4,0,3,1
20123,Zane Gibson,Middle Tennessee State,2013,5,0,1,4,4,4,0,3,1
20124,Antwaun Boyd,Fort Wayne,2010,3,0,1,2,11,11,1,6,4
20124,Antwaun Boyd,Fort Wayne,2011,4,2,2,0,5,5,1,1,3
20168,Carl Blair,New Orleans,2009,5,0,1,4,7,7,2,4,1
20168,Carl Blair,Oklahoma,2010,41,11,12,18,41,41,5,26,10
20168,Carl Blair,Oklahoma,2011,17,7,5,5,17,17,1,6,10
20168,Carl Blair,Prairie View A&M,2012,13,3,2,8,10,10,2,3,5
20169,Charles Carmouche,New Orleans,2009,6,3,2,1,3,3,0,0,3
20169,Charles Carmouche,Memphis,2010,46,7,22,17,37,37,6,19,12
20169,Charles Carmouche,Memphis,2011,13,1,9,3,6,6,1,5,0
20169,Charles Carmouche,LSU,2012,38,6,13,19,11,11,0,6,5
20170,Destin Damachoua,New Orleans,2009,0,0,0,0,1,1,0,0,1
20171,Devin McDonald,New Orleans,2009,2,1,1,0,4,4,0,2,2
20171,Devin McDonald,Eastern Kentucky,2010,4,0,0,4,4,4,0,3,1
20172,Ejike Hart,New Orleans,2009,0,0,0,0,2,2,2,0,0
20173,J.L. Lewis,New Orleans,2009,0,0,0,0,0,0,0,0,0
20173,J.L. Lewis,Louisiana Tech,2010,2,0,0,2,6,6,1,1,4
20173,J.L. Lewis,Louisiana Tech,2011,3,1,0,2,4,4,2,1,1
20173,J.L. Lewis,Louisiana Tech,2012,4,0,1,3,12,12,2,5,5
20174,Jaroslav Tyrna,New Orleans,2009,0,0,0,0,2,2,1,1,0
20175,Johann Mpondo,New Orleans,2009,0,0,0,0,4,4,0,2,2
20175,Johann Mpondo,Wright State,2010,1,0,1,0,3,3,1,1,1
20175,Johann Mpondo,Wright State,2011,0,0,0,0,3,3,1,2,0
20176,Lenny Harmon,New Orleans,2010,NA,NA,NA,NA,NA,0,NA,NA,NA
20176,Lenny Harmon,New Orleans,2011,0,0,0,0,0,0,0,0,0
20177,Quincy Diggs,New Orleans,2009,0,0,0,0,0,0,0,0,0
20177,Quincy Diggs,Akron,2010,5,0,1,4,6,6,0,4,2
20177,Quincy Diggs,Akron,2011,61,10,33,18,60,60,4,30,26
20177,Quincy Diggs,Akron,2013,11,0,7,4,12,12,0,5,7
20179,Jacolby Pittman,Jackson State,2010,NA,NA,NA,NA,NA,0,NA,NA,NA
20179,Jacolby Pittman,Jackson State,2011,NA,NA,NA,NA,NA,0,NA,NA,NA
20180,Jahmal Burroughs,Chattanooga,2010,1,0,1,0,2,2,0,1,1
20180,Jahmal Burroughs,Chattanooga,2011,2,0,2,0,6,6,3,2,1
20231,Alzee Williams,North Texas,2009,1,0,0,1,3,3,0,0,3
20231,Alzee Williams,North Texas,2011,2,0,0,2,3,3,0,1,2
20231,Alzee Williams,North Texas,2012,7,2,2,3,3,3,1,1,1
20231,Alzee Williams,North Texas,2013,5,1,0,4,5,5,1,2,2
20232,Antwone Matlock,North Texas,2009,NA,NA,NA,NA,NA,0,NA,NA,NA
20233,Ben Knox,North Texas,2009,0,0,0,0,0,0,0,0,0
20233,Ben Knox,North Texas,2010,0,0,0,0,1,1,0,1,0
20234,Brooks Ybarra,Texas State,2009,NA,NA,NA,NA,NA,0,NA,NA,NA
20234,Brooks Ybarra,Texas State,2010,0,0,0,0,0,0,0,0,0
20234,Brooks Ybarra,Texas State,2011,0,0,0,0,0,0,0,0,0
20235,Collin Mangrum,North Texas,2009,0,0,0,0,1,1,0,1,0
20235,Collin Mangrum,Southern Methodist,2010,6,2,3,1,3,3,1,0,2
20236,Jacob Holmen,North Texas,2009,1,0,1,0,1,1,0,0,1
20236,Jacob Holmen,North Texas,2010,0,0,0,0,0,0,0,0,0
20236,Jacob Holmen,North Texas,2011,2,1,1,0,4,4,0,4,0
20236,Jacob Holmen,North Texas,2012,2,0,0,2,3,3,1,2,0
20237,Jamie Egenti,North Texas,2009,NA,NA,NA,NA,NA,0,NA,NA,NA
20237,Jamie Egenti,North Texas,2010,0,0,0,0,0,0,0,0,0
20238,Josh White,North Texas,2009,14,2,7,5,9,9,1,2,6
20238,Josh White,North Texas,2010,0,0,0,0,1,1,0,1,0
20239,Kendrick Hogans,North Texas,2010,1,0,1,0,0,0,0,0,0
20239,Kendrick Hogans,North Texas,2011,0,0,0,0,3,3,0,3,0
20240,Nick Goff,North Texas,2009,0,0,0,0,0,0,0,0,0
20240,Nick Goff,Ohio,2011,0,0,0,0,2,2,0,1,1
20240,Nick Goff,Ohio,2012,3,1,1,1,0,0,0,0,0
20241,Richard Thomas,North Texas,2009,4,1,1,2,2,2,1,0,1
20242,Shannon Shorter,North Texas,2009,3,0,1,2,7,7,1,2,4
20242,Shannon Shorter,North Texas,2010,1,0,1,0,0,0,0,0,0
20243,Tristan Thompson (2),North Texas,2009,5,3,1,1,7,7,1,3,3
20243,Tristan Thompson (2),North Texas,2010,2,1,1,0,2,2,0,2,0
20244,Tyler Hall,North Texas,2009,0,0,0,0,0,0,0,0,0
20244,Tyler Hall,North Texas,2010,0,0,0,0,0,0,0,0,0
20244,Tyler Hall,North Texas,2011,2,1,0,1,5,5,0,4,1
20286,Allyn Cooks,South Alabama,2009,3,1,2,0,4,4,0,3,1
20286,Allyn Cooks,South Alabama,2010,8,4,4,0,6,6,0,3,3
20287,Andre Gowins,South Alabama,2010,0,0,0,0,0,0,0,0,0
20287,Andre Gowins,South Alabama,2011,0,0,0,0,1,1,0,1,0
20288,Augustine Rubit,South Alabama,2010,1,1,0,0,5,5,1,3,1
20288,Augustine Rubit,South Alabama,2011,1,0,0,1,15,15,1,7,7
20288,Augustine Rubit,South Alabama,2012,0,0,0,0,6,6,1,3,2
20288,Augustine Rubit,South Alabama,2013,9,1,1,7,13,13,2,7,4
20291,Bryan Sherrer,South Alabama,2009,6,0,2,4,3,3,0,3,0
20292,Charles Tabet,South Alabama,2009,0,0,0,0,0,0,0,0,0
20293,DeAndre Hersey,South Alabama,2009,1,0,1,0,1,1,0,0,1
20293,DeAndre Hersey,South Alabama,2010,2,0,1,1,0,0,0,0,0
20293,DeAndre Hersey,South Alabama,2011,1,1,0,0,2,2,1,0,1
20294,Javier Carter,South Alabama,2009,0,0,0,0,0,0,0,0,0
20294,Javier Carter,South Alabama,2010,0,0,0,0,3,3,2,1,0
20294,Javier Carter,South Alabama,2011,3,3,0,0,7,7,0,3,4
20294,Javier Carter,South Alabama,2012,0,0,0,0,4,4,1,1,2
20295,Jayson Guerrier,South Alabama,2009,0,0,0,0,0,0,0,0,0
20295,Jayson Guerrier,Albany,2011,0,0,0,0,1,1,0,1,0
20295,Jayson Guerrier,Albany,2012,2,0,1,1,4,4,1,2,1
20296,LaShun Watson,South Alabama,2009,3,0,2,1,3,3,0,2,1
20297,Martino Brock,South Alabama,2009,4,1,1,2,1,1,0,0,1
20297,Martino Brock,South Alabama,2010,9,3,2,4,13,13,2,6,5
20297,Martino Brock,South Florida,2012,9,1,2,6,7,7,0,4,3
20297,Martino Brock,South Florida,2013,7,0,5,2,3,3,0,3,0
20298,Philip Tabet,South Alabama,2009,0,0,0,0,1,1,0,1,0
20299,Raymond Sims,South Alabama,2009,2,0,1,1,3,3,0,3,0
20299,Raymond Sims,South Alabama,2010,3,0,1,2,10,10,0,7,3
20300,Rob Phillips,South Alabama,2009,0,0,0,0,0,0,0,0,0
20302,Todd Martin,South Alabama,2010,1,1,0,0,2,2,0,1,1
20304,C.J. Garner,Long Island,2010,4,0,2,2,3,3,0,2,1
20304,C.J. Garner,Long Island,2011,8,1,2,5,6,6,0,3,3
20304,C.J. Garner,Long Island,2012,6,0,4,2,2,2,0,2,0
20305,DeAndrae Ross,Troy,2010,0,0,0,0,4,4,0,4,0
20311,Chip Ivany,Texas-San Antonio,2009,NA,NA,NA,NA,NA,0,NA,NA,NA
20345,Antywan Jones,Troy,2009,8,3,2,3,6,6,1,3,2
20346,Bernard Toombs,Troy,2009,1,0,1,0,2,2,0,2,0
20346,Bernard Toombs,Troy,2010,1,0,0,1,4,4,0,3,1
20347,Kyle Greenwood,Troy,2009,0,0,0,0,0,0,0,0,0
20348,Regis Huddleston,Troy,2010,2,1,0,1,1,1,0,0,1
20349,Steven Cunningham,Troy,2009,0,0,0,0,0,0,0,0,0
20349,Steven Cunningham,Troy,2010,3,1,0,2,1,1,0,1,0
20349,Steven Cunningham,Troy,2011,3,0,1,2,8,8,1,4,3
20350,Travis Lee,Troy,2010,0,0,0,0,0,0,0,0,0
20351,Trayce Macon,Troy,2009,0,0,0,0,0,0,0,0,0
20352,Vernon Taylor,Troy,2009,5,2,1,2,5,5,0,3,2
20352,Vernon Taylor,Troy,2010,1,0,1,0,2,2,0,0,2
20390,Anthony Sally,Western Kentucky,2009,4,0,2,2,13,13,0,8,5
20391,Caden Dickerson,Western Kentucky,2009,4,2,1,1,1,1,0,1,0
20391,Caden Dickerson,Western Kentucky,2010,2,0,1,1,2,2,0,0,2
20391,Caden Dickerson,Western Kentucky,2011,2,1,0,1,1,1,0,1,0
20391,Caden Dickerson,Western Kentucky,2012,3,1,1,1,6,6,0,3,3
20391,Caden Dickerson,Western Kentucky,2013,1,1,0,0,2,2,0,1,1
20392,Cliff Dixon,Western Kentucky,2009,0,0,0,0,4,4,0,2,2
20392,Cliff Dixon,Western Kentucky,2010,3,0,3,0,4,4,0,2,2
20393,Jamal Crook,Western Kentucky,2009,1,0,1,0,4,4,0,0,4
20393,Jamal Crook,Western Kentucky,2010,7,1,4,2,4,4,0,1,3
20393,Jamal Crook,Western Kentucky,2011,8,0,3,5,14,14,0,7,7
20393,Jamal Crook,Western Kentucky,2012,12,3,5,4,9,9,1,3,5
20394,Jameson Tipping,Western Kentucky,2009,1,0,0,1,2,2,0,1,1
20395,Jordan Swing,Western Kentucky,2009,0,0,0,0,1,1,0,0,1
20395,Jordan Swing,UAB,2011,6,0,3,3,11,11,1,8,2
20395,Jordan Swing,UAB,2012,19,8,4,7,14,14,2,8,4
20395,Jordan Swing,UAB,2013,4,2,1,1,6,6,2,3,1
20396,Sergio Kerusch,Western Kentucky,2009,0,0,0,0,0,0,0,0,0
20396,Sergio Kerusch,Western Kentucky,2010,2,1,1,0,5,5,1,2,2
20429,Adam Parzych,Bryant,2009,8,2,3,3,7,7,0,4,3
20430,Alex Herzing,Bryant,2010,NA,NA,NA,NA,NA,0,NA,NA,NA
20431,Anthony Thomas (2),Bryant,2009,1,0,0,1,0,0,0,0,0
20432,Barry Latham,Bryant,2009,3,1,2,0,5,5,0,2,3
20432,Barry Latham,Bryant,2010,8,4,1,3,3,3,2,0,1
20433,Brent Abendroth,Bryant,2009,0,0,0,0,0,0,0,0,0
20434,Cecil Gresham,Bryant,2009,3,1,1,1,4,4,0,4,0
20434,Cecil Gresham,Bryant,2010,4,1,1,2,4,4,0,1,3
20435,Chris Birrell,Bryant,2009,5,2,2,1,8,8,2,5,1
20436,Claybrin McMath,Bryant,2009,1,1,0,0,1,1,0,1,0
20436,Claybrin McMath,Bryant,2010,0,0,0,0,2,2,0,1,1
20436,Claybrin McMath,Bryant,2011,1,0,0,1,1,1,0,1,0
20436,Claybrin McMath,Bryant,2012,0,0,0,0,1,1,0,0,1
20436,Claybrin McMath,Bryant,2013,1,0,0,1,0,0,0,0,0
20437,Daniel Calandrillo,Bryant,2009,1,1,0,0,0,0,0,0,0
20437,Daniel Calandrillo,Bryant,2010,0,0,0,0,0,0,0,0,0
20437,Daniel Calandrillo,Bryant,2011,1,0,0,1,1,1,0,1,0
20437,Daniel Calandrillo,Bryant,2012,0,0,0,0,0,0,0,0,0
20438,Don Smith,Bryant,2009,0,0,0,0,0,0,0,0,0
20439,Erick Smith,Bryant,2009,1,0,1,0,4,4,0,1,3
20439,Erick Smith,Bryant,2010,0,0,0,0,0,0,0,0,0
20439,Erick Smith,Bryant,2011,0,0,0,0,0,0,0,0,0
20439,Erick Smith,Bryant,2012,0,0,0,0,1,1,0,1,0
20440,Michael Chroney,Bryant,2009,4,0,2,2,12,12,2,5,5
20440,Michael Chroney,Bryant,2010,1,0,0,1,1,1,0,0,1
20441,Nick Pontes,Bryant,2009,0,0,0,0,11,11,1,4,6
20442,Raphael Jordan,Bryant,2009,8,1,3,4,7,7,0,5,2
20442,Raphael Jordan,Bryant,2010,5,1,0,4,6,6,0,2,4
20442,Raphael Jordan,Bryant,2011,6,0,3,3,2,2,0,0,2
20442,Raphael Jordan,Bryant,2012,0,0,0,0,0,0,0,0,0
20443,Sam LeClerc,Bryant,2009,3,2,1,0,4,4,0,3,1
20444,Vladyslav Kondratyev,Bryant,2009,0,0,0,0,9,9,1,4,4
20444,Vladyslav Kondratyev,Bryant,2010,3,0,1,2,5,5,1,2,2
20444,Vladyslav Kondratyev,Bryant,2011,0,0,0,0,3,3,0,1,2
20444,Vladyslav Kondratyev,Bryant,2012,2,0,0,2,0,0,0,0,0
20451,Chris Baskerville,Central Connecticut State,2009,0,0,0,0,1,1,0,0,1
20451,Chris Baskerville,Central Connecticut State,2010,1,1,0,0,4,4,2,2,0
20452,David Simmons,Central Connecticut State,2009,0,0,0,0,3,3,0,1,2
20452,David Simmons,Central Connecticut State,2011,0,0,0,0,3,3,0,1,2
20453,Devan Bailey,Central Connecticut State,2009,2,0,2,0,1,1,0,0,1
20453,Devan Bailey,Central Connecticut State,2010,7,4,2,1,2,2,1,1,0
20454,Joe Seymore,Central Connecticut State,2009,0,0,0,0,4,4,0,1,3
20455,Jonathan Tull,Central Connecticut State,2009,0,0,0,0,3,3,0,0,3
20456,Joe Efese,Central Connecticut State,2009,1,0,0,1,2,2,0,1,1
20456,Joe Efese,Central Connecticut State,2010,0,0,0,0,1,1,1,0,0
20456,Joe Efese,Central Connecticut State,2011,1,0,0,1,2,2,0,0,2
20456,Joe Efese,Central Connecticut State,2012,0,0,0,0,5,5,1,2,2
20457,Ken Horton,Central Connecticut State,2010,5,1,3,1,2,2,0,2,0
20457,Ken Horton,Central Connecticut State,2011,12,3,4,5,6,6,1,3,2
20458,Markeys Deans,Central Connecticut State,2009,0,0,0,0,0,0,0,0,0
20458,Markeys Deans,Central Connecticut State,2010,2,2,0,0,4,4,1,3,0
20460,Robby Ptacek,Central Connecticut State,2009,1,0,1,0,0,0,0,0,0
20460,Robby Ptacek,Central Connecticut State,2010,3,0,3,0,10,10,1,4,5
20460,Robby Ptacek,Central Connecticut State,2011,4,1,3,0,5,5,0,2,3
20461,Ross Pentland,Central Connecticut State,2009,1,0,0,1,1,1,0,1,0
20462,Shemik Thompson,Central Connecticut State,2009,2,2,0,0,1,1,0,1,0
20462,Shemik Thompson,Central Connecticut State,2010,18,3,9,6,9,9,2,4,3
20463,Vince Rosario,Central Connecticut State,2009,2,1,1,0,1,1,0,0,1
20463,Vince Rosario,Central Connecticut State,2010,0,0,0,0,3,3,0,2,1
20503,Anaclet Mulumba Mbayi,Fairleigh Dickinson,2009,0,0,0,0,4,4,0,4,0
20505,DeJuan Pursley,Fairleigh Dickinson,2009,0,0,0,0,3,3,0,3,0
20506,DeShawn Dockery,Fairleigh Dickinson,2009,0,0,0,0,0,0,0,0,0
20506,DeShawn Dockery,Fairleigh Dickinson,2010,9,2,3,4,9,9,1,5,3
20506,DeShawn Dockery,Tennessee State,2012,9,1,2,6,8,8,2,5,1
20507,John Galvin,Fairleigh Dickinson,2009,1,0,1,0,4,4,1,3,0
20507,John Galvin,Fairleigh Dickinson,2010,1,0,0,1,3,3,0,0,3
20509,Kamil Svrdlik,Fairleigh Dickinson,2009,1,0,1,0,9,9,3,3,3
20509,Kamil Svrdlik,Fairleigh Dickinson,2010,2,0,2,0,16,16,4,6,6
20510,Lawrence Brown,Fairleigh Dickinson,2009,0,0,0,0,1,1,0,1,0
20511,Louis Larizza,Fairleigh Dickinson,2009,1,0,1,0,2,2,0,1,1
20511,Louis Larizza,Fairleigh Dickinson,2011,NA,NA,NA,NA,NA,0,NA,NA,NA
20513,Sam Fernley,Fairleigh Dickinson,2009,0,0,0,0,0,0,0,0,0
20513,Sam Fernley,Fairleigh Dickinson,2010,1,0,0,1,0,0,0,0,0
20513,Sam Fernley,Fairleigh Dickinson,2011,0,0,0,0,0,0,0,0,0
20550,Arnold Mayorga,Long Island,2009,2,0,0,2,3,3,0,2,1
20550,Arnold Mayorga,Long Island,2010,0,0,0,0,1,1,0,0,1
20550,Arnold Mayorga,Long Island,2011,1,0,1,0,2,2,1,0,1
20551,Booker Hucks,Long Island,2009,1,0,0,1,0,0,0,0,0
20551,Booker Hucks,Long Island,2010,0,0,0,0,0,0,0,0,0
20551,Booker Hucks,Long Island,2011,0,0,0,0,0,0,0,0,0
20551,Booker Hucks,Long Island,2012,0,0,0,0,0,0,0,0,0
20552,"Corey Wright, Jr.",Long Island,2009,2,0,1,1,2,2,0,2,0
20553,David Hicks,Long Island,2009,2,0,1,1,2,2,0,2,0
20553,David Hicks,Long Island,2010,0,0,0,0,3,3,2,0,1
20554,Jamal Olasewere,Long Island,2009,2,0,2,0,8,8,0,6,2
20554,Jamal Olasewere,Long Island,2010,4,0,3,1,7,7,2,2,3
20554,Jamal Olasewere,Long Island,2011,1,1,0,0,7,7,1,2,4
20554,Jamal Olasewere,Long Island,2012,2,0,2,0,3,3,1,1,1
20555,Jaytornah Wisseh,Long Island,2009,5,0,2,3,10,10,0,7,3
