GMID,Name,School,Year,Grade,A1PerRimAtt,A1Per2PT,PercFTsShootF
20984,Josh Nirenberg,Appalachian State,2009,Fr,0.500,0.167,0.00%
9581,Donald Sims,Appalachian State,2009,Jr,0.136,0.055,66.88%
20991,Tyler Webb,Appalachian State,2009,Sr,0.000,0.000,55.56%
20979,Andre Williamson,Appalachian State,2009,So,0.095,0.038,72.97%
20987,Marcus Wright,Appalachian State,2009,So,0.150,0.061,59.46%
6680,Ty Abbott,Arizona State,2009,Jr,0.109,0.046,60.78%
1954,Eric Boateng,Arizona State,2009,Sr,0.112,0.073,68.09%
4734,Derek Glasser,Arizona State,2009,Sr,0.048,0.017,81.91%
6682,Marcus Jackson,Arizona State,2009,Fr,NA,NA,NA
6676,Rihards Kuksiks,Arizona State,2009,Jr,0.159,0.076,64.81%
6679,Trent Lockett,Arizona State,2009,Fr,0.113,0.056,64.71%
6674,Jamelle McMillan,Arizona State,2009,Jr,0.045,0.031,76.47%
6677,Ruslan Pateev,Arizona State,2009,Fr,0.000,0.000,33.33%
6678,Taylor Rohde,Arizona State,2009,So,0.154,0.125,53.85%
6681,Victor Rudd,Arizona State,2009,Fr,0.000,0.000,100.00%
6675,Jerren Shipp,Arizona State,2009,Sr,0.118,0.077,66.67%
6671,Brandon Thompson,Arizona State,2009,Fr,NA,NA,NA
6673,Demetrius Walker,Arizona State,2009,Fr,0.091,0.037,76.19%
6649,Kyle Fogg,Arizona,2009,So,0.050,0.015,67.47%
6653,Solomon Hill,Arizona,2009,Fr,0.145,0.079,64.71%
6647,Jamelle Horne,Arizona,2009,Jr,0.034,0.009,60.53%
6641,Alex Jacobson,Arizona,2009,So,0.000,0.000,80.00%
2540,Lamont Jones,Arizona,2009,Fr,0.128,0.040,66.67%
6646,Garland Judkins,Arizona,2009,RS-So,NA,0.000,NA
6642,Brendon Lavender,Arizona,2009,So,0.000,0.000,71.43%
6650,Kyryl Natyazhko,Arizona,2009,Fr,0.000,0.000,60.87%
6648,Kevin Parrom,Arizona,2009,Fr,0.038,0.018,85.71%
6643,D.J. Shumpert,Arizona,2009,So,NA,0.000,NA
6644,Derrick Williams,Arizona,2009,Fr,0.110,0.070,72.40%
6645,Dondre Wise,Arizona,2009,So,NA,NA,NA
