GMID,Name,School,Year,Position,BS2P,PerRimABlkd,PerRimMissesRbded,Per2PJMissesRbded,Per3PMissesRbded,DunkedPutbacks,PerPBDunked,PutbacksOwn,PerS2APB,PerL2PAPB
16679,Nick Peterson,Pacific,2009,Guard,0.00%,NR,NR,NR,NR,0.00%,NR,0.00%,NR,NR
16682,Reed Kamler,Pacific,2009,Guard,0.00%,NR,NR,NR,NR,0.00%,NR,0.00%,NR,NR
16682,Reed Kamler,Pacific,2012,Guard,0.00%,NR,NR,NR,NR,0.00%,NR,0.00%,NR,NR
16684,Stephon Lamar,Pacific,2009,Guard,0.00%,NR,NR,NR,NR,0.00%,NR,0.00%,NR,NR
16684,Stephon Lamar,Pacific,2010,Guard,0.00%,NR,NR,NR,NR,0.00%,NR,0.00%,NR,NR
16685,Sterling Carter,Seattle,2010,Guard,77.61%,46.33%,57.53%,61.40%,64.82%,0.00%,NR,72.99%,NR,NR
16685,Sterling Carter,Seattle,2011,Guard,45.93%,24.14%,91.51%,37.52%,72.89%,0.00%,NR,0.00%,NR,NR
16685,Sterling Carter,Seattle,2012,Guard,27.12%,16.07%,34.07%,14.81%,53.86%,0.00%,NR,0.00%,NR,NR
16685,Sterling Carter,Purdue,2013,Guard,45.93%,9.12%,91.51%,83.10%,33.83%,0.00%,NR,49.68%,NR,NR
16686,Terrell Smith,Pacific,2009,Guard,54.29%,51.16%,74.35%,44.73%,67.40%,0.00%,NR,85.37%,NR,NR
16686,Terrell Smith,Pacific,2010,Guard,45.93%,40.53%,17.71%,78.30%,23.68%,0.00%,NR,0.00%,NR,NR
16732,Jacob Ranger,UC Davis,2009,Guard,15.66%,52.71%,9.06%,NR,NR,0.00%,NR,0.00%,NR,NR
16733,Julian Welch,UC Davis,2009,Guard,61.46%,32.03%,44.66%,15.94%,46.41%,0.00%,NR,72.99%,NR,NR
16733,Julian Welch,Minnesota,2011,Guard,37.08%,66.51%,60.55%,27.16%,83.16%,0.00%,NR,0.00%,NR,NR
16733,Julian Welch,Minnesota,2012,Guard,27.12%,39.16%,54.14%,86.89%,33.72%,0.00%,NR,0.00%,NR,NR
16734,Mark Payne,UC Davis,2009,Guard,54.29%,67.35%,52.58%,54.31%,42.75%,0.00%,NR,72.99%,NR,NR
16734,Mark Payne,UC Davis,2010,Guard,85.31%,38.49%,36.30%,8.52%,19.63%,0.00%,NR,49.68%,NR,NR
16736,Ryan Sypkens,UC Davis,2009,Guard,27.12%,63.50%,42.37%,18.31%,54.99%,0.00%,NR,72.99%,NR,NR
16736,Ryan Sypkens,UC Davis,2010,Guard,54.29%,13.52%,6.03%,42.74%,33.75%,0.00%,NR,0.00%,NR,NR
16736,Ryan Sypkens,UC Davis,2011,Guard,0.00%,NR,NR,40.08%,79.32%,0.00%,NR,0.00%,NR,NR
16736,Ryan Sypkens,UC Davis,2012,Guard,37.08%,20.57%,30.54%,33.09%,32.23%,0.00%,NR,0.00%,NR,NR
16736,Ryan Sypkens,UC Davis,2013,Guard,54.29%,4.22%,9.06%,45.93%,22.38%,0.00%,NR,49.68%,NR,NR
16737,Ryan Howley,UC Davis,2009,Guard,67.51%,38.38%,34.07%,93.46%,28.51%,0.00%,NR,49.68%,NR,NR
16737,Ryan Howley,UC Davis,2010,Guard,15.66%,68.29%,74.35%,NR,8.93%,0.00%,NR,0.00%,NR,NR
16737,Ryan Howley,UC Davis,2011,Guard,37.08%,32.98%,4.41%,8.39%,44.53%,0.00%,NR,0.00%,NR,NR
16737,Ryan Howley,UC Davis,2012,Guard,67.51%,54.48%,78.69%,70.79%,37.73%,78.83%,NR,85.37%,NR,NR
16763,Brandon Scott,UC Irvine,2009,Guard,0.00%,NR,NR,NR,NR,0.00%,NR,0.00%,NR,NR
16764,Derrick Flowers,UC Irvine,2009,Guard,15.66%,NR,NR,93.46%,62.78%,0.00%,NR,0.00%,NR,NR
16764,Derrick Flowers,UC Irvine,2010,Guard,45.93%,13.91%,42.37%,11.71%,28.51%,0.00%,NR,0.00%,NR,NR
16764,Derrick Flowers,UC Irvine,2011,Guard,67.51%,40.98%,75.35%,68.37%,88.36%,0.00%,NR,49.68%,NR,NR
16764,Derrick Flowers,UC Irvine,2012,Guard,45.93%,33.54%,88.90%,83.61%,16.37%,0.00%,NR,0.00%,NR,NR
16765,Derrick Strings,UC Irvine,2009,Guard,27.12%,NR,NR,93.46%,75.71%,0.00%,NR,72.99%,NR,NR
16765,Derrick Strings,UC Irvine,2010,Guard,15.66%,NR,NR,16.57%,15.10%,0.00%,NR,0.00%,NR,NR
16766,Emil Kim,UC Irvine,2009,Guard,27.12%,36.23%,13.35%,93.46%,NR,0.00%,NR,49.68%,NR,NR
16766,Emil Kim,UC Irvine,2010,Guard,15.66%,NR,NR,54.31%,NR,0.00%,NR,72.99%,NR,NR
16767,Jonas Lalehzadeh,UC Irvine,2009,Guard,15.66%,NR,NR,NR,NR,0.00%,NR,49.68%,NR,NR
16767,Jonas Lalehzadeh,UC Irvine,2010,Guard,0.00%,NR,NR,NR,NR,0.00%,NR,0.00%,NR,NR
16768,Michael Vincent Hunter,UC Irvine,2009,Guard,37.08%,65.60%,59.76%,21.84%,48.19%,0.00%,NR,0.00%,NR,NR
16769,Mike Wilder,UC Irvine,2009,Guard,15.66%,NR,NR,19.65%,64.76%,0.00%,NR,0.00%,NR,NR
16769,Mike Wilder,UC Irvine,2010,Guard,15.66%,69.42%,42.37%,46.36%,19.87%,0.00%,NR,72.99%,NR,NR
16769,Mike Wilder,UC Irvine,2011,Guard,37.08%,59.22%,59.76%,16.57%,42.21%,0.00%,NR,49.68%,NR,NR
16769,Mike Wilder,UC Irvine,2012,Guard,54.29%,48.74%,83.69%,86.89%,43.00%,0.00%,NR,72.99%,NR,NR
16770,Patrick Rembert,UC Irvine,2009,Guard,27.12%,61.35%,78.69%,55.66%,82.97%,0.00%,NR,0.00%,NR,NR
16770,Patrick Rembert,UC Irvine,2010,Guard,85.31%,36.41%,30.70%,59.19%,51.81%,0.00%,NR,0.00%,NR,NR
16817,Dwight Gordon,UC Riverside,2009,Guard,15.66%,70.33%,86.82%,80.54%,4.04%,0.00%,NR,85.37%,NR,NR
16818,Idris Dawud Alvarado,UC Riverside,2009,Guard,0.00%,NR,NR,NR,NR,0.00%,NR,0.00%,NR,NR
16819,Jalonni Diggs,UC Riverside,2009,Guard,0.00%,NR,NR,NR,62.78%,0.00%,NR,0.00%,NR,NR
16820,Javon Borum,UC Riverside,2010,Guard,54.29%,20.57%,31.46%,44.73%,66.63%,0.00%,NR,0.00%,NR,NR
16824,Lateef McMullan,UC Riverside,2009,Guard,27.12%,54.41%,91.51%,85.54%,53.20%,0.00%,NR,0.00%,NR,NR
16824,Lateef McMullan,Portland State,2011,Guard,27.12%,67.96%,37.29%,78.73%,54.13%,0.00%,NR,0.00%,NR,NR
16824,Lateef McMullan,Portland State,2012,Guard,85.31%,5.40%,84.87%,20.90%,72.04%,0.00%,NR,0.00%,NR,NR
16825,Niko Brooks,UC Riverside,2009,Guard,0.00%,NR,NR,NR,NR,0.00%,NR,0.00%,NR,NR
16826,Rudy Meo,UC Riverside,2009,Guard,0.00%,100.00%,74.35%,93.46%,46.41%,0.00%,NR,49.68%,NR,NR
16827,Sean Cunningham,UC Riverside,2009,Guard,37.08%,42.80%,77.79%,40.35%,41.87%,0.00%,NR,49.68%,NR,NR
16882,Chris Brew,UC Santa Barbara,2009,Guard,27.12%,56.26%,86.82%,54.31%,NR,0.00%,NR,0.00%,NR,NR
16883,Christian Peterson,UC Santa Barbara,2009,Guard,0.00%,NR,NR,NR,NR,0.00%,NR,0.00%,NR,NR
16883,Christian Peterson,UC Santa Barbara,2010,Guard,15.66%,NR,NR,NR,NR,0.00%,NR,0.00%,NR,NR
16883,Christian Peterson,UC Santa Barbara,2011,Guard,15.66%,61.35%,50.22%,78.30%,NR,0.00%,NR,0.00%,NR,NR
16888,James Powell,UC Santa Barbara,2009,Guard,0.00%,100.00%,74.35%,25.94%,15.80%,0.00%,NR,0.00%,NR,NR
16889,Jordan Weiner,UC Santa Barbara,2009,Guard,15.66%,NR,NR,NR,88.33%,0.00%,NR,0.00%,NR,NR
16889,Jordan Weiner,UC Santa Barbara,2010,Guard,15.66%,NR,NR,14.81%,40.97%,0.00%,NR,0.00%,NR,NR
16890,Justin Joyner,UC Santa Barbara,2009,Guard,0.00%,NR,NR,NR,3.31%,0.00%,NR,0.00%,NR,NR
16890,Justin Joyner,UC Santa Barbara,2010,Guard,15.66%,52.71%,0.00%,42.30%,72.04%,0.00%,NR,49.68%,NR,NR
16892,Paul Roemer,UC Santa Barbara,2009,Guard,0.00%,NR,NR,NR,46.41%,0.00%,NR,0.00%,NR,NR
16895,Will Brew,UC Santa Barbara,2009,Guard,37.08%,57.02%,17.24%,11.97%,6.45%,0.00%,NR,0.00%,NR,NR
16895,Will Brew,UC Santa Barbara,2010,Guard,27.12%,57.54%,16.38%,81.57%,28.51%,0.00%,NR,0.00%,NR,NR
16934,Blake Jolivette,American University,2009,Guard,27.12%,36.23%,25.02%,38.06%,69.70%,0.00%,NR,0.00%,NR,NR
16934,Blake Jolivette,American University,2010,Guard,0.00%,NR,NR,NR,NR,0.00%,NR,0.00%,NR,NR
16934,Blake Jolivette,American University,2011,Guard,81.89%,14.13%,55.36%,60.81%,18.38%,0.00%,NR,0.00%,NR,NR
16934,Blake Jolivette,American University,2012,Guard,45.93%,24.14%,25.02%,18.93%,69.70%,0.00%,NR,0.00%,NR,NR
16936,Daniel Munoz (2),American University,2009,Guard,61.46%,9.12%,42.37%,45.46%,90.98%,0.00%,NR,0.00%,NR,NR
16936,Daniel Munoz (2),American University,2010,Guard,27.12%,61.35%,59.76%,35.62%,96.54%,0.00%,NR,0.00%,NR,NR
16936,Daniel Munoz (2),American University,2011,Guard,81.89%,13.04%,74.35%,6.54%,12.05%,0.00%,NR,0.00%,NR,NR
16936,Daniel Munoz (2),American University,2012,Guard,72.85%,33.54%,25.78%,66.94%,19.04%,0.00%,NR,0.00%,NR,NR
16938,Joe Hill (2),American University,2009,Guard,0.00%,NR,NR,NR,33.42%,0.00%,NR,0.00%,NR,NR
16938,Joe Hill (2),American University,2010,Guard,0.00%,NR,NR,NR,NR,0.00%,NR,0.00%,NR,NR
16938,Joe Hill (2),American University,2011,Guard,0.00%,NR,NR,NR,75.71%,0.00%,NR,0.00%,NR,NR
16939,Jordan Borucki,American University,2009,Guard,0.00%,NR,NR,NR,NR,0.00%,NR,0.00%,NR,NR
16939,Jordan Borucki,American University,2010,Guard,0.00%,NR,NR,NR,NR,0.00%,NR,0.00%,NR,NR
16939,Jordan Borucki,American University,2011,Guard,0.00%,NR,NR,NR,NR,0.00%,NR,0.00%,NR,NR
16939,Jordan Borucki,American University,2013,Guard,0.00%,NR,NR,NR,NR,0.00%,NR,0.00%,NR,NR
16941,Matthew Wilson,American University,2009,Guard,45.93%,7.76%,13.35%,NR,NR,0.00%,NR,0.00%,NR,NR
16943,Nick Hendra,American University,2009,Guard,37.08%,66.51%,26.63%,78.86%,42.75%,0.00%,NR,72.99%,NR,NR
16943,Nick Hendra,American University,2010,Guard,61.46%,51.26%,11.08%,38.06%,72.17%,0.00%,NR,0.00%,NR,NR
16945,Simon McCormack,American University,2009,Guard,77.61%,45.39%,77.34%,57.58%,NR,0.00%,NR,72.99%,NR,NR
16945,Simon McCormack,American University,2010,Guard,88.15%,8.44%,89.10%,64.09%,NR,0.00%,NR,91.24%,NR,NR
16945,Simon McCormack,American University,2011,Guard,67.51%,45.48%,25.02%,54.31%,NR,0.00%,NR,49.68%,NR,NR
16947,Steve Luptak,American University,2009,Guard,0.00%,100.00%,42.37%,93.46%,21.84%,0.00%,NR,0.00%,NR,NR
16947,Steve Luptak,American University,2010,Guard,27.12%,32.03%,81.53%,66.87%,10.50%,0.00%,NR,49.68%,NR,NR
16983,Cleveland Richard,Army,2009,Guard,54.29%,64.78%,11.24%,15.50%,51.07%,0.00%,NR,49.68%,NR,NR
16986,Jason Pancoe,Army,2009,Guard,0.00%,NR,NR,NR,35.36%,0.00%,NR,0.00%,NR,NR
16986,Jason Pancoe,Army,2010,Guard,27.12%,16.07%,42.37%,15.28%,71.01%,0.00%,NR,0.00%,NR,NR
16986,Jason Pancoe,Army,2011,Guard,0.00%,NR,NR,74.54%,21.56%,0.00%,NR,0.00%,NR,NR
16989,Jon Sizemore,Army,2009,Guard,15.66%,64.37%,74.35%,74.54%,NR,0.00%,NR,49.68%,NR,NR
16991,Josh Miller,Army,2009,Guard,54.29%,48.74%,15.64%,40.35%,67.83%,0.00%,NR,49.68%,NR,NR
16992,Julian Simmons,Army,2009,Guard,61.46%,22.70%,6.23%,37.59%,62.78%,0.00%,NR,49.68%,NR,NR
16992,Julian Simmons,Army,2010,Guard,67.51%,28.83%,18.52%,56.95%,62.89%,0.00%,NR,91.24%,NR,NR
16992,Julian Simmons,Army,2011,Guard,96.25%,5.58%,13.35%,57.38%,37.21%,0.00%,NR,49.68%,NR,NR
16994,Marcus Nelson,Army,2009,Guard,54.29%,64.92%,25.78%,66.87%,NR,0.00%,NR,91.24%,NR,NR
16995,Mitch McDonald,Army,2009,Guard,15.66%,65.45%,54.14%,4.51%,NR,0.00%,NR,0.00%,NR,NR
16995,Mitch McDonald,Army,2010,Guard,67.51%,37.46%,34.07%,6.54%,NR,0.00%,NR,0.00%,NR,NR
16998,Tyrell Thompson,Army,2009,Guard,45.93%,46.29%,25.02%,11.97%,96.54%,0.00%,NR,49.68%,NR,NR
17002,Jesse Steele,Monmouth,2010,Guard,45.93%,12.88%,81.53%,27.16%,73.94%,0.00%,NR,0.00%,NR,NR
17002,Jesse Steele,Monmouth,2011,Guard,97.59%,12.88%,74.76%,42.42%,18.96%,0.00%,NR,0.00%,NR,NR
17002,Jesse Steele,Monmouth,2012,Guard,93.96%,21.55%,14.31%,21.93%,44.87%,0.00%,NR,49.68%,NR,NR
17024,David Thomas,Grambling State,2009,Guard,0.00%,NR,NR,NR,NR,0.00%,NR,49.68%,NR,NR
17057,Bryson Johnson,Bucknell,2009,Guard,15.66%,56.26%,42.37%,81.81%,51.33%,0.00%,NR,0.00%,NR,NR
17057,Bryson Johnson,Bucknell,2010,Guard,37.08%,14.60%,25.02%,29.10%,50.00%,0.00%,NR,0.00%,NR,NR
17057,Bryson Johnson,Bucknell,2011,Guard,27.12%,NR,NR,64.09%,36.27%,0.00%,NR,0.00%,NR,NR
17057,Bryson Johnson,Bucknell,2012,Guard,27.12%,65.45%,37.87%,63.48%,62.78%,0.00%,NR,49.68%,NR,NR
17059,D.J. Rowe,Bucknell,2009,Guard,0.00%,NR,NR,NR,NR,0.00%,NR,0.00%,NR,NR
17060,Darryl Shazier,Bucknell,2009,Guard,92.32%,10.71%,28.77%,25.94%,46.95%,0.00%,NR,49.68%,NR,NR
17060,Darryl Shazier,Bucknell,2010,Guard,77.61%,34.23%,35.37%,37.72%,24.08%,0.00%,NR,72.99%,NR,NR
17062,G.W. Boon,Bucknell,2009,Guard,54.29%,53.87%,83.80%,68.07%,30.35%,0.00%,NR,98.40%,NR,NR
17062,G.W. Boon,Bucknell,2010,Guard,72.85%,25.76%,2.54%,15.94%,14.05%,0.00%,NR,72.99%,NR,NR
17064,Matt Fiery,Bucknell,2009,Guard,0.00%,NR,NR,NR,NR,0.00%,NR,0.00%,NR,NR
17069,Stephen Tyree,Bucknell,2009,Guard,45.93%,63.71%,0.89%,74.54%,14.05%,0.00%,NR,0.00%,NR,NR
17069,Stephen Tyree,Bucknell,2010,Guard,0.00%,NR,NR,NR,NR,0.00%,NR,0.00%,NR,NR
17103,Anthony Hill (2),Colgate,2009,Guard,27.12%,NR,NR,54.31%,75.71%,0.00%,NR,0.00%,NR,NR
17103,Anthony Hill (2),Houston Baptist,2011,Guard,54.29%,23.05%,77.22%,31.11%,68.38%,0.00%,NR,49.68%,NR,NR
17103,Anthony Hill (2),Houston Baptist,2012,Guard,27.12%,28.83%,91.95%,74.54%,53.86%,0.00%,NR,0.00%,NR,NR
17106,Brett Marfurt,Colgate,2009,Guard,0.00%,NR,NR,NR,97.55%,0.00%,NR,0.00%,NR,NR
17107,Joe Hoban,Colgate,2009,Guard,45.93%,56.71%,14.31%,25.94%,62.78%,0.00%,NR,49.68%,NR,NR
17107,Joe Hoban,Colgate,2010,Guard,85.31%,36.79%,77.87%,58.23%,41.87%,0.00%,NR,0.00%,NR,NR
17110,Mike Venezia,Colgate,2009,Guard,15.66%,NR,NR,NR,40.97%,0.00%,NR,0.00%,NR,NR
17110,Mike Venezia,Colgate,2010,Guard,15.66%,NR,NR,31.69%,51.65%,0.00%,NR,0.00%,NR,NR
17110,Mike Venezia,Colgate,2011,Guard,61.46%,3.52%,46.24%,32.29%,43.89%,0.00%,NR,0.00%,NR,NR
17111,Mitch Rolls,Colgate,2009,Guard,37.08%,50.75%,9.06%,64.78%,78.05%,0.00%,NR,49.68%,NR,NR
17111,Mitch Rolls,Colgate,2010,Guard,67.51%,10.04%,15.27%,46.67%,28.68%,0.00%,NR,0.00%,NR,NR
17111,Mitch Rolls,Colgate,2011,Guard,37.08%,36.23%,25.02%,36.03%,28.83%,0.00%,NR,72.99%,NR,NR
17111,Mitch Rolls,Colgate,2012,Guard,37.08%,46.01%,87.37%,12.02%,38.91%,0.00%,NR,0.00%,NR,NR
17151,Andrew Beinert,Holy Cross,2009,Guard,37.08%,52.71%,44.66%,31.22%,63.23%,0.00%,NR,0.00%,NR,NR
17151,Andrew Beinert,Holy Cross,2010,Guard,37.08%,32.98%,2.47%,96.26%,55.33%,0.00%,NR,0.00%,NR,NR
17153,Charlie Mills,Holy Cross,2009,Guard,15.66%,NR,NR,NR,NR,0.00%,NR,0.00%,NR,NR
17153,Charlie Mills,Holy Cross,2010,Guard,0.00%,NR,NR,NR,NR,0.00%,NR,0.00%,NR,NR
17153,Charlie Mills,Holy Cross,2011,Guard,0.00%,NR,NR,NR,NR,0.00%,NR,0.00%,NR,NR
17154,Dee Goens,Holy Cross,2009,Guard,45.93%,25.76%,46.24%,59.19%,68.29%,0.00%,NR,0.00%,NR,NR
17154,Dee Goens,Holy Cross,2010,Guard,54.29%,4.78%,34.07%,25.94%,5.07%,0.00%,NR,0.00%,NR,NR
17154,Dee Goens,Holy Cross,2011,Guard,37.08%,5.04%,2.47%,66.87%,18.38%,0.00%,NR,0.00%,NR,NR
17154,Dee Goens,Holy Cross,2012,Guard,61.46%,5.43%,16.38%,60.81%,6.35%,0.00%,NR,0.00%,NR,NR
17155,Devin Brown,Holy Cross,2009,Guard,90.36%,18.25%,74.82%,62.91%,64.58%,0.00%,NR,0.00%,NR,NR
17155,Devin Brown,Holy Cross,2010,Guard,85.31%,28.99%,88.21%,55.29%,66.61%,0.00%,NR,0.00%,NR,NR
17155,Devin Brown,Holy Cross,2011,Guard,72.85%,52.86%,17.71%,38.39%,54.73%,0.00%,NR,0.00%,NR,NR
17158,Jeff Harris,Holy Cross,2010,Guard,0.00%,NR,NR,NR,NR,0.00%,NR,0.00%,NR,NR
17158,Jeff Harris,Holy Cross,2011,Guard,0.00%,NR,NR,NR,NR,0.00%,NR,0.00%,NR,NR
17159,Jordan Stevens,Holy Cross,2009,Guard,0.00%,NR,NR,NR,96.05%,0.00%,NR,49.68%,NR,NR
17159,Jordan Stevens,Holy Cross,2010,Guard,15.66%,70.81%,88.04%,85.38%,76.09%,0.00%,NR,0.00%,NR,NR
17159,Jordan Stevens,Holy Cross,2011,Guard,37.08%,32.98%,86.82%,6.46%,54.47%,0.00%,NR,49.68%,NR,NR
17159,Jordan Stevens,Holy Cross,2012,Guard,15.66%,70.64%,1.36%,66.87%,63.48%,0.00%,NR,0.00%,NR,NR
17162,R.J. Evans,Holy Cross,2009,Guard,99.77%,31.43%,58.61%,78.99%,90.34%,0.00%,NR,99.97%,NR,NR
17162,R.J. Evans,Holy Cross,2010,Guard,54.29%,45.63%,76.37%,99.12%,NR,0.00%,NR,85.37%,NR,NR
17162,R.J. Evans,Holy Cross,2011,Guard,92.32%,58.23%,74.37%,74.83%,97.43%,0.00%,NR,99.63%,NR,NR
17162,R.J. Evans,Connecticut,2012,Guard,77.61%,13.61%,51.23%,31.11%,NR,0.00%,NR,85.37%,NR,NR
17195,Andy Moore,Lafayette,2009,Guard,0.00%,NR,NR,NR,NR,0.00%,NR,0.00%,NR,NR
17195,Andy Moore,Lafayette,2010,Guard,0.00%,NR,NR,NR,NR,0.00%,NR,0.00%,NR,NR
17196,Ben Wheeler,Lafayette,2009,Guard,0.00%,100.00%,91.51%,74.54%,23.84%,0.00%,NR,0.00%,NR,NR
17196,Ben Wheeler,Lafayette,2010,Guard,15.66%,NR,NR,15.94%,68.91%,0.00%,NR,0.00%,NR,NR
17201,Jeff Kari,Lafayette,2009,Guard,37.08%,69.42%,25.61%,93.46%,18.38%,0.00%,NR,72.99%,NR,NR
17202,Jim Mower,Lafayette,2009,Guard,72.85%,43.69%,17.71%,7.66%,29.00%,0.00%,NR,49.68%,NR,NR
17202,Jim Mower,Lafayette,2010,Guard,45.93%,61.35%,17.24%,28.07%,47.63%,0.00%,NR,72.99%,NR,NR
17202,Jim Mower,Lafayette,2011,Guard,72.85%,44.30%,38.26%,70.25%,38.22%,0.00%,NR,72.99%,NR,NR
17205,Michael Gruner,Lafayette,2009,Guard,54.29%,56.26%,74.35%,5.18%,77.94%,0.00%,NR,72.99%,NR,NR
17206,Nick Petkovich,Lafayette,2009,Guard,0.00%,NR,NR,NR,46.41%,0.00%,NR,0.00%,NR,NR
17206,Nick Petkovich,Lafayette,2010,Guard,15.66%,NR,NR,19.65%,8.98%,0.00%,NR,0.00%,NR,NR
17206,Nick Petkovich,Lafayette,2011,Guard,15.66%,NR,NR,42.30%,11.16%,0.00%,NR,0.00%,NR,NR
17208,Rob Delaney,Lafayette,2009,Guard,15.66%,NR,NR,NR,NR,0.00%,NR,0.00%,NR,NR
17208,Rob Delaney,Lafayette,2010,Guard,54.29%,36.23%,74.35%,18.74%,43.06%,0.00%,NR,0.00%,NR,NR
17208,Rob Delaney,Lafayette,2011,Guard,88.15%,40.53%,9.53%,36.03%,16.69%,0.00%,NR,0.00%,NR,NR
17210,Tony Johnson,Lafayette,2009,Guard,54.29%,33.77%,4.88%,64.09%,40.97%,0.00%,NR,0.00%,NR,NR
17210,Tony Johnson,Lafayette,2010,Guard,54.29%,66.44%,14.31%,56.95%,15.77%,0.00%,NR,49.68%,NR,NR
17210,Tony Johnson,Lafayette,2011,Guard,54.29%,33.77%,28.77%,NR,18.38%,0.00%,NR,0.00%,NR,NR
17210,Tony Johnson,Lafayette,2012,Guard,95.31%,38.39%,26.63%,67.64%,38.16%,0.00%,NR,49.68%,NR,NR
17251,C.J. McCollum,Lehigh,2009,Guard,90.36%,24.20%,50.86%,61.89%,45.28%,0.00%,NR,85.37%,NR,NR
17251,C.J. McCollum,Lehigh,2010,Guard,90.36%,50.47%,75.18%,64.78%,29.56%,0.00%,NR,99.89%,NR,NR
17251,C.J. McCollum,Lehigh,2011,Guard,98.55%,37.46%,47.16%,58.62%,23.10%,0.00%,NR,99.89%,NR,NR
17251,C.J. McCollum,Lehigh,2012,Guard,61.46%,49.45%,18.38%,69.30%,68.72%,0.00%,NR,91.24%,NR,NR
17252,Dave Buchberger,Lehigh,2009,Guard,15.66%,68.68%,34.07%,54.31%,79.04%,0.00%,NR,49.68%,NR,NR
17259,Marquis Hall,Lehigh,2009,Guard,45.93%,52.71%,9.06%,27.18%,28.51%,0.00%,NR,72.99%,NR,NR
17260,Matt Shamis,Lehigh,2009,Guard,0.00%,NR,NR,NR,NR,0.00%,NR,0.00%,NR,NR
17261,Michael Ojo,Lehigh,2009,Guard,0.00%,100.00%,25.02%,21.58%,53.86%,0.00%,NR,49.68%,NR,NR
17261,Michael Ojo,Lehigh,2010,Guard,54.29%,38.24%,55.06%,74.83%,84.35%,0.00%,NR,0.00%,NR,NR
17262,Prentice Small,Lehigh,2009,Guard,45.93%,30.25%,50.22%,62.91%,NR,0.00%,NR,0.00%,NR,NR
17262,Prentice Small,Lehigh,2010,Guard,61.46%,8.18%,77.79%,93.46%,NR,0.00%,NR,72.99%,NR,NR
17263,Rob Keefer,Lehigh,2009,Guard,27.12%,57.54%,4.41%,74.83%,14.05%,0.00%,NR,0.00%,NR,NR
17263,Rob Keefer,Lehigh,2010,Guard,27.12%,16.07%,2.47%,14.81%,5.07%,0.00%,NR,0.00%,NR,NR
17302,Chris Harris,Navy,2009,Guard,97.59%,28.83%,27.18%,43.95%,55.79%,0.00%,NR,72.99%,NR,NR
17303,Greg Brown,Navy,2009,Guard,37.08%,42.80%,10.24%,14.81%,32.00%,0.00%,NR,0.00%,NR,NR
17303,Greg Brown,Navy,2010,Guard,54.29%,33.77%,16.38%,31.60%,44.59%,0.00%,NR,49.68%,NR,NR
17305,Jordan Sugars,Navy,2009,Guard,72.85%,50.52%,62.93%,86.95%,16.39%,0.00%,NR,99.04%,NR,NR
17305,Jordan Sugars,Navy,2010,Guard,67.51%,59.22%,25.02%,14.81%,15.92%,0.00%,NR,94.99%,NR,NR
17305,Jordan Sugars,Navy,2011,Guard,77.61%,33.59%,34.07%,66.87%,10.50%,0.00%,NR,91.24%,NR,NR
17307,Montez Blair,Navy,2009,Guard,15.66%,NR,NR,NR,77.94%,0.00%,NR,0.00%,NR,NR
17307,Montez Blair,Cornell,2013,Guard,0.00%,NR,NR,NR,NR,0.00%,NR,0.00%,NR,NR
17312,Ted Connolly,Navy,2009,Guard,15.66%,NR,NR,NR,NR,0.00%,NR,0.00%,NR,NR
17312,Ted Connolly,Navy,2010,Guard,0.00%,NR,NR,NR,NR,0.00%,NR,0.00%,NR,NR
17312,Ted Connolly,Navy,2011,Guard,37.08%,NR,NR,NR,NR,0.00%,NR,0.00%,NR,NR
17359,Alex Johnson,Cal State Bakersfield,2010,Guard,15.66%,69.71%,11.08%,26.89%,66.87%,0.00%,NR,0.00%,NR,NR
17359,Alex Johnson,NC State,2011,Guard,27.12%,60.12%,58.60%,5.89%,90.26%,0.00%,NR,0.00%,NR,NR
17360,Bryan Emanuel,Cal State Bakersfield,2009,Guard,0.00%,100.00%,11.56%,84.38%,85.32%,0.00%,NR,0.00%,NR,NR
17364,Donavan Bragg,Cal State Bakersfield,2009,Guard,61.46%,25.25%,61.24%,71.86%,72.29%,0.00%,NR,85.37%,NR,NR
17364,Donavan Bragg,Cal State Bakersfield,2010,Guard,27.12%,69.21%,13.35%,55.00%,55.78%,0.00%,NR,85.37%,NR,NR
17367,Jeff Osborne,Cal State Bakersfield,2009,Guard,15.66%,NR,NR,NR,NR,0.00%,NR,0.00%,NR,NR
17370,Marcus Hall,Cal State Bakersfield,2009,Guard,27.12%,NR,NR,18.31%,22.48%,0.00%,NR,49.68%,NR,NR
17370,Marcus Hall,Portland State,2012,Guard,15.66%,NR,NR,NR,14.05%,0.00%,NR,72.99%,NR,NR
17370,Marcus Hall,Portland State,2013,Guard,15.66%,69.99%,56.67%,32.21%,19.63%,0.00%,NR,49.68%,NR,NR
17371,Robert Hayes,Cal State Bakersfield,2010,Guard,27.12%,NR,NR,NR,75.71%,0.00%,NR,0.00%,NR,NR
17371,Robert Hayes,Cal State Bakersfield,2011,Guard,37.08%,NR,NR,NR,35.36%,0.00%,NR,49.68%,NR,NR
17373,Stephon Carter,Cal State Bakersfield,2009,Guard,77.61%,54.95%,63.86%,54.80%,72.04%,0.00%,NR,94.99%,NR,NR
17373,Stephon Carter,Cal State Bakersfield,2010,Guard,54.29%,65.45%,77.22%,32.22%,97.46%,0.00%,NR,94.99%,NR,NR
17373,Stephon Carter,Cal State Bakersfield,2011,Guard,81.89%,53.41%,61.33%,75.04%,17.08%,0.00%,NR,85.37%,NR,NR
