GMID,Name,School,Year,Position,BS2P,PerRimABlkd,PerRimMissesRbded,Per2PJMissesRbded,Per3PMissesRbded,DunkedPutbacks,PerPBDunked,PutbacksOwn,PerS2APB,PerL2PAPB
2323,Tyshawn Taylor,Kansas,2009,Guard,90.36%,18.25%,25.78%,93.46%,69.70%,0.00%,NR,72.99%,NR,NR
2323,Tyshawn Taylor,Kansas,2010,Guard,61.46%,59.22%,74.35%,56.19%,96.05%,0.00%,NR,49.68%,NR,NR
2323,Tyshawn Taylor,Kansas,2011,Guard,95.31%,42.82%,64.07%,86.50%,46.49%,0.00%,NR,85.37%,NR,NR
2327,Greivis Vasquez,Maryland,2009,Guard,85.31%,45.71%,34.23%,65.08%,68.29%,0.00%,NR,85.37%,NR,NR
2331,Nic Wise,Arizona,2009,Guard,81.89%,30.44%,63.44%,21.22%,11.50%,0.00%,NR,0.00%,NR,NR
2352,Mike Mercer,South Florida,2009,Guard,77.61%,57.60%,27.70%,84.50%,49.13%,0.00%,NR,72.99%,NR,NR
2356,Senario Hillman,Alabama,2009,Guard,92.32%,16.34%,54.14%,61.40%,87.20%,0.00%,NR,49.68%,NR,NR
2356,Senario Hillman,Alabama,2010,Guard,61.46%,62.17%,81.53%,76.90%,53.20%,96.17%,NR,0.00%,NR,NR
2378,Mfon Udofia,Georgia Tech,2009,Guard,61.46%,40.85%,58.60%,47.02%,63.67%,0.00%,NR,49.68%,NR,NR
2378,Mfon Udofia,Georgia Tech,2010,Guard,61.46%,49.45%,58.60%,77.88%,90.55%,0.00%,NR,72.99%,NR,NR
2378,Mfon Udofia,Georgia Tech,2011,Guard,90.36%,18.25%,25.02%,43.80%,50.06%,0.00%,NR,49.68%,NR,NR
2378,Mfon Udofia,Georgia Tech,2012,Guard,72.85%,18.45%,9.06%,83.16%,53.52%,0.00%,NR,49.68%,NR,NR
2386,D.J. Richardson,Illinois,2009,Guard,45.93%,39.16%,59.76%,16.73%,76.02%,0.00%,NR,49.68%,NR,NR
2386,D.J. Richardson,Illinois,2010,Guard,54.29%,23.05%,92.58%,59.81%,72.04%,0.00%,NR,49.68%,NR,NR
2386,D.J. Richardson,Illinois,2011,Guard,45.93%,32.03%,58.60%,54.31%,65.82%,0.00%,NR,49.68%,NR,NR
2386,D.J. Richardson,Illinois,2012,Guard,77.61%,24.30%,56.67%,63.08%,68.56%,0.00%,NR,0.00%,NR,NR
2391,Jerry Smith,Louisville,2009,Guard,27.12%,70.91%,43.83%,66.87%,88.08%,0.00%,NR,72.99%,NR,NR
2411,Jerime Anderson,UCLA,2009,Guard,61.46%,49.45%,81.73%,25.94%,78.90%,0.00%,NR,49.68%,NR,NR
2411,Jerime Anderson,UCLA,2010,Guard,15.66%,70.91%,87.37%,69.30%,64.76%,0.00%,NR,0.00%,NR,NR
2411,Jerime Anderson,UCLA,2011,Guard,67.51%,50.30%,45.03%,47.65%,49.60%,0.00%,NR,0.00%,NR,NR
2506,Demetri McCamey,Illinois,2009,Guard,45.93%,66.65%,35.14%,47.49%,65.11%,78.83%,NR,49.68%,NR,NR
2506,Demetri McCamey,Illinois,2010,Guard,61.46%,58.18%,25.02%,46.38%,33.02%,0.00%,NR,0.00%,NR,NR
2529,Devan Downey,South Carolina,2009,Guard,92.32%,38.38%,55.50%,54.52%,53.57%,0.00%,NR,49.68%,NR,NR
2530,Edgar Sosa,Louisville,2009,Guard,72.85%,53.34%,83.80%,69.30%,76.67%,0.00%,NR,49.68%,NR,NR
2535,Jeff Jordan,Illinois,2009,Guard,15.66%,NR,NR,64.09%,NR,0.00%,NR,0.00%,NR,NR
2535,Jeff Jordan,UCF,2011,Guard,15.66%,52.71%,0.00%,NR,20.49%,0.00%,NR,0.00%,NR,NR
2540,Lamont Jones,Arizona,2009,Guard,45.93%,48.21%,58.60%,40.23%,29.31%,0.00%,NR,85.37%,NR,NR
2540,Lamont Jones,Arizona,2010,Guard,37.08%,70.81%,44.66%,40.12%,51.76%,0.00%,NR,0.00%,NR,NR
2540,Lamont Jones,Iona,2011,Guard,85.31%,51.44%,59.83%,20.52%,43.16%,0.00%,NR,49.68%,NR,NR
2540,Lamont Jones,Iona,2012,Guard,97.59%,50.87%,74.63%,66.88%,43.96%,0.00%,NR,91.24%,NR,NR
2541,Marcus Jordan,UCF,2009,Guard,77.61%,42.80%,43.99%,35.62%,28.97%,0.00%,NR,72.99%,NR,NR
2541,Marcus Jordan,UCF,2010,Guard,88.15%,46.01%,55.50%,61.86%,78.90%,0.00%,NR,49.68%,NR,NR
2541,Marcus Jordan,UCF,2011,Guard,88.15%,38.28%,85.07%,41.33%,78.90%,0.00%,NR,72.99%,NR,NR
2544,Jake Anderson,Northern Illinois,2009,Guard,77.61%,63.26%,37.29%,87.76%,63.89%,0.00%,NR,72.99%,NR,NR
2544,Jake Anderson,Iowa State,2010,Guard,72.85%,63.71%,74.99%,55.47%,41.21%,0.00%,NR,94.99%,NR,NR
