GMID,Name,School,Year,L2PA,L2PM,S2PA,S2PM,A3PA,A3PM
9392,Devon Collier,Oregon State,2012,27,5,33,21,0,0
9392,Devon Collier,Oregon State,2013,27,11,34,21,0,0
9393,Cameron Wright,Pittsburgh,2011,21,5,2,1,6,0
9393,Cameron Wright,Pittsburgh,2012,26,9,5,5,7,4
9393,Cameron Wright,Pittsburgh,2013,64,23,22,12,22,5
9393,Cameron Wright,Pittsburgh,2014,58,22,4,1,11,3
9394,Isaiah Epps,Pittsburgh,2011,2,1,0,0,2,0
9395,Bruce Ellington,South Carolina,2010,42,16,2,1,58,15
9395,Bruce Ellington,South Carolina,2011,45,12,13,3,35,14
9395,Bruce Ellington,South Carolina,2012,36,13,10,3,39,13
9395,Bruce Ellington,South Carolina,2013,1,0,1,0,4,1
9397,Royce Woolridge,Kansas,2010,0,0,0,0,0,0
9397,Royce Woolridge,Washington State,2012,25,4,33,19,48,15
9397,Royce Woolridge,Washington State,2013,25,8,35,13,24,3
9397,Royce Woolridge,Grand Canyon,2014,19,11,34,13,20,7
9398,Evan Anderson,Wisconsin,2011,2,0,0,0,0,0
9398,Evan Anderson,Wisconsin,2012,1,0,0,0,1,0
9398,Evan Anderson,Wisconsin,2013,1,0,0,0,2,1
9400,Freddy Asprilla,Kansas State,2010,6,1,4,3,0,0
9400,Freddy Asprilla,Canisius,2012,8,2,10,4,0,0
9401,Dundrecous Nelson,Ole Miss,2010,10,5,7,3,22,5
9401,Dundrecous Nelson,Ole Miss,2011,7,5,3,0,12,4
9401,Dundrecous Nelson,Jackson State,2012,9,2,13,4,17,4
9402,Kourtney Roberson,Texas A&M,2010,11,6,27,13,0,0
9402,Kourtney Roberson,Texas A&M,2011,1,0,6,2,0,0
9402,Kourtney Roberson,Texas A&M,2012,10,5,28,18,0,0
9402,Kourtney Roberson,Texas A&M,2013,10,4,56,31,0,0
9402,Kourtney Roberson,Texas A&M,2014,9,2,28,20,0,0
9403,Tyler Thornton,Duke,2010,2,1,2,0,4,0
9403,Tyler Thornton,Duke,2011,5,1,2,2,12,5
9403,Tyler Thornton,Duke,2012,1,0,2,0,29,12
9403,Tyler Thornton,Duke,2013,4,2,2,1,24,12
9404,Maurice Walker,Minnesota,2010,0,0,3,2,3,1
9404,Maurice Walker,Minnesota,2012,7,0,9,6,0,0
9404,Maurice Walker,Minnesota,2013,24,8,23,18,0,0
9404,Maurice Walker,Minnesota,2014,31,8,42,30,0,0
9406,Shane Southwell,Kansas State,2010,12,4,2,1,2,0
9406,Shane Southwell,Kansas State,2011,22,11,2,0,3,0
9406,Shane Southwell,Kansas State,2012,38,16,1,1,39,21
9406,Shane Southwell,Kansas State,2013,30,12,9,4,45,16
9407,Terone Johnson,Purdue,2010,13,2,1,1,22,9
9407,Terone Johnson,Purdue,2011,49,19,11,4,24,7
9407,Terone Johnson,Purdue,2012,59,17,30,10,33,11
9407,Terone Johnson,Purdue,2013,39,16,15,8,23,9
9408,Khyle Marshall,Butler,2010,30,11,10,9,1,0
9408,Khyle Marshall,Butler,2011,42,10,26,22,3,1
9408,Khyle Marshall,Butler,2012,45,14,40,26,1,0
9408,Khyle Marshall,Butler,2013,68,24,32,24,4,0
9409,Adnan Hodzic,Lipscomb,2009,33,12,38,23,0,0
9409,Adnan Hodzic,Lipscomb,2010,29,16,42,27,2,1
9410,Travis Carroll,Purdue,2010,6,4,1,1,0,0
9410,Travis Carroll,Purdue,2011,12,4,3,2,2,1
9410,Travis Carroll,Purdue,2012,8,2,4,4,0,0
9410,Travis Carroll,Purdue,2013,6,3,1,1,1,1
9411,Trae Golden,Tennessee,2010,11,2,3,1,12,1
9411,Trae Golden,Tennessee,2011,34,12,14,8,40,16
9411,Trae Golden,Tennessee,2012,39,21,15,5,36,14
9411,Trae Golden,Georgia Tech,2013,32,12,15,6,40,14
9412,Aaron Craft,Ohio State,2010,14,7,17,7,26,10
9412,Aaron Craft,Ohio State,2011,23,8,19,9,18,7
9412,Aaron Craft,Ohio State,2012,30,12,30,18,22,4
9412,Aaron Craft,Ohio State,2013,21,8,43,25,15,4
9413,Fuquan Edwin,Seton Hall,2010,20,6,7,4,23,6
9413,Fuquan Edwin,Seton Hall,2011,17,4,16,9,26,10
9413,Fuquan Edwin,Seton Hall,2012,33,9,20,11,50,18
9413,Fuquan Edwin,Seton Hall,2013,37,15,13,6,45,11
9414,Jelani Hewitt,Georgia Southern,2010,34,12,9,4,43,8
9414,Jelani Hewitt,Georgia Southern,2011,24,11,12,4,54,19
9414,Jelani Hewitt,Georgia Southern,2013,40,15,21,11,45,16
9414,Jelani Hewitt,Georgia Southern,2014,36,10,9,2,70,18
9419,Shelvin Mack,Butler,2009,41,17,21,11,46,16
9419,Shelvin Mack,Butler,2010,36,16,12,6,89,28
9424,Mike Freeman,Hampton,2009,18,6,29,18,1,0
9425,D.J. Gay,San Diego State,2009,49,17,5,3,58,21
9425,D.J. Gay,San Diego State,2010,55,18,6,4,75,18
9426,Harouna Mutombo,Western Carolina,2009,33,15,20,12,25,7
9426,Harouna Mutombo,Western Carolina,2010,25,7,20,15,20,8
9426,Harouna Mutombo,Western Carolina,2011,53,16,37,14,27,9
9441,Anthony Hitchens,Akron,2009,17,3,10,3,38,13
9441,Anthony Hitchens,James Madison,2010,21,7,4,4,27,13
9441,Anthony Hitchens,James Madison,2011,24,11,3,1,48,19
9442,Alex Young,IUPUI,2009,32,9,31,23,47,19
9442,Alex Young,IUPUI,2010,68,28,46,31,40,10
9442,Alex Young,IUPUI,2011,48,23,30,14,39,15
9443,Robert Glenn,IUPUI,2009,34,11,52,33,14,4
9444,Anthony Campbell,Austin Peay,2009,27,13,16,10,42,18
9444,Anthony Campbell,Austin Peay,2010,5,1,6,2,21,6
9444,Anthony Campbell,Austin Peay,2011,1,0,1,0,7,3
9444,Anthony Campbell,Austin Peay,2012,20,8,18,13,46,20
9446,Troy Cotton,Green Bay,2009,22,5,7,5,62,25
9452,Willie Powers III,Georgia Southern,2009,52,14,33,16,21,4
9452,Willie Powers III,Georgia Southern,2011,39,20,14,8,34,9
9453,Brandon Hazzard,Troy,2009,40,14,9,5,41,13
9455,Jon Jaques,Cornell,2009,3,2,9,7,24,13
9456,Jamie Harris,Drexel,2009,109,46,29,11,33,9
9457,Marqus Blakely,Vermont,2009,18,8,61,31,5,0
9458,Jake Barnett,Toledo,2009,30,5,35,17,63,22
9458,Jake Barnett,Saint Louis,2011,2,0,0,0,7,3
9458,Jake Barnett,Saint Louis,2012,1,0,7,3,24,9
9458,Jake Barnett,Saint Louis,2013,1,0,7,2,48,17
9460,Jonathan Boyd,Alcorn State,2009,10,3,4,1,30,11
9461,Mezie Nwigwe,Robert Morris,2009,24,7,9,5,19,8
9462,Ivan Aska,Murray State,2009,31,13,27,20,0,0
9462,Ivan Aska,Murray State,2010,39,9,25,19,0,0
9462,Ivan Aska,Murray State,2011,41,20,30,11,4,2
9463,Danero Thomas,Murray State,2009,36,10,19,10,43,11
9464,Phil Gary,Florida International,2009,18,7,12,7,24,8
9464,Phil Gary,Florida International,2010,15,6,12,4,20,5
9465,Julius Wells,James Madison,2009,45,15,8,4,53,18
9465,Julius Wells,James Madison,2010,21,7,4,2,26,10
9465,Julius Wells,James Madison,2011,11,5,2,1,14,3
9466,C.J. Wilkerson,North Carolina Central,2009,47,8,19,7,37,8
9466,C.J. Wilkerson,North Carolina Central,2010,39,14,23,10,33,12
9468,Grayson Flittner,Gardner-Webb,2009,6,1,1,0,21,3
9473,David Gonzalvez,Richmond,2009,11,3,15,9,43,16
9474,Tyler Norman,UNLV,2009,0,0,0,0,1,0
9474,Tyler Norman,UNLV,2010,1,0,0,0,0,0
9475,Justin Hamilton (2),Iowa State,2009,9,6,13,11,0,0
9475,Justin Hamilton (2),LSU,2011,58,23,26,16,6,0
9477,Anthony Brown (2),Washington State,2009,0,0,0,0,0,0
9484,Adam Brakeville,Air Force,2009,0,0,0,0,0,0
9484,Adam Brakeville,Air Force,2010,2,0,1,1,0,0
9484,Adam Brakeville,Air Force,2011,3,1,2,0,0,0
9485,Avery Merriex,Air Force,2009,14,3,10,5,6,2
9486,Derek Brooks,Air Force,2009,10,4,5,5,19,9
9486,Derek Brooks,Air Force,2010,21,8,14,10,48,17
9487,Evan Washington,Air Force,2009,55,17,31,25,17,7
9487,Evan Washington,Air Force,2010,45,14,16,9,5,2
9488,Grant Parker,Air Force,2009,22,10,24,16,51,19
9490,Kyle Green,Air Force,2010,0,0,0,0,1,1
9490,Kyle Green,Air Force,2011,3,1,3,2,16,7
9490,Kyle Green,Air Force,2012,8,4,1,0,25,8
9492,Michael Lyons,Air Force,2009,32,12,9,7,49,14
9492,Michael Lyons,Air Force,2010,52,27,7,4,36,10
9492,Michael Lyons,Air Force,2011,38,7,10,8,46,14
9492,Michael Lyons,Air Force,2012,37,14,11,6,44,15
9493,Mike Fitzgerald,Air Force,2009,6,2,0,0,29,14
9493,Mike Fitzgerald,Air Force,2010,6,2,2,2,16,8
9493,Mike Fitzgerald,Air Force,2011,7,3,19,12,39,15
9493,Mike Fitzgerald,Air Force,2012,19,9,17,10,36,20
9494,Mike McLain,Air Force,2009,6,3,22,14,29,10
9495,Saj El-Amin,Air Force,2009,1,0,0,0,1,0
9496,Sammy Schafer,Air Force,2009,3,2,2,2,2,1
9497,Shawn Hempsey,Air Force,2009,2,1,0,0,5,2
9497,Shawn Hempsey,Air Force,2010,6,3,2,0,5,1
9497,Shawn Hempsey,Air Force,2011,3,1,0,0,5,1
9498,Taylor Stewart,Air Force,2009,7,1,1,1,5,3
9498,Taylor Stewart,Air Force,2010,9,2,9,5,2,0
9498,Taylor Stewart,Air Force,2011,17,7,7,4,6,1
9499,Taylor Broekhuis,Air Force,2009,9,2,8,4,16,0
9499,Taylor Broekhuis,Air Force,2010,17,9,14,10,24,10
9499,Taylor Broekhuis,Air Force,2011,21,8,22,13,28,11
9499,Taylor Broekhuis,Air Force,2012,12,8,18,13,11,3
9500,Todd Fletcher,Air Force,2009,9,1,8,6,24,6
9500,Todd Fletcher,Air Force,2010,15,6,5,3,33,10
9500,Todd Fletcher,Air Force,2011,20,10,8,7,39,10
9500,Todd Fletcher,Air Force,2012,14,5,4,3,34,12
9501,Tom Fow,Air Force,2009,19,10,10,6,42,17
9501,Tom Fow,Air Force,2010,21,6,14,7,54,21
9502,Zach Bohannon,Air Force,2009,1,1,5,4,7,2
9502,Zach Bohannon,Air Force,2010,6,2,6,3,14,4
9502,Zach Bohannon,Wisconsin,2012,0,0,3,1,1,0
9502,Zach Bohannon,Wisconsin,2013,0,0,1,1,1,1
9505,Brandon Provost,Texas-RGV,2010,13,4,11,4,47,21
9505,Brandon Provost,Texas-RGV,2011,15,7,12,4,36,20
9505,Brandon Provost,Texas-RGV,2012,27,11,11,3,50,19
9507,Trevor Noonan,Denver,2010,10,0,10,6,20,6
9548,Eric Wise,UC Irvine,2009,83,40,30,17,12,3
9548,Eric Wise,UC Irvine,2010,44,16,9,5,8,1
9548,Eric Wise,USC,2012,59,23,14,11,18,7
9549,Josh Taylor,Eastern Kentucky,2009,24,8,27,19,58,23
9550,Justin Stommes,Eastern Kentucky,2009,23,11,12,9,53,24
9550,Justin Stommes,Eastern Kentucky,2010,25,7,13,10,62,21
9551,Devin Gibson,Texas-San Antonio,2009,34,13,23,10,28,10
9551,Devin Gibson,Texas-San Antonio,2010,57,18,19,12,25,8
9552,Sean Baptiste,Fairleigh Dickinson,2009,54,20,10,7,41,12
9554,Jake Robinson,Western Carolina,2009,12,5,5,3,39,15
9555,Greer Wright,Binghamton,2009,42,12,26,13,67,21
9555,Greer Wright,Binghamton,2010,45,11,28,13,43,16
9557,Bill Clark,Duquesne,2009,22,3,10,7,36,11
9557,Bill Clark,Duquesne,2010,13,2,16,12,49,17
9566,T.J. Robinson,Long Beach State,2009,40,10,26,16,0,0
9566,T.J. Robinson,Long Beach State,2010,46,15,24,14,10,4
9566,T.J. Robinson,Long Beach State,2011,39,12,17,13,0,0
9568,Ashton Mitchell,Sam Houston State,2009,13,8,5,2,38,17
9569,Jeremy Montgomery,Cleveland State,2009,24,6,18,12,61,23
9569,Jeremy Montgomery,Cleveland State,2010,17,3,37,16,56,17
9569,Jeremy Montgomery,Cleveland State,2011,15,2,19,7,75,21
9570,Kai Williams,South Dakota State,2009,10,7,14,7,14,5
9571,Dale Hughes,Florida A&M,2009,7,1,2,1,25,5
9571,Dale Hughes,Ole Miss,2011,0,0,0,0,0,0
9572,Justin Robinson,Rider,2009,32,9,11,2,39,17
9572,Justin Robinson,Rider,2010,31,10,7,5,58,21
9573,Ryan Thompson,Rider,2009,28,5,22,9,34,13
9574,Gilberto Clavell,Sam Houston State,2009,38,18,35,28,4,1
9574,Gilberto Clavell,Sam Houston State,2010,49,26,27,18,0,0
9575,Chad Tomko,UNC Wilmington,2009,22,6,14,8,38,14
9575,Chad Tomko,UNC Wilmington,2010,64,20,19,10,75,29
9576,Rodney Green,La Salle,2009,56,18,11,7,36,11
9577,Andrew Goudelock,Charleston,2009,49,23,16,8,37,12
9577,Andrew Goudelock,Charleston,2010,81,37,12,7,53,15
9578,Joey Rodriguez,VCU,2009,32,10,13,8,40,15
9578,Joey Rodriguez,VCU,2010,35,9,22,9,64,25
9579,Joe Ford,Pacific,2009,19,10,24,16,0,0
9580,Anthony Johnson (2),Fairfield,2009,49,19,36,24,1,0
9581,Donald Sims,Appalachian State,2009,57,21,21,10,90,41
9581,Donald Sims,Appalachian State,2010,38,16,11,7,66,19
9582,Sam Willard,Pacific,2009,83,35,25,14,5,0
9582,Sam Willard,Pacific,2010,80,36,25,13,6,4
9583,Frank Hassell,Old Dominion,2009,30,9,15,10,0,0
9583,Frank Hassell,Old Dominion,2010,42,12,37,22,1,0
9585,Gerald Lee,Old Dominion,2009,33,11,24,17,2,1
9586,Marsharee Neely,Old Dominion,2009,5,1,2,1,9,2
9587,Chris Johnson,Dayton,2009,19,6,4,3,49,13
9587,Chris Johnson,Dayton,2010,21,6,3,2,44,15
9587,Chris Johnson,Dayton,2011,12,3,4,4,40,15
9590,Jhamar Youngblood,Rider,2009,13,4,15,9,17,5
9590,Jhamar Youngblood,Rider,2010,6,2,4,0,4,1
9602,Jeff Powers,California,2010,0,0,0,0,4,2
9602,Jeff Powers,California,2011,3,1,1,1,6,1
9602,Jeff Powers,California,2012,1,0,0,0,3,1
9602,Jeff Powers,California,2013,7,4,1,0,10,3
9603,Kevin Anderson,Richmond,2009,57,21,17,7,32,9
9603,Kevin Anderson,Richmond,2010,52,15,31,9,60,27
9604,Ryan Butler,Richmond,2009,12,5,5,3,27,12
9730,Lavoy Allen,Temple,2009,71,24,40,32,5,1
9730,Lavoy Allen,Temple,2010,67,16,33,19,3,0
9731,Cameron Jones,Northern Arizona,2009,75,32,18,8,19,8
9731,Cameron Jones,Northern Arizona,2010,98,31,28,13,28,9
9732,Keith Benson,Oakland,2009,65,24,61,38,2,1
9732,Keith Benson,Oakland,2010,58,22,29,21,10,3
9733,Anatoly Bose,Nicholls State,2009,50,13,39,20,73,24
9733,Anatoly Bose,Nicholls State,2010,84,24,30,22,70,27
9734,Carlon Brown,Utah,2009,35,8,17,10,43,13
9734,Carlon Brown,Colorado,2011,38,16,10,8,53,20
9735,Paul Davis,Winston-Salem State,2009,27,6,16,11,0,0
9737,Lazar Trifunovic,Radford,2009,46,11,11,8,7,3
9749,Brandon Davies,Brigham Young,2009,9,4,9,6,0,0
9749,Brandon Davies,Brigham Young,2010,16,3,9,5,0,0
9749,Brandon Davies,Brigham Young,2011,31,11,12,8,0,0
9749,Brandon Davies,Brigham Young,2012,34,15,8,4,1,0
9750,Brock Zylstra,Brigham Young,2009,0,0,0,0,0,0
9750,Brock Zylstra,Brigham Young,2010,2,2,0,0,5,1
9750,Brock Zylstra,Brigham Young,2011,11,3,2,2,19,6
9750,Brock Zylstra,Brigham Young,2012,9,2,0,0,12,5
9751,Charles Abouo,Brigham Young,2009,11,3,2,1,4,3
9751,Charles Abouo,Brigham Young,2010,8,2,3,2,12,4
9751,Charles Abouo,Brigham Young,2011,13,7,2,2,10,5
9752,Chris Miles,Brigham Young,2009,16,6,2,2,0,0
9753,James Anderson (2),Brigham Young,2009,1,0,1,0,0,0
9753,James Anderson (2),Brigham Young,2010,3,1,0,0,0,0
9754,"Lamont Morgan, Jr.",Brigham Young,2009,2,2,3,2,2,1
9755,Logan Magnusson,Brigham Young,2009,1,0,0,0,1,0
9755,Logan Magnusson,Brigham Young,2010,5,1,0,0,5,5
9756,"Michael Loyd, Jr.",Brigham Young,2009,5,1,9,6,11,4
9757,Noah Hartsrock,Brigham Young,2009,26,9,7,6,2,1
9757,Noah Hartsrock,Brigham Young,2010,22,7,5,2,15,7
9757,Noah Hartsrock,Brigham Young,2011,48,25,4,3,6,4
9763,Chris Collinsworth,Brigham Young,2010,2,0,1,1,1,0
9763,Chris Collinsworth,Brigham Young,2011,0,0,0,0,0,0
9764,Nick Martineau,Brigham Young,2010,3,1,0,0,1,0
9764,Nick Martineau,Brigham Young,2011,2,1,0,0,0,0
9793,Adam Nigon,Colorado State,2009,10,4,9,5,34,14
9793,Adam Nigon,Colorado State,2010,4,0,0,0,29,13
9794,Andre McFarland,Colorado State,2009,4,0,1,1,23,8
9794,Andre McFarland,Colorado State,2010,2,1,2,1,15,4
9795,Arin Dunn,Colorado State,2009,7,0,1,1,3,1
9796,Dorian Green,Colorado State,2009,33,7,8,3,46,18
9796,Dorian Green,Colorado State,2010,14,5,7,3,35,10
9796,Dorian Green,Colorado State,2011,46,18,20,11,41,15
9796,Dorian Green,Colorado State,2012,46,21,32,17,37,11
9797,Jesse Carr,Colorado State,2009,0,0,3,1,1,0
9797,Jesse Carr,Colorado State,2010,5,1,4,2,14,3
9797,Jesse Carr,Colorado State,2011,21,4,13,9,15,8
9798,Johnny Del Bene,Colorado State,2009,1,0,0,0,1,1
9799,Mame Bocar Ba,Colorado State,2009,10,4,5,3,0,0
9801,Mike Annese,Colorado State,2009,1,0,1,0,2,1
9802,Pierce Hornung,Colorado State,2009,7,3,8,6,3,0
9802,Pierce Hornung,Colorado State,2010,4,2,21,13,4,0
9802,Pierce Hornung,Colorado State,2011,9,4,32,22,4,1
9802,Pierce Hornung,Colorado State,2012,10,2,21,12,12,6
9803,Travis Franklin,Colorado State,2009,16,4,31,21,0,0
9803,Travis Franklin,Colorado State,2010,9,5,38,18,0,0
9804,Trevor Williams,Colorado State,2010,0,0,1,0,0,0
9804,Trevor Williams,Colorado State,2011,1,0,2,2,0,0
9805,Flynn Clayman,Troy,2010,8,2,1,0,2,0
9810,Jesse Woodard,Long Beach State,2009,1,1,2,1,10,3
9817,Jarrel Smith,Towson,2009,23,9,4,1,15,6
9820,Stephan Gilling,Long Beach State,2009,17,7,2,0,37,14
9848,A.J. Hardeman,New Mexico,2009,14,4,11,8,0,0
9848,A.J. Hardeman,New Mexico,2010,31,10,28,18,0,0
9848,A.J. Hardeman,New Mexico,2011,17,9,17,10,0,0
9849,Chad Adams,New Mexico,2009,3,2,2,1,2,0
9849,Chad Adams,New Mexico,2010,5,0,4,3,5,1
9849,Chad Adams,New Mexico,2011,8,3,1,1,9,6
9849,Chad Adams,New Mexico,2012,12,3,5,5,12,6
9850,Curtis Dennis,New Mexico,2009,1,0,1,0,14,3
9850,Curtis Dennis,New Mexico,2010,2,1,2,2,6,2
9850,Curtis Dennis,Toledo,2011,18,5,14,12,46,16
9850,Curtis Dennis,Iona,2012,3,2,6,4,25,7
9851,Dairese Gary,New Mexico,2009,30,9,22,11,13,3
9851,Dairese Gary,New Mexico,2010,21,7,27,14,34,10
9852,Jamal Fenton,New Mexico,2009,6,2,3,3,9,2
9852,Jamal Fenton,New Mexico,2010,13,1,11,8,23,5
9852,Jamal Fenton,New Mexico,2011,15,8,4,2,16,5
9852,Jamal Fenton,New Mexico,2012,8,3,8,5,13,4
9853,Matt Staff,New Mexico,2009,0,0,0,0,0,0
9853,Matt Staff,Texas State,2010,6,2,2,1,6,2
9853,Matt Staff,Texas State,2011,31,11,18,13,9,7
9853,Matt Staff,Texas State,2012,32,8,13,9,19,8
9854,Nate Garth,New Mexico,2009,8,1,11,6,14,5
9854,Nate Garth,UC Santa Barbara,2011,3,1,8,3,23,8
9854,Nate Garth,UC Santa Barbara,2012,5,1,6,3,13,3
9855,Phillip McDonald,New Mexico,2009,8,4,1,0,34,12
9855,Phillip McDonald,New Mexico,2010,14,7,7,2,48,19
9855,Phillip McDonald,New Mexico,2011,14,3,2,0,31,10
9856,Will Brown,New Mexico,2009,16,4,6,3,0,0
9856,Will Brown,McNeese State,2011,6,1,1,1,1,0
9898,Alec Williams,San Diego State,2009,3,1,0,0,2,1
9898,Alec Williams,San Diego State,2010,4,2,1,1,1,1
9898,Alec Williams,San Diego State,2011,8,2,6,5,7,2
9899,Ben Kneller,San Diego State,2009,1,0,0,0,0,0
9900,Billy White,San Diego State,2009,36,19,28,17,6,1
9900,Billy White,San Diego State,2010,34,18,21,18,5,2
9901,Bryan Horton,San Diego State,2009,0,0,0,0,0,0
9902,Chase Tapley,San Diego State,2009,17,10,6,3,32,14
9902,Chase Tapley,San Diego State,2010,18,10,10,7,31,13
9902,Chase Tapley,San Diego State,2011,45,13,15,9,35,15
9902,Chase Tapley,San Diego State,2012,35,11,10,6,36,15
9903,Jason Deutchman,San Diego State,2009,2,1,0,0,0,0
9904,Mehdi Cheriet,San Diego State,2010,6,2,0,0,3,1
9905,Tim Shelton,San Diego State,2009,3,0,1,0,3,2
9905,Tim Shelton,San Diego State,2010,13,5,2,2,7,2
9905,Tim Shelton,San Diego State,2011,22,8,19,14,3,0
9906,Bryce Smith,Cal State Northridge,2010,0,0,0,0,0,0
9910,Jer'Vaughn Johnson,Cal State Fullerton,2009,38,6,25,16,11,3
9910,Jer'Vaughn Johnson,Cal State Fullerton,2010,26,13,33,22,2,0
9911,Jon Pastorek,UC Santa Barbara,2009,8,3,3,1,8,4
9911,Jon Pastorek,UC Santa Barbara,2010,10,3,13,6,7,3
9941,Ben Simons,Drake,2009,10,3,1,1,30,14
9941,Ben Simons,Drake,2010,21,7,9,5,31,13
9941,Ben Simons,Drake,2011,42,17,12,9,54,23
9941,Ben Simons,Drake,2012,28,7,1,1,49,13
9944,Cheick Kone,Texas Christian,2010,1,0,0,0,0,0
9944,Cheick Kone,Texas Christian,2011,1,0,0,0,0,0
9946,Edvinas Ruzgas,Texas Christian,2009,13,6,10,8,38,14
9947,Garlon Green,Texas Christian,2009,12,2,7,5,18,5
9947,Garlon Green,Texas Christian,2010,47,15,8,4,33,20
9947,Garlon Green,Texas Christian,2011,18,7,9,7,29,10
9947,Garlon Green,Texas Christian,2012,61,16,12,5,38,15
9948,Greg Hill,Texas Christian,2009,12,3,8,2,45,15
9948,Greg Hill,Texas Christian,2010,10,1,7,2,36,12
9949,Keion Mitchem,Texas Christian,2009,15,7,8,2,24,9
9950,Kevin Butler,Texas Christian,2009,12,5,20,14,2,0
9950,Kevin Butler,Texas-Arlington,2011,19,8,17,7,7,5
9950,Kevin Butler,Texas-Arlington,2012,29,10,9,3,25,5
9951,Logan Lancon,Texas Christian,2009,1,1,0,0,0,0
9952,Marin Bavcevic,Texas Christian,2009,0,0,0,0,0,0
9952,Marin Bavcevic,Texas Christian,2010,0,0,0,0,0,0
9953,Nikola Cerina,Texas Christian,2009,15,8,29,16,12,7
9953,Nikola Cerina,Texas Christian,2010,22,5,21,14,1,0
9953,Nikola Cerina,Northwestern,2012,1,0,2,2,2,0
9953,Nikola Cerina,Northwestern,2013,4,1,7,5,2,0
9954,Ronnie Moss,Texas Christian,2009,52,11,30,13,52,19
9954,Ronnie Moss,Texas Christian,2010,33,11,11,5,30,8
9955,Tory Woods,Texas Christian,2009,0,0,0,0,1,0
9956,Xavier Roberson,Texas Christian,2009,3,1,3,2,14,7
9956,Xavier Roberson,South Alabama,2011,3,2,4,0,7,2
9956,Xavier Roberson,South Alabama,2012,3,2,4,2,15,7
9957,Zach Huie,Texas Christian,2009,0,0,0,0,1,0
9957,Zach Huie,Texas Christian,2010,0,0,0,0,0,0
9958,Zvonko Buljan,Texas Christian,2009,34,14,28,18,31,5
9959,Michael Porter,Missouri State,2009,4,2,3,3,2,0
9959,Michael Porter,Southeast Missouri State,2011,7,2,18,11,6,3
9959,Michael Porter,Southeast Missouri State,2012,0,0,0,0,0,0
9972,Mike Scott (2),Fairleigh Dickinson,2009,30,11,11,6,38,13
9972,Mike Scott (2),Fairleigh Dickinson,2010,40,9,15,6,43,16
10002,Anthony Marshall,UNLV,2009,9,2,17,8,6,1
10002,Anthony Marshall,UNLV,2010,20,8,15,10,18,4
10002,Anthony Marshall,UNLV,2011,13,4,25,10,14,5
10002,Anthony Marshall,UNLV,2012,23,7,8,3,30,13
10003,Brice Massamba,UNLV,2009,3,1,16,12,0,0
10003,Brice Massamba,UNLV,2010,4,1,16,13,0,0
10003,Brice Massamba,UNLV,2011,7,2,17,14,0,0
10004,Carlos Lopez-Sosa,UNLV,2010,13,4,22,12,0,0
10004,Carlos Lopez-Sosa,UNLV,2011,5,3,5,3,0,0
10004,Carlos Lopez-Sosa,UNLV,2012,4,1,3,0,2,1
10004,Carlos Lopez-Sosa,UNLV,2013,3,0,9,4,0,0
10005,Darris Santee,UNLV,2009,9,1,11,7,0,0
10006,Justin Hawkins,UNLV,2009,14,4,4,0,5,0
10006,Justin Hawkins,UNLV,2010,14,5,10,2,11,0
10006,Justin Hawkins,UNLV,2011,9,4,7,6,23,6
10006,Justin Hawkins,UNLV,2012,8,1,1,0,31,6
10007,Kendall Wallace,UNLV,2009,3,2,1,0,39,17
10007,Kendall Wallace,UNLV,2011,0,0,0,0,6,3
10008,Mychal Martinez,UNLV,2009,0,0,1,0,0,0
10008,Mychal Martinez,UNLV,2010,0,0,0,0,0,0
10009,Oscar Bellfield,UNLV,2009,20,6,2,0,25,9
10009,Oscar Bellfield,UNLV,2010,23,9,5,2,57,22
10009,Oscar Bellfield,UNLV,2011,19,6,4,0,40,13
10010,Beas Hamga,UAB,2010,1,1,1,1,0,0
10010,Beas Hamga,UAB,2011,0,0,2,0,0,0
10017,Todd Hanni,UNLV,2009,0,0,0,0,1,0
10017,Todd Hanni,UNLV,2010,0,0,0,0,0,0
10020,Matt Shaw,UNLV,2009,18,7,9,6,9,6
10021,Troy Cage,Chattanooga,2009,3,2,1,1,1,0
10021,Troy Cage,Chattanooga,2010,4,0,0,0,14,5
10052,Austin Robison,Utah,2009,0,0,0,0,0,0
10053,Chris Hines (2),Utah,2009,8,2,4,1,11,5
10053,Chris Hines (2),Utah,2010,10,3,2,0,23,11
10053,Chris Hines (2),Utah,2011,30,8,9,4,52,18
10053,Chris Hines (2),Drake,2012,17,5,6,2,47,16
10054,David Foster,Utah,2009,15,4,9,8,0,0
10054,David Foster,Utah,2010,15,6,9,7,0,0
10055,Jace Tavita,Utah,2009,1,0,4,3,14,1
10055,Jace Tavita,Utah,2010,0,0,0,0,0,0
10055,Jace Tavita,Hawaii,2012,2,0,0,0,24,7
10056,Jason Washburn,Utah,2009,18,6,8,4,0,0
10056,Jason Washburn,Utah,2010,28,10,5,4,0,0
10056,Jason Washburn,Utah,2011,84,31,31,24,2,1
10056,Jason Washburn,Utah,2012,81,34,34,23,1,0
10057,Jeremy Olsen,Utah,2012,12,7,9,4,0,0
10057,Jeremy Olsen,Utah,2013,16,7,18,13,0,0
10057,Jeremy Olsen,Utah,2014,10,3,3,1,0,0
10058,Jordan Cyphers,Utah,2009,2,1,1,1,8,3
10058,Jordan Cyphers,Tennessee State,2011,17,7,0,0,41,14
10058,Jordan Cyphers,Tennessee State,2012,17,3,2,1,50,22
10059,Kim Tillie,Utah,2009,27,6,14,10,6,2
