GMID,Name,School,Year,L2PA,L2PM,S2PA,S2PM,A3PA,A3PM
2190,Mike Rosario,Florida,2011,10,3,2,1,28,8
2190,Mike Rosario,Florida,2012,39,15,11,6,27,9
2191,Derrick Favors,Georgia Tech,2009,26,13,19,14,0,0
2192,DeMarcus Cousins,Kentucky,2009,31,11,23,17,2,1
2193,Ryan Kelly,Duke,2009,4,0,0,0,6,2
2193,Ryan Kelly,Duke,2010,20,8,7,5,18,5
2193,Ryan Kelly,Duke,2011,20,4,13,7,18,6
2193,Ryan Kelly,Duke,2012,30,12,11,5,14,6
2194,Avery Bradley,Texas,2009,21,4,6,4,24,12
2195,John Wall,Kentucky,2009,33,11,22,13,37,8
2196,Lance Stephenson,Cincinnati,2009,48,13,22,12,28,5
2197,Xavier Henry,Kansas,2009,15,5,15,11,33,16
2198,Larry Sanders,VCU,2009,45,15,36,24,1,0
2199,Alex Oriakhi,Connecticut,2009,11,2,15,8,1,0
2199,Alex Oriakhi,Connecticut,2010,34,10,33,14,0,0
2199,Alex Oriakhi,Connecticut,2011,32,11,21,13,0,0
2199,Alex Oriakhi,Missouri,2012,9,6,33,25,0,0
2200,Peyton Siva,Louisville,2009,2,0,5,3,11,4
2200,Peyton Siva,Louisville,2010,9,2,9,3,21,4
2200,Peyton Siva,Louisville,2011,44,11,23,13,17,3
2200,Peyton Siva,Louisville,2012,26,5,13,8,24,4
2201,Baden Jaxen,North Carolina,2009,13,6,0,0,9,2
2201,Baden Jaxen,North Carolina,2010,13,4,5,2,3,1
2201,Baden Jaxen,North Carolina,2011,7,3,0,0,1,0
2201,Baden Jaxen,North Carolina,2012,34,8,3,2,5,1
2202,Dante Taylor,Pittsburgh,2009,6,3,14,8,0,0
2202,Dante Taylor,Pittsburgh,2010,8,1,21,10,0,0
2202,Dante Taylor,Pittsburgh,2011,14,4,23,15,0,0
2202,Dante Taylor,Pittsburgh,2012,14,9,17,9,0,0
2203,Maalik Wayns,Villanova,2009,9,1,8,4,11,2
2203,Maalik Wayns,Villanova,2010,41,15,11,5,38,8
2203,Maalik Wayns,Villanova,2011,29,12,18,13,23,7
2204,Milton Jennings,Clemson,2009,17,7,8,6,9,2
2204,Milton Jennings,Clemson,2010,30,9,16,10,22,7
2204,Milton Jennings,Clemson,2011,40,12,17,9,14,4
2204,Milton Jennings,Clemson,2012,29,5,11,8,32,9
2205,Dominic Cheek,Villanova,2009,2,2,6,3,6,0
2205,Dominic Cheek,Villanova,2010,15,5,3,2,16,6
2205,Dominic Cheek,Villanova,2011,20,5,9,5,29,8
2206,Kenny Boynton,Florida,2009,33,15,11,4,51,11
2206,Kenny Boynton,Florida,2010,31,5,13,7,71,25
2206,Kenny Boynton,Florida,2011,22,6,14,6,73,32
2206,Kenny Boynton,Florida,2012,13,3,12,6,58,18
