GMID,Name,School,Year,Grade,S2PA,S2PM,S2PMAss,DunkA,DunkM,L2PA,L2PM,L2PMAss,A3P,M3P,Ass3PM,FTA,FTM
20981,J.R. Archer,Appalachian State,2009,Jr,0,0,0,0,0,0,0,0,0,0,0,2,1
20983,Jeremi Booth,Appalachian State,2009,Jr,2,1,0,0,0,5,2,0,17,7,6,4,2
20986,Kellen Brand,Appalachian State,2009,Sr,3,2,0,0,0,16,4,3,11,3,2,6,3
20980,Isaac Butts,Appalachian State,2009,Jr,13,11,1,0,0,15,1,0,0,0,0,7,3
20988,Nathan Healy,Appalachian State,2009,Fr,0,0,0,0,0,1,0,0,0,0,0,0,0
20978,A.J. Highsmith,Appalachian State,2009,Sr,0,0,0,0,0,0,0,0,0,0,0,0,0
20985,Josh Hunter,Appalachian State,2009,Sr,10,4,4,0,0,9,1,0,0,0,0,8,2
20982,Jacob Lail,Appalachian State,2009,So,0,0,0,0,0,0,0,0,0,0,0,0,0
20984,Josh Nirenberg,Appalachian State,2009,Fr,0,0,0,0,0,1,0,0,0,0,0,0,0
9581,Donald Sims,Appalachian State,2009,Jr,5,3,0,0,0,21,5,0,39,16,8,15,14
20991,Tyler Webb,Appalachian State,2009,Sr,1,1,0,0,0,4,1,1,5,2,2,3,2
20979,Andre Williamson,Appalachian State,2009,So,4,3,1,1,1,15,6,2,0,0,0,10,8
20987,Marcus Wright,Appalachian State,2009,So,6,4,3,0,0,7,2,0,10,2,1,6,4
6680,Ty Abbott,Arizona State,2009,Jr,10,5,1,2,1,27,9,3,47,17,15,20,16
1954,Eric Boateng,Arizona State,2009,Sr,27,17,5,3,3,29,9,1,0,0,0,31,14
4734,Derek Glasser,Arizona State,2009,Sr,5,2,2,0,0,38,11,0,30,6,2,21,17
6682,Marcus Jackson,Arizona State,2009,Fr,0,0,0,0,0,0,0,0,0,0,0,0,0
6676,Rihards Kuksiks,Arizona State,2009,Jr,10,7,2,0,0,23,8,2,63,23,17,16,14
6679,Trent Lockett,Arizona State,2009,Fr,11,9,7,1,1,24,7,3,1,0,0,25,17
6674,Jamelle McMillan,Arizona State,2009,Jr,13,5,3,0,0,7,3,3,21,5,5,12,7
6677,Ruslan Pateev,Arizona State,2009,Fr,3,2,1,1,1,4,0,0,0,0,0,4,2
6678,Taylor Rohde,Arizona State,2009,So,6,3,1,0,0,5,2,1,1,0,0,8,4
6681,Victor Rudd,Arizona State,2009,Fr,1,0,0,0,0,0,0,0,9,2,1,2,1
6675,Jerren Shipp,Arizona State,2009,Sr,8,7,4,0,0,7,1,0,14,9,8,9,6
6671,Brandon Thompson,Arizona State,2009,Fr,0,0,0,0,0,0,0,0,1,0,0,0,0
6673,Demetrius Walker,Arizona State,2009,Fr,2,0,0,0,0,10,1,0,8,3,2,11,7
6649,Kyle Fogg,Arizona,2009,So,12,6,1,0,0,36,11,2,33,14,14,25,20
6653,Solomon Hill,Arizona,2009,Fr,23,16,3,0,0,23,6,0,8,3,3,24,17
6647,Jamelle Horne,Arizona,2009,Jr,9,5,1,2,2,42,13,1,42,19,16,10,4
6641,Alex Jacobson,Arizona,2009,So,1,1,0,0,0,3,2,2,0,0,0,4,3
2540,Lamont Jones,Arizona,2009,Fr,9,5,2,0,0,30,15,2,13,4,4,13,9
6646,Garland Judkins,Arizona,2009,RS-So,0,0,0,0,0,0,0,0,0,0,0,0,0
6642,Brendon Lavender,Arizona,2009,So,3,1,0,0,0,5,3,0,20,9,6,4,3
6650,Kyryl Natyazhko,Arizona,2009,Fr,6,3,2,0,0,13,5,1,3,1,1,14,10
6648,Kevin Parrom,Arizona,2009,Fr,5,4,1,0,0,15,4,2,7,1,1,16,10
6643,D.J. Shumpert,Arizona,2009,So,0,0,0,0,0,1,0,0,0,0,0,2,2
6644,Derrick Williams,Arizona,2009,Fr,58,41,29,9,8,44,14,7,6,1,1,93,69
6645,Dondre Wise,Arizona,2009,So,0,0,0,0,0,0,0,0,0,0,0,0,0
2331,Nic Wise,Arizona,2009,Sr,20,10,1,0,0,47,13,2,50,17,12,49,44
14852,Hugh Barnett,Arkansas-Pine Bluff ,2009,Sr,2,1,0,0,0,3,0,0,0,0,0,2,2
14858,Terrance Calvin,Arkansas-Pine Bluff ,2009,Sr,8,4,1,0,0,44,16,3,3,0,0,20,17
14856,Stephan Collins,Arkansas-Pine Bluff ,2009,Fr,6,4,2,0,0,3,2,0,1,0,0,0,0
14851,George Davis,Arkansas-Pine Bluff ,2009,Sr,11,3,2,1,0,13,5,2,2,1,1,3,1
14861,Tyrees Glass,Arkansas-Pine Bluff ,2009,Sr,19,13,4,0,0,23,8,5,7,3,2,22,13
14859,Terrell Kennedy,Arkansas-Pine Bluff ,2009,So,2,2,1,0,0,1,0,0,1,0,0,0,0
14847,Antoni Lasker,Arkansas-Pine Bluff ,2009,So,0,0,0,0,0,0,0,0,0,0,0,0,0
14862,Vincent Martin,Arkansas-Pine Bluff ,2009,Fr,1,0,0,0,0,5,1,0,7,2,2,4,2
14850,Gavin Montgomery,Arkansas-Pine Bluff ,2009,Jr,0,0,0,0,0,1,0,0,0,0,0,2,2
14849,Dominic Moore,Arkansas-Pine Bluff ,2009,Jr,5,3,1,1,1,11,2,0,9,2,2,10,5
14848,Antonio Ootesey,Arkansas-Pine Bluff ,2009,Jr,0,0,0,0,0,1,0,0,2,1,1,0,0
14854,Ricky Parks,Arkansas-Pine Bluff ,2009,Jr,0,0,0,0,0,0,0,0,0,0,0,0,0
14846,Allen Smith,Arkansas-Pine Bluff ,2009,Jr,3,1,0,0,0,3,0,0,11,5,5,0,0
14860,Terry Tidwell,Arkansas-Pine Bluff ,2009,Fr,5,3,2,0,0,1,0,0,0,0,0,4,1
14855,Savalace Townsend,Arkansas-Pine Bluff ,2009,So,13,4,2,0,0,31,10,1,31,14,12,17,15
14857,Tavaris Washington,Arkansas-Pine Bluff ,2009,Sr,19,12,3,3,1,5,1,0,7,0,0,16,9
14853,Lebaron Weathers,Arkansas-Pine Bluff ,2009,Sr,5,4,2,1,1,46,15,8,20,6,6,11,8
4550,Martavius Adams,Arkansas State ,2009,So,13,8,4,2,2,14,5,2,0,0,0,5,3
19725,Rashad Allison,Arkansas State ,2009,Jr,4,0,0,0,0,9,1,0,9,3,2,6,3
19719,Donald Boone,Arkansas State ,2009,RS-Sr,0,0,0,0,0,0,0,0,0,0,0,0,0
5976,JeJuan Brown,Arkansas State ,2009,Jr,10,5,1,0,0,9,2,2,2,2,1,10,7
19718,Daniel Bryant,Arkansas State ,2009,So,7,2,0,0,0,5,1,1,17,5,2,4,2
19721,Justin Butler,Arkansas State ,2009,Jr,2,1,0,1,0,0,0,0,2,0,0,7,5
19726,Trey Finn,Arkansas State ,2009,Fr,3,2,0,0,0,5,1,0,4,1,1,3,0
19724,Michael Lance,Arkansas State ,2009,Sr,0,0,0,0,0,0,0,0,2,0,0,0,0
19716,Brandon Peterson,Arkansas State ,2009,Fr,2,1,1,1,0,8,2,0,1,0,0,13,8
19717,Brandon Reed,Arkansas State ,2009,Fr,8,2,0,0,0,14,4,3,15,4,4,8,3
19715,Adam Sterrenberg,Arkansas State ,2009,Fr,0,0,0,0,0,0,0,0,1,0,0,0,0
19720,Jeremy Thomas,Arkansas State ,2009,Jr,3,3,1,0,0,0,0,0,0,0,0,0,0
5539,Marcus Britt,Arkansas,2009,Jr,6,2,0,0,0,13,6,1,14,5,5,4,4
5536,Glenn Bryant,Arkansas,2009,Fr,7,5,2,1,1,5,2,2,10,2,2,5,4
5543,Rotnei Clarke,Arkansas,2009,So,5,2,0,0,0,34,17,4,83,33,26,23,18
5545,Stephen Cox,Arkansas,2009,Jr,1,0,0,0,0,0,0,0,0,0,0,2,2
5537,Jemal Farmer,Arkansas,2009,Jr,16,9,6,2,2,23,6,4,10,5,4,13,8
3642,Courtney Fortson,Arkansas,2009,So,54,22,2,1,1,43,9,1,39,10,6,69,56
5535,Delvon Johnson,Arkansas,2009,Jr,17,11,5,5,4,11,1,0,0,0,0,4,2
5534,Cody Lay,Arkansas,2009,Fr,0,0,0,0,0,0,0,0,0,0,0,0,0
5542,Nick Mason,Arkansas,2009,So,0,0,0,0,0,0,0,0,0,0,0,0,0
5532,Brandon Mitchell,Arkansas,2009,RS-Fr,0,0,0,0,0,2,0,0,1,0,0,0,0
5538,Julysses Nobles,Arkansas,2009,Fr,5,4,0,0,0,5,3,0,9,3,3,7,3
5540,Marshawn Powell,Arkansas,2009,Fr,81,49,31,11,9,75,29,4,18,3,2,62,44
5533,Chris Roberts,Arkansas,2009,Fr,0,0,0,0,0,0,0,0,0,0,0,0,0
5541,Michael Sanchez,Arkansas,2009,So,0,0,0,0,0,0,0,0,0,0,0,0,0
2330,Michael Washington,Arkansas,2009,Sr,63,40,28,10,9,57,18,9,12,2,2,69,47
5544,Stefan Welsh,Arkansas,2009,Sr,12,7,3,0,0,18,1,0,31,7,7,13,9
16988,Joe Clark,Army,2009,So,0,0,0,0,0,0,0,0,0,0,0,0,0
16984,Ella Ellis,Army,2009,Fr,1,1,0,0,0,1,0,0,1,0,0,3,2
16996,Nathan Hedgecock,Army,2009,Jr,0,0,0,0,0,0,0,0,0,0,0,0,0
16987,Jeremy Hence,Army,2009,Jr,0,0,0,0,0,1,0,0,0,0,0,4,2
16995,Mitch McDonald,Army,2009,Jr,0,0,0,0,0,0,0,0,0,0,0,0,0
47965,C.J. McElrath,Army,2009,Fr,0,0,0,0,0,0,0,0,0,0,0,0,0
16991,Josh Miller,Army,2009,Sr,2,1,0,0,0,0,0,0,4,1,0,0,0
16994,Marcus Nelson,Army,2009,Sr,1,0,0,0,0,1,0,0,0,0,0,0,0
16986,Jason Pancoe,Army,2009,Fr,0,0,0,0,0,0,0,0,0,0,0,0,0
16983,Cleveland Richard,Army,2009,Sr,1,0,0,0,0,5,1,0,3,2,2,2,2
16992,Julian Simmons,Army,2009,So,0,0,0,0,0,1,0,0,4,3,3,3,2
16989,Jon Sizemore,Army,2009,Sr,1,1,0,0,0,3,1,0,0,0,0,0,0
16990,Jordan Springer,Army,2009,Fr,0,0,0,0,0,0,0,0,0,0,0,0,0
16998,Tyrell Thompson,Army,2009,Sr,0,0,0,0,0,0,0,0,0,0,0,0,0
16982,Chris Walker,Army,2009,Sr,2,1,0,0,0,4,1,0,0,0,0,0,0
16985,Eric Zastoupil,Army,2009,Sr,0,0,0,0,0,1,1,0,0,0,0,0,0
5590,Ty Armstrong,Auburn,2009,Fr,8,5,3,1,1,10,3,0,0,0,0,6,4
5587,Rob Chubb,Auburn,2009,Fr,1,0,0,0,0,0,0,0,0,0,0,0,0
5581,Jake Drum,Auburn,2009,So,1,1,0,0,0,0,0,0,0,0,0,0,0
5584,Kenny Gabriel,Auburn,2009,So,2,2,1,1,1,8,4,4,17,3,3,0,0
5586,Lucas Hargrove,Auburn,2009,Sr,40,25,8,5,5,48,19,6,45,14,11,45,28
5578,Brendan Knox,Auburn,2009,Sr,49,34,20,15,12,16,7,3,1,0,0,57,25
5582,Johnnie Lett,Auburn,2009,Sr,11,6,1,0,0,6,0,0,1,0,0,8,2
5577,Andre Malone,Auburn,2009,Fr,7,3,1,2,1,2,1,1,10,1,1,0,0
5589,Tony Neysmith,Auburn,2009,So,1,0,0,0,0,1,1,0,0,0,0,0,0
4818,DeWayne Reed,Auburn,2009,Sr,57,21,3,2,0,28,9,0,61,16,7,54,42
5579,Earnest Ross,Auburn,2009,Fr,5,3,1,0,0,7,1,1,25,3,3,5,2
5580,Frankie Sullivan,Auburn,2009,So,22,14,2,1,1,24,7,1,70,26,25,15,12
5583,Josh Wallace,Auburn,2009,Fr,5,1,0,0,0,1,1,0,1,1,1,0,0
5588,Tay Waller,Auburn,2009,Sr,9,7,5,0,0,24,13,1,85,34,27,15,13
5585,"Larry Williams, Jr.",Auburn,2009,Jr,0,0,0,0,0,0,0,0,1,0,0,0,0
11659,Justin Blake,Austin Peay,2009,Fr,4,1,1,0,0,2,0,0,10,2,1,2,2
11650,Caleb Brown,Austin Peay,2009,Jr,10,3,1,0,0,16,5,0,7,1,1,12,12
11661,Tyrone Caldwell,Austin Peay,2009,So,5,2,1,0,0,6,2,0,4,2,2,6,4
9444,Anthony Campbell,Austin Peay,2009,So,6,4,3,1,1,14,6,2,27,10,9,4,4
11662,Wesley Channels,Austin Peay,2009,Sr,8,5,4,0,0,18,4,0,29,14,14,19,14
11655,Ernest Fields,Austin Peay,2009,Sr,1,0,0,0,0,1,0,0,0,0,0,0,0
11658,John Fraley,Austin Peay,2009,So,16,8,5,3,2,23,7,3,0,0,0,21,17
11654,Eric Mosley,Austin Peay,2009,Fr,0,0,0,0,0,3,1,0,2,0,0,1,1
11651,Chris Reaves,Austin Peay,2009,So,1,1,1,0,0,2,1,1,2,1,1,5,3
11653,Duran Roberson,Austin Peay,2009,Jr,5,3,3,1,0,13,8,6,8,2,2,6,6
11660,Marcel Williams,Austin Peay,2009,So,6,2,1,0,0,11,3,0,0,0,0,3,1
11652,Christopher Wood,Austin Peay,2009,Fr,0,0,0,0,0,0,0,0,0,0,0,0,0
11376,Brawley Chisholm,Ball State,2009,Sr,3,2,0,0,0,11,4,0,16,6,6,6,5
11385,Randy Davis,Ball State,2009,So,3,2,0,0,0,5,1,1,20,5,3,10,8
11388,Zach Fields,Ball State,2009,Fr,2,1,1,0,0,1,1,1,0,0,0,1,0
11380,John Green,Ball State,2009,Fr,0,0,0,0,0,3,0,0,1,1,1,0,0
11383,"Myron Green, Jr.",Ball State,2009,Fr,1,0,0,0,0,7,3,1,5,1,1,6,5
