GMID,Name,School,Year,Position,PercShotS2P,S2PPer,PercS2PAinT,DunkA,PercDunkinT,PercShotl2P,L2PPer,PercL2PAinT,A3P,PercShot3P,ThreePer,Perc3PAinT
23977,Jamaal Franklin,San Diego State,2012,Guard,39.34%,74.94%,42.37%,93.96%,19.07%,70.57%,48.44%,46.16%,85.03%,39.08%,65.03%,56.62%
23978,LaBradford Franklin,San Diego State,2010,Guard,NR,NR,NR,0.00%,NR,NR,NR,NR,10.38%,NR,NR,NR
23978,LaBradford Franklin,San Diego State,2011,Guard,NR,NR,NR,0.00%,NR,NR,NR,NR,43.70%,NR,NR,NR
23978,LaBradford Franklin,San Diego State,2012,Guard,NR,NR,NR,0.00%,NR,NR,NR,NR,0.00%,NR,NR,NR
23983,Jean Selus,Illinois,2010,Guard,NR,NR,NR,0.00%,NR,NR,NR,NR,0.00%,NR,NR,NR
23983,Jean Selus,Illinois,2011,Guard,NR,NR,NR,0.00%,NR,NR,NR,NR,10.38%,NR,NR,NR
23987,Darien Johnson,Alcorn State,2010,Guard,NR,NR,NR,0.00%,NR,NR,NR,NR,0.00%,NR,NR,NR
23988,Jeremy Richards,Alcorn State,2010,Guard,NR,NR,NR,0.00%,NR,NR,NR,NR,10.38%,NR,NR,NR
23991,Peter Dill,Seton Hall,2010,Guard,NR,NR,NR,0.00%,NR,NR,NR,NR,0.00%,NR,NR,NR
23991,Peter Dill,Seton Hall,2011,Guard,NR,NR,NR,0.00%,NR,NR,NR,NR,0.00%,NR,NR,NR
23992,Wesley Fritz,Sam Houston State,2010,Guard,NR,NR,NR,0.00%,NR,NR,NR,NR,0.00%,NR,NR,NR
23992,Wesley Fritz,Sam Houston State,2011,Guard,NR,NR,NR,0.00%,NR,NR,NR,NR,10.38%,NR,NR,NR
23996,Kevin Caire,New Orleans,2010,Guard,NR,NR,NR,0.00%,NR,NR,NR,NR,0.00%,NR,NR,NR
23997,Demetrious Smith,Arkansas-Pine Bluff,2010,Guard,NR,NR,NR,0.00%,NR,NR,NR,NR,0.00%,NR,NR,NR
23997,Demetrious Smith,Arkansas-Pine Bluff,2011,Guard,NR,NR,NR,0.00%,NR,NR,NR,NR,0.00%,NR,NR,NR
24000,Dan Chapman,Michigan State,2011,Guard,NR,NR,NR,0.00%,NR,NR,NR,NR,0.00%,NR,NR,NR
24000,Dan Chapman,Michigan State,2012,Guard,NR,NR,NR,0.00%,NR,NR,NR,NR,0.00%,NR,NR,NR
24000,Dan Chapman,Michigan State,2013,Guard,NR,NR,NR,0.00%,NR,NR,NR,NR,0.00%,NR,NR,NR
24032,Jeffrey Kennings,Florida A&M,2010,Guard,NR,NR,NR,0.00%,NR,NR,NR,NR,10.38%,NR,NR,NR
24032,Jeffrey Kennings,Florida A&M,2011,Guard,NR,NR,NR,0.00%,NR,95.35%,50.72%,86.65%,40.83%,NR,NR,NR
24033,Max Banchy,New Orleans,2010,Guard,NR,NR,NR,0.00%,NR,NR,NR,NR,17.42%,NR,NR,NR
24033,Max Banchy,New Orleans,2011,Guard,NR,NR,NR,0.00%,NR,NR,NR,NR,38.10%,NR,NR,NR
24033,Max Banchy,New Orleans,2012,Guard,NR,NR,NR,0.00%,NR,NR,NR,NR,46.15%,NR,NR,NR
24034,K.C. Ross-Miller,New Orleans,2010,Guard,NR,NR,NR,0.00%,NR,NR,NR,NR,10.38%,NR,NR,NR
24034,K.C. Ross-Miller,New Mexico State,2012,Guard,62.54%,55.41%,34.41%,0.00%,NR,NR,NR,NR,34.82%,NR,NR,NR
24034,K.C. Ross-Miller,New Mexico State,2013,Guard,31.58%,82.37%,45.29%,0.00%,NR,NR,NR,NR,55.29%,42.09%,33.48%,45.99%
24034,K.C. Ross-Miller,Auburn,2014,Guard,39.02%,8.82%,61.50%,0.00%,NR,76.42%,35.32%,77.97%,70.78%,34.46%,26.82%,79.16%
24035,Jordan Harris,Bryant,2010,Guard,NR,NR,NR,0.00%,NR,NR,NR,NR,10.38%,NR,NR,NR
24035,Jordan Harris,Bryant,2011,Guard,NR,NR,NR,0.00%,NR,NR,NR,NR,10.38%,NR,NR,NR
24037,DeMarcus Grady,Northern Illinois,2010,Guard,NR,NR,NR,0.00%,NR,NR,NR,NR,38.10%,NR,NR,NR
24037,DeMarcus Grady,Northern Illinois,2011,Guard,NR,NR,NR,0.00%,NR,NR,NR,NR,10.38%,NR,NR,NR
24038,Kaipo Sabas,Colorado State,2010,Guard,NR,NR,NR,0.00%,NR,NR,NR,NR,0.00%,NR,NR,NR
24038,Kaipo Sabas,Colorado State,2011,Guard,NR,NR,NR,0.00%,NR,NR,NR,NR,55.29%,70.05%,77.18%,44.65%
24039,Donald Brooks,Houston,2011,Guard,NR,NR,NR,0.00%,NR,NR,NR,NR,0.00%,NR,NR,NR
24039,Donald Brooks,Houston,2012,Guard,NR,NR,NR,0.00%,NR,NR,NR,NR,0.00%,NR,NR,NR
24041,Anthony Baskerville,Rhode Island,2010,Guard,NR,NR,NR,0.00%,NR,NR,NR,NR,0.00%,NR,NR,NR
