GMID,Name,School,Year,Position,PercShotS2P,S2PPer,PercS2PAinT,DunkA,PercDunkinT,PercShotl2P,L2PPer,PercL2PAinT,A3P,PercShot3P,ThreePer,Perc3PAinT
23854,Jamal Cherry,Cornell,2012,Guard,NR,NR,NR,0.00%,NR,NR,NR,NR,10.38%,NR,NR,NR
23858,Steve Frankoski,Columbia,2010,Guard,NR,NR,NR,0.00%,NR,NR,NR,NR,88.10%,85.24%,53.64%,76.94%
23858,Steve Frankoski,Columbia,2012,Guard,NR,NR,NR,0.00%,NR,55.21%,48.44%,57.92%,90.14%,87.40%,95.53%,78.72%
23858,Steve Frankoski,Columbia,2013,Guard,NR,NR,NR,0.00%,NR,NR,NR,NR,48.63%,NR,NR,NR
23858,Steve Frankoski,Columbia,2014,Guard,NR,NR,NR,0.00%,NR,NR,NR,NR,66.31%,81.70%,80.96%,24.47%
23859,Van Green,Columbia,2010,Guard,NR,NR,NR,0.00%,NR,NR,NR,NR,10.38%,NR,NR,NR
23859,Van Green,Columbia,2011,Guard,NR,NR,NR,54.29%,NR,NR,NR,NR,34.82%,NR,NR,NR
23859,Van Green,Rice,2014,Guard,73.17%,41.27%,71.91%,36.20%,NR,NR,NR,NR,34.82%,NR,NR,NR
23860,Meiko Lyles,Columbia,2010,Guard,NR,NR,NR,0.00%,NR,NR,NR,NR,40.83%,NR,NR,NR
23860,Meiko Lyles,Columbia,2011,Guard,22.97%,80.90%,49.77%,0.00%,NR,58.14%,93.84%,59.72%,82.68%,58.58%,93.37%,55.92%
23860,Meiko Lyles,Columbia,2013,Guard,NR,NR,NR,0.00%,NR,NR,NR,NR,74.83%,84.92%,82.96%,47.88%
23861,Dyami Starks,Columbia,2010,Guard,NR,NR,NR,0.00%,NR,NR,NR,NR,59.37%,81.70%,95.59%,78.84%
23861,Dyami Starks,Bryant,2012,Guard,26.00%,9.71%,18.97%,0.00%,NR,21.89%,72.72%,49.25%,97.98%,69.84%,82.98%,68.79%
23861,Dyami Starks,Bryant,2013,Guard,37.72%,26.80%,33.96%,36.20%,NR,22.66%,63.00%,44.48%,97.63%,59.43%,70.37%,63.22%
23861,Dyami Starks,Bryant,2014,Guard,26.85%,32.41%,51.31%,0.00%,NR,48.72%,35.53%,44.79%,95.95%,58.27%,70.50%,31.52%
23863,Sean McGonagill,Brown,2010,Guard,48.47%,27.75%,48.56%,0.00%,NR,57.89%,89.97%,86.79%,77.36%,38.02%,42.18%,49.18%
23863,Sean McGonagill,Brown,2011,Guard,38.96%,5.83%,11.60%,0.00%,NR,NR,NR,NR,80.84%,57.61%,33.90%,30.89%
23863,Sean McGonagill,Brown,2012,Guard,32.77%,29.19%,26.39%,0.00%,NR,68.59%,61.89%,55.14%,81.81%,47.22%,61.72%,26.01%
23863,Sean McGonagill,Brown,2013,Guard,31.86%,27.77%,88.76%,0.00%,NR,39.60%,7.49%,81.45%,98.84%,58.82%,41.84%,77.65%
23864,Hakeem Harris,Seton Hall,2013,Guard,NR,NR,NR,0.00%,NR,NR,NR,NR,10.38%,NR,NR,NR
23867,Rafael Portuondo,Florida State,2010,Guard,NR,NR,NR,0.00%,NR,NR,NR,NR,22.79%,NR,NR,NR
23867,Rafael Portuondo,Florida State,2011,Guard,NR,NR,NR,0.00%,NR,NR,NR,NR,0.00%,NR,NR,NR
23867,Rafael Portuondo,Florida State,2012,Guard,NR,NR,NR,0.00%,NR,NR,NR,NR,0.00%,NR,NR,NR
23871,Spencer Jennings,Wake Forest,2011,Guard,NR,NR,NR,0.00%,NR,NR,NR,NR,0.00%,NR,NR,NR
23871,Spencer Jennings,Wake Forest,2012,Guard,NR,NR,NR,0.00%,NR,NR,NR,NR,0.00%,NR,NR,NR
23872,Edwind McGhee,DePaul,2010,Guard,NR,NR,NR,0.00%,NR,NR,NR,NR,0.00%,NR,NR,NR
23872,Edwind McGhee,DePaul,2011,Guard,NR,NR,NR,36.20%,NR,NR,NR,NR,0.00%,NR,NR,NR
23872,Edwind McGhee,DePaul,2012,Guard,NR,NR,NR,0.00%,NR,NR,NR,NR,10.38%,NR,NR,NR
23872,Edwind McGhee,DePaul,2013,Guard,NR,NR,NR,0.00%,NR,NR,NR,NR,22.79%,NR,NR,NR
23876,Khalid Robinson,Fordham,2010,Guard,NR,NR,NR,0.00%,NR,NR,NR,NR,0.00%,NR,NR,NR
23876,Khalid Robinson,Fordham,2011,Guard,NR,NR,NR,0.00%,NR,NR,NR,NR,10.38%,NR,NR,NR
23876,Khalid Robinson,Fordham,2012,Guard,NR,NR,NR,0.00%,NR,NR,NR,NR,0.00%,NR,NR,NR
23876,Khalid Robinson,Fordham,2013,Guard,NR,NR,NR,0.00%,NR,NR,NR,NR,0.00%,NR,NR,NR
23879,Malcolm Lemmons,Niagara,2010,Guard,68.30%,38.17%,53.98%,0.00%,NR,NR,NR,NR,55.29%,26.72%,77.18%,49.18%
23879,Malcolm Lemmons,Niagara,2011,Guard,78.54%,72.00%,41.00%,54.29%,NR,NR,NR,NR,27.47%,NR,NR,NR
23879,Malcolm Lemmons,Niagara,2012,Guard,79.45%,11.21%,35.08%,0.00%,NR,NR,NR,NR,38.10%,NR,NR,NR
23883,Sean Armand,Iona,2010,Guard,14.89%,76.49%,91.43%,36.20%,NR,NR,NR,NR,87.31%,78.07%,56.10%,67.28%
23883,Sean Armand,Iona,2011,Guard,NR,NR,NR,0.00%,NR,NR,NR,NR,95.29%,87.38%,73.80%,85.91%
23883,Sean Armand,Iona,2012,Guard,20.52%,47.20%,63.64%,36.20%,NR,42.34%,88.53%,90.23%,99.17%,68.33%,36.79%,70.08%
23883,Sean Armand,Iona,2013,Guard,52.16%,58.43%,70.38%,54.29%,NR,NR,NR,NR,98.34%,59.73%,40.23%,78.07%
23888,Jamel Fields,Fairfield,2010,Guard,81.02%,57.20%,71.35%,0.00%,NR,NR,NR,NR,34.82%,NR,NR,NR
23888,Jamel Fields,Fairfield,2011,Guard,85.00%,13.04%,71.44%,36.20%,NR,NR,NR,NR,40.83%,NR,NR,NR
23888,Jamel Fields,Saint Peter's,2013,Guard,94.95%,14.29%,81.60%,0.00%,NR,NR,NR,NR,17.42%,NR,NR,NR
23888,Jamel Fields,Saint Peter's,2014,Guard,NR,NR,NR,0.00%,NR,NR,NR,NR,27.47%,NR,NR,NR
23891,Justin Drummond,Loyola (MD),2010,Guard,63.30%,15.33%,15.13%,36.20%,NR,NR,NR,NR,55.29%,38.02%,77.18%,55.92%
23891,Justin Drummond,Loyola (MD),2011,Guard,63.40%,15.15%,15.25%,74.54%,NR,53.19%,27.51%,19.38%,69.20%,27.71%,29.84%,79.12%
23891,Justin Drummond,Toledo,2013,Guard,85.95%,64.82%,41.00%,80.54%,NR,NR,NR,NR,61.20%,17.96%,34.84%,42.10%
23891,Justin Drummond,Toledo,2014,Guard,56.31%,67.13%,16.57%,54.29%,NR,61.76%,56.98%,45.88%,69.20%,27.71%,81.91%,75.03%
23892,Dylon Cormier,Loyola (MD),2010,Guard,44.74%,35.52%,10.15%,0.00%,NR,NR,NR,NR,69.20%,47.22%,11.80%,83.13%
23892,Dylon Cormier,Loyola (MD),2011,Guard,88.37%,64.86%,59.69%,36.20%,NR,NR,NR,NR,59.37%,9.54%,39.97%,16.49%
23892,Dylon Cormier,Loyola (MD),2012,Guard,86.11%,58.42%,13.31%,36.20%,NR,30.22%,11.41%,22.96%,53.30%,7.91%,8.70%,10.01%
23892,Dylon Cormier,Loyola (MD),2013,Guard,90.67%,45.96%,71.92%,54.29%,NR,12.13%,36.40%,59.69%,59.37%,4.70%,39.97%,45.70%
23896,Tommy Pereira,Rider,2010,Guard,NR,NR,NR,0.00%,NR,NR,NR,NR,43.70%,NR,NR,NR
23896,Tommy Pereira,Rider,2011,Guard,NR,NR,NR,0.00%,NR,NR,NR,NR,50.98%,93.27%,51.11%,96.28%
23896,Tommy Pereira,Rider,2012,Guard,NR,NR,NR,0.00%,NR,NR,NR,NR,79.63%,91.01%,36.79%,63.87%
23896,Tommy Pereira,Rider,2013,Guard,NR,NR,NR,0.00%,NR,NR,NR,NR,83.52%,92.04%,54.48%,86.64%
23898,Ashton Khan,Canisius,2010,Guard,NR,NR,NR,0.00%,NR,NR,NR,NR,10.38%,NR,NR,NR
23900,David Santiago,Canisius,2011,Guard,NR,NR,NR,36.20%,NR,NR,NR,NR,10.38%,NR,NR,NR
23903,Michael Alvarado,Manhattan,2010,Guard,62.54%,38.17%,27.54%,0.00%,NR,79.23%,73.12%,26.96%,48.63%,NR,NR,NR
23903,Michael Alvarado,Manhattan,2011,Guard,75.60%,57.84%,47.10%,0.00%,NR,60.11%,27.51%,48.05%,43.70%,NR,NR,NR
23903,Michael Alvarado,Manhattan,2012,Guard,87.47%,25.56%,31.35%,0.00%,NR,NR,NR,NR,17.42%,NR,NR,NR
23903,Michael Alvarado,Manhattan,2013,Guard,92.34%,42.16%,77.45%,66.10%,NR,NR,NR,NR,48.63%,NR,NR,NR
23905,Kidani Brutus,Manhattan,2010,Guard,NR,NR,NR,0.00%,NR,75.15%,72.72%,68.57%,78.44%,68.66%,39.15%,25.88%
23905,Kidani Brutus,Manhattan,2011,Guard,19.29%,48.84%,45.29%,0.00%,NR,NR,NR,NR,80.84%,78.57%,42.39%,37.24%
23909,Kelsey Grant,Saint Peter's,2010,Guard,NR,NR,NR,0.00%,NR,NR,NR,NR,0.00%,NR,NR,NR
23910,Chris Burke,Saint Peter's,2010,Guard,NR,NR,NR,0.00%,NR,NR,NR,NR,27.47%,NR,NR,NR
23910,Chris Burke,Saint Peter's,2011,Guard,87.88%,25.56%,29.65%,80.54%,NR,NR,NR,NR,31.37%,NR,NR,NR
23910,Chris Burke,Saint Peter's,2012,Guard,83.57%,80.90%,29.31%,54.29%,NR,NR,NR,NR,46.15%,NR,NR,NR
23910,Chris Burke,Saint Peter's,2013,Guard,65.89%,54.52%,36.08%,66.10%,NR,NR,NR,NR,63.08%,44.24%,10.82%,36.35%
23912,Steven Cruz,Siena,2010,Guard,NR,NR,NR,0.00%,NR,NR,NR,NR,0.00%,NR,NR,NR
23912,Steven Cruz,Siena,2011,Guard,NR,NR,NR,0.00%,NR,NR,NR,NR,10.38%,NR,NR,NR
23912,Steven Cruz,Siena,2012,Guard,NR,NR,NR,0.00%,NR,NR,NR,NR,0.00%,NR,NR,NR
23912,Steven Cruz,Siena,2013,Guard,NR,NR,NR,0.00%,NR,NR,NR,NR,0.00%,NR,NR,NR
23913,Rakeem Brookins,Siena,2010,Guard,62.54%,14.43%,81.50%,36.20%,NR,76.42%,37.98%,86.33%,67.72%,17.43%,51.11%,49.74%
23913,Rakeem Brookins,Siena,2012,Guard,64.38%,48.84%,36.68%,0.00%,NR,NR,NR,NR,59.37%,33.48%,12.21%,26.85%
23920,Paris Paramore,Central Michigan,2010,Guard,NR,NR,NR,0.00%,NR,NR,NR,NR,10.38%,NR,NR,NR
23924,Luke Wiest,Central Michigan,2011,Guard,NR,NR,NR,0.00%,NR,NR,NR,NR,10.38%,NR,NR,NR
23924,Luke Wiest,Central Michigan,2012,Guard,NR,NR,NR,0.00%,NR,NR,NR,NR,10.38%,NR,NR,NR
23925,Derek Jackson,Central Michigan,2010,Guard,25.63%,31.51%,46.37%,54.29%,NR,93.92%,64.24%,91.84%,61.20%,21.01%,3.87%,29.69%
23925,Derek Jackson,Central Michigan,2011,Guard,35.93%,65.64%,83.43%,95.21%,43.53%,42.96%,61.89%,38.17%,86.66%,54.28%,66.33%,41.71%
23925,Derek Jackson,Kent State,2013,Guard,52.01%,80.90%,49.77%,88.03%,45.36%,NR,NR,NR,88.10%,55.35%,61.72%,78.58%
23925,Derek Jackson,Kent State,2014,Guard,42.13%,57.53%,31.35%,74.54%,NR,NR,NR,NR,82.68%,64.62%,66.19%,38.24%
23934,Ricardo Johnson,Ohio,2010,Guard,NR,NR,NR,54.29%,NR,NR,NR,NR,46.15%,NR,NR,NR
23934,Ricardo Johnson,Ohio,2011,Guard,NR,NR,NR,66.10%,NR,NR,NR,NR,22.79%,NR,NR,NR
23934,Ricardo Johnson,Ohio,2012,Guard,NR,NR,NR,0.00%,NR,NR,NR,NR,34.82%,NR,NR,NR
23934,Ricardo Johnson,Ohio,2013,Guard,NR,NR,NR,74.54%,NR,NR,NR,NR,22.79%,NR,NR,NR
23935,Nick Kellogg,Ohio,2010,Guard,10.20%,38.17%,50.46%,0.00%,NR,NR,NR,NR,93.78%,85.80%,72.33%,85.52%
23935,Nick Kellogg,Ohio,2011,Guard,18.40%,64.82%,93.75%,0.00%,NR,NR,NR,NR,93.43%,85.57%,70.37%,55.97%
23935,Nick Kellogg,Ohio,2012,Guard,27.67%,80.90%,70.31%,0.00%,NR,NR,NR,NR,92.65%,79.34%,61.72%,76.63%
23935,Nick Kellogg,Ohio,2013,Guard,36.44%,81.86%,45.31%,0.00%,NR,31.42%,37.60%,79.86%,96.67%,57.56%,63.13%,75.80%
23936,Alex Abreu,Akron,2010,Guard,67.91%,34.04%,41.47%,0.00%,NR,NR,NR,NR,74.83%,45.61%,12.43%,65.92%
23936,Alex Abreu,Akron,2011,Guard,74.01%,58.11%,59.89%,0.00%,NR,NR,NR,NR,72.16%,43.35%,25.91%,50.39%
23936,Alex Abreu,Akron,2012,Guard,62.98%,38.17%,26.39%,0.00%,NR,NR,NR,NR,69.20%,47.22%,71.70%,22.29%
23942,Tyrae Robinson,Ball State,2010,Guard,NR,NR,NR,0.00%,NR,NR,NR,NR,22.79%,NR,NR,NR
23942,Tyrae Robinson,Ball State,2011,Guard,63.40%,56.84%,42.37%,0.00%,NR,80.09%,64.13%,62.26%,38.10%,NR,NR,NR
23944,Adrian Tucker,Ball State,2010,Guard,NR,NR,NR,0.00%,NR,NR,NR,NR,0.00%,NR,NR,NR
23945,Jesse Berry,Ball State,2010,Guard,13.54%,73.93%,16.73%,0.00%,NR,NR,NR,NR,88.10%,81.70%,42.74%,64.11%
23945,Jesse Berry,Ball State,2011,Guard,23.92%,86.42%,55.50%,0.00%,NR,NR,NR,NR,79.63%,70.70%,70.37%,39.75%
23945,Jesse Berry,Ball State,2012,Guard,13.86%,64.82%,41.33%,0.00%,NR,NR,NR,NR,96.87%,82.59%,75.02%,88.52%
23945,Jesse Berry,Ball State,2013,Guard,27.41%,29.01%,86.99%,0.00%,NR,NR,NR,NR,96.42%,78.20%,55.00%,64.26%
23946,Anthony Henderson,Bowling Green,2011,Guard,NR,NR,NR,36.20%,NR,NR,NR,NR,17.42%,NR,NR,NR
23946,Anthony Henderson,Bowling Green,2012,Guard,NR,NR,NR,36.20%,NR,NR,NR,NR,48.63%,NR,NR,NR
23946,Anthony Henderson,Bowling Green,2013,Guard,55.36%,40.22%,72.15%,66.10%,NR,23.18%,21.31%,53.30%,87.31%,45.03%,31.25%,73.81%
23946,Anthony Henderson,Bowling Green,2014,Guard,39.14%,87.06%,36.34%,80.54%,NR,NR,NR,NR,64.83%,51.39%,58.87%,21.62%
23947,Wiley Roberts,Bowling Green,2010,Guard,NR,NR,NR,0.00%,NR,NR,NR,NR,0.00%,NR,NR,NR
23952,Jarod Oldham,Buffalo,2010,Guard,87.47%,29.91%,41.91%,0.00%,NR,NR,NR,NR,22.79%,NR,NR,NR
23952,Jarod Oldham,Buffalo,2011,Guard,80.59%,8.76%,52.99%,66.10%,NR,NR,NR,NR,46.15%,NR,NR,NR
23952,Jarod Oldham,Buffalo,2012,Guard,NR,NR,NR,0.00%,NR,NR,NR,NR,38.10%,NR,NR,NR
23952,Jarod Oldham,Buffalo,2013,Guard,94.12%,46.02%,49.21%,93.96%,100.00%,NR,NR,NR,31.37%,NR,NR,NR
23953,Richie Sebuharara,Buffalo,2011,Guard,NR,NR,NR,0.00%,NR,NR,NR,NR,0.00%,NR,NR,NR
23953,Richie Sebuharara,Buffalo,2012,Guard,NR,NR,NR,0.00%,NR,NR,NR,NR,17.42%,NR,NR,NR
23954,Corey Raley-Ross,Buffalo,2010,Guard,NR,NR,NR,54.29%,NR,NR,NR,NR,0.00%,NR,NR,NR
23954,Corey Raley-Ross,Buffalo,2011,Guard,NR,NR,NR,66.10%,NR,NR,NR,NR,0.00%,NR,NR,NR
23954,Corey Raley-Ross,Buffalo,2012,Guard,NR,NR,NR,0.00%,NR,NR,NR,NR,10.38%,NR,NR,NR
23954,Corey Raley-Ross,Buffalo,2013,Guard,NR,NR,NR,0.00%,NR,NR,NR,NR,0.00%,NR,NR,NR
23958,Adrian Burton,Eastern Michigan,2010,Guard,NR,NR,NR,0.00%,NR,NR,NR,NR,22.79%,NR,NR,NR
23961,Tre Edwards,Northern Illinois,2010,Guard,NR,NR,NR,0.00%,NR,NR,NR,NR,0.00%,NR,NR,NR
23962,Kyree Jones,Northern Illinois,2010,Guard,NR,NR,NR,0.00%,NR,NR,NR,NR,31.37%,NR,NR,NR
23962,Kyree Jones,Maryland-Eastern Shore,2012,Guard,NR,NR,NR,0.00%,NR,99.04%,86.96%,83.02%,46.15%,NR,NR,NR
23962,Kyree Jones,Maryland-Eastern Shore,2013,Guard,6.15%,2.04%,30.94%,0.00%,NR,59.85%,54.89%,41.41%,90.14%,75.10%,26.04%,51.28%
23967,Reese Holliday,Toledo,2010,Guard,84.39%,81.82%,0.88%,36.20%,NR,NR,NR,NR,31.37%,NR,NR,NR
23967,Reese Holliday,Toledo,2011,Guard,92.51%,27.32%,18.39%,0.00%,NR,NR,NR,NR,31.37%,NR,NR,NR
23967,Reese Holliday,Toledo,2012,Guard,NR,NR,NR,36.20%,NR,NR,NR,NR,64.83%,71.89%,40.80%,55.92%
23967,Reese Holliday,Missouri-Kansas City,2014,Guard,32.77%,55.41%,1.28%,0.00%,NR,NR,NR,NR,70.78%,71.84%,65.66%,70.97%
23968,Zack Leahy,Toledo,2010,Guard,NR,NR,NR,0.00%,NR,NR,NR,NR,50.98%,68.59%,73.75%,31.00%
23969,J.T. Thomas,Toledo,2010,Guard,NR,NR,NR,0.00%,NR,NR,NR,NR,38.10%,NR,NR,NR
23969,J.T. Thomas,Little Rock,2013,Guard,NR,NR,NR,0.00%,NR,NR,NR,NR,0.00%,NR,NR,NR
23969,J.T. Thomas,Little Rock,2014,Guard,25.23%,9.71%,76.72%,0.00%,NR,61.01%,50.72%,75.37%,77.36%,55.27%,55.88%,76.22%
23976,Tanner Hoyt,Liberty,2010,Guard,NR,NR,NR,0.00%,NR,NR,NR,NR,0.00%,NR,NR,NR
23976,Tanner Hoyt,Liberty,2011,Guard,NR,NR,NR,0.00%,NR,NR,NR,NR,10.38%,NR,NR,NR
23977,Jamaal Franklin,San Diego State,2010,Guard,NR,NR,NR,74.54%,NR,NR,NR,NR,27.47%,NR,NR,NR
23977,Jamaal Franklin,San Diego State,2011,Guard,32.28%,64.82%,48.56%,96.10%,21.88%,61.78%,72.15%,47.78%,93.78%,49.57%,34.84%,78.47%
