GMID,Name,School,Year,Grade,AST,PercATrans,PercARim,PercA2PJ,PercA3P,PercADunks,TO,PercTOFoul,PercTOStea,PercTOMisc
5503,Justin Knox,Alabama,2009,Jr,12,33.33%,50.00%,8.33%,41.67%,16.67%,16,6.25%,37.50%,56.25%
5504,Justin Luquire,Alabama,2009,Sr,0,NA,NA,NA,NA,NA,0,NA,NA,NA
5506,Tony Mitchell,Alabama,2009,Fr,12,41.67%,50.00%,25.00%,25.00%,0.00%,9,11.11%,66.67%,22.22%
5495,Andrew Steele,Alabama,2009,RS-So,7,28.57%,42.86%,28.57%,28.57%,14.29%,8,12.50%,62.50%,25.00%
5505,Mikhail Torrance,Alabama,2009,Sr,86,34.88%,38.37%,19.77%,41.86%,17.44%,47,2.13%,46.81%,51.06%
17582,Billy Allen,Albany,2009,So,2,0.00%,0.00%,50.00%,50.00%,0.00%,7,0.00%,42.86%,57.14%
17596,Tim Ambrose,Albany,2009,Jr,10,20.00%,30.00%,40.00%,30.00%,0.00%,11,9.09%,72.73%,18.18%
17590,Logan Aronhalt,Albany,2009,Fr,7,14.29%,0.00%,42.86%,57.14%,0.00%,6,0.00%,66.67%,33.33%
17591,Louis Barraza,Albany,2009,Jr,0,NA,NA,NA,NA,NA,4,0.00%,50.00%,50.00%
17593,Mike Black,Albany,2009,Fr,5,60.00%,0.00%,60.00%,40.00%,0.00%,7,14.29%,14.29%,71.43%
17584,Brett Gifford,Albany,2009,Sr,2,0.00%,0.00%,50.00%,50.00%,0.00%,4,0.00%,75.00%,25.00%
4414,Will Harris,Albany,2009,Sr,3,33.33%,0.00%,100.00%,0.00%,0.00%,6,33.33%,33.33%,33.33%
17592,Mike Johnson,Albany,2009,Sr,1,0.00%,0.00%,0.00%,100.00%,0.00%,5,0.00%,60.00%,40.00%
17588,Jake Lindfors,Albany,2009,RS-Fr,0,NA,NA,NA,NA,NA,0,NA,NA,NA
17595,Scotty McRae,Albany,2009,Sr,1,0.00%,0.00%,100.00%,0.00%,0.00%,2,0.00%,0.00%,100.00%
17583,Blake Metcalf,Albany,2009,Fr,2,0.00%,50.00%,50.00%,0.00%,0.00%,4,0.00%,75.00%,25.00%
17585,Derrek Tartt,Albany,2009,Fr,5,40.00%,0.00%,0.00%,100.00%,0.00%,10,10.00%,50.00%,40.00%
17586,Fran Urli,Albany,2009,Jr,0,NA,NA,NA,NA,NA,9,0.00%,55.56%,44.44%
