GMID,Name,School,Year,Grade,S2PA,S2PM,S2PMAss,DunkA,DunkM,DunkAss,L2PA,L2PM,L2PMAss,A3P,M3P,Ass3PM,FTA,FTM
17590,Logan Aronhalt,Albany,2009,Fr,15,8,7,4,4,3,10,4,3,32,8,8,17,14
17591,Louis Barraza,Albany,2009,Jr,0,0,0,0,0,0,0,0,0,2,1,1,0,0
17593,Mike Black,Albany,2009,Fr,25,12,1,0,0,0,7,3,1,13,5,1,38,27
17584,Brett Gifford,Albany,2009,Sr,3,3,3,0,0,0,3,1,1,0,0,0,5,3
4414,Will Harris,Albany,2009,Sr,23,19,15,2,2,2,14,8,6,28,11,8,19,16
17592,Mike Johnson,Albany,2009,Sr,15,11,4,0,0,0,9,2,1,3,0,0,16,12
17588,Jake Lindfors,Albany,2009,RS-Fr,4,2,0,0,0,0,3,1,0,13,3,3,0,0
17595,Scotty McRae,Albany,2009,Sr,15,9,4,3,3,2,8,3,1,7,1,1,22,15
17583,Blake Metcalf,Albany,2009,Fr,4,0,0,0,0,0,4,0,0,1,0,0,2,1
17585,Derrek Tartt,Albany,2009,Fr,6,3,2,1,0,0,1,0,0,2,2,2,15,8
17586,Fran Urli,Albany,2009,Jr,12,10,6,0,0,0,2,2,0,1,1,1,15,9
14783,Corey Anthony,Alcorn State,2009,So,6,5,0,0,0,0,5,1,0,6,4,2,9,4
14785,Derrick Blackwell,Alcorn State,2009,Jr,10,2,1,0,0,0,2,1,0,5,1,1,13,7
14786,Gifford Blakely,Alcorn State,2009,RS-Sr,1,1,0,0,0,0,1,0,0,0,0,0,3,1
9460,Jonathan Boyd,Alcorn State,2009,RS-Sr,19,12,4,0,0,0,20,6,2,63,22,14,28,20
14795,Tony Eackles,Alcorn State,2009,Fr,18,10,1,2,0,0,11,4,0,9,5,4,43,31
14787,Ian Francis,Alcorn State,2009,Fr,39,23,12,11,10,6,22,12,6,0,0,0,58,34
14789,JaMarkus Holt,Alcorn State,2009,RS-Sr,28,18,8,2,2,1,18,6,4,1,0,0,35,15
14794,Shauvanta Ingram,Alcorn State,2009,Fr,10,5,2,0,0,0,12,6,2,16,4,4,14,9
14793,Michael Martin,Alcorn State,2009,Fr,1,1,1,0,0,0,2,2,0,0,0,0,13,5
14788,Jamar Ragland,Alcorn State,2009,Fr,7,2,0,2,2,0,8,1,0,6,0,0,12,8
14782,Brandon Rogers,Alcorn State,2009,RS-Sr,24,11,4,0,0,0,10,5,1,15,6,4,33,24
14781,Alex Savannah,Alcorn State,2009,So,14,7,1,0,0,0,10,1,1,5,2,2,15,5
14790,Keith Searcy,Alcorn State,2009,Fr,20,12,3,0,0,0,40,12,2,5,0,0,29,16
14792,Michael Starks,Alcorn State,2009,Fr,7,5,5,3,3,3,4,2,2,0,0,0,15,5
16942,Mike Bersch,American University,2009,Fr,1,1,1,0,0,0,1,1,0,8,1,1,0,0
16939,Jordan Borucki,American University,2009,Fr,0,0,0,0,0,0,0,0,0,0,0,0,0,0
16935,Daniel Fisher,American University,2009,Fr,0,0,0,0,0,0,0,0,0,0,0,0,0,0
16944,Riley Grafft,American University,2009,So,12,8,7,3,3,3,6,4,4,1,0,0,13,10
16943,Nick Hendra,American University,2009,Jr,14,9,3,0,0,0,3,0,0,15,3,2,28,19
16938,Joe Hill (2),American University,2009,So,0,0,0,0,0,0,1,1,0,11,3,3,0,0
16937,Jeff Holton,American University,2009,Fr,0,0,0,0,0,0,0,0,0,0,0,0,0,0
16934,Blake Jolivette,American University,2009,Fr,9,6,2,0,0,0,11,2,0,5,2,2,16,12
16946,Stephen Lumpkins,American University,2009,So,21,14,9,3,3,2,9,2,2,0,0,0,18,11
