GMID,Name,School,Year,Grade,S2PA,S2PM,S2PMAss,DunkA,DunkM,DunkAss,L2PA,L2PM,L2PMAss,A3P,M3P,Ass3PM,FTA,FTM
14785,Derrick Blackwell,Alcorn State,2009,Jr,23,4,1,0,0,0,13,4,2,27,8,7,22,15
14786,Gifford Blakely,Alcorn State,2009,RS-Sr,5,1,0,0,0,0,6,3,2,0,0,0,5,3
9460,Jonathan Boyd,Alcorn State,2009,RS-Sr,45,21,6,0,0,0,71,18,5,200,73,44,67,50
14795,Tony Eackles,Alcorn State,2009,Fr,39,19,4,2,0,0,45,17,2,35,15,11,88,63
14787,Ian Francis,Alcorn State,2009,Fr,148,83,36,23,19,10,79,23,12,0,0,0,143,83
14789,JaMarkus Holt,Alcorn State,2009,RS-Sr,104,56,21,3,3,2,120,32,21,3,0,0,100,51
14794,Shauvanta Ingram,Alcorn State,2009,Fr,29,12,5,0,0,0,57,23,5,49,12,10,44,30
14793,Michael Martin,Alcorn State,2009,Fr,14,7,2,0,0,0,6,3,0,0,0,0,18,7
14788,Jamar Ragland,Alcorn State,2009,Fr,14,6,0,2,2,0,37,10,3,20,4,3,13,8
14782,Brandon Rogers,Alcorn State,2009,RS-Sr,51,25,4,0,0,0,35,14,3,40,11,8,64,46
14781,Alex Savannah,Alcorn State,2009,So,30,11,3,0,0,0,34,10,2,21,5,5,38,16
14790,Keith Searcy,Alcorn State,2009,Fr,46,23,6,0,0,0,134,48,13,15,1,1,67,46
14792,Michael Starks,Alcorn State,2009,Fr,42,22,12,8,5,5,14,4,3,0,0,0,36,14
16942,Mike Bersch,American University,2009,Fr,5,3,2,0,0,0,5,2,0,42,12,11,2,2
16939,Jordan Borucki,American University,2009,Fr,0,0,0,0,0,0,1,0,0,0,0,0,0,0
16935,Daniel Fisher,American University,2009,Fr,2,2,1,0,0,0,6,2,2,0,0,0,3,1
16944,Riley Grafft,American University,2009,So,46,34,20,8,7,5,83,32,27,20,5,5,38,27
16943,Nick Hendra,American University,2009,Jr,55,32,14,0,0,0,48,8,7,153,57,52,73,48
