GMID,Name,School,Year,BLK,B2PJ,BS2P,B3P,R2PJ,RS2P,R3P,S2PJ,S2PS,S3PS,PickSix
2210,Wally Judge,Kansas State,2010,6,5,1,0,4,0,0,1,1,0,0
2210,Wally Judge,Rutgers,2012,17,5,12,0,4,10,0,0,3,0,1
2210,Wally Judge,Rutgers,2013,33,3,30,0,0,17,0,2,6,0,2
2211,Abdul Gaddy,Washington,2009,3,2,1,0,1,0,0,4,3,0,0
2211,Abdul Gaddy,Washington,2010,1,0,0,1,0,0,1,0,0,0,1
2211,Abdul Gaddy,Washington,2011,5,3,1,0,1,1,0,5,2,0,3
2211,Abdul Gaddy,Washington,2012,9,4,2,3,3,1,3,1,3,0,5
2212,Tiny Gallon,Oklahoma,2009,22,12,9,1,7,6,1,0,2,0,2
2213,Tommy Mason-Griffin,Oklahoma,2009,0,0,0,0,0,0,0,1,2,0,0
2214,Mason Plumlee,Duke,2009,24,15,9,0,12,4,0,1,1,0,1
2214,Mason Plumlee,Duke,2010,60,24,35,0,12,18,0,1,1,0,3
2214,Mason Plumlee,Duke,2011,46,18,27,1,9,15,0,1,0,0,3
2214,Mason Plumlee,Duke,2012,52,19,31,2,9,15,1,1,8,0,5
2215,Renardo Sidney,Mississippi State,2010,14,7,7,0,6,3,0,3,0,0,0
2215,Renardo Sidney,Mississippi State,2011,20,11,9,0,8,6,0,2,3,0,0
2216,Michael Snaer,Florida State,2009,6,2,2,2,2,1,1,1,1,1,3
2216,Michael Snaer,Florida State,2010,7,1,2,4,0,1,3,0,0,0,1
2216,Michael Snaer,Florida State,2011,13,2,4,7,1,4,4,0,1,0,3
2216,Michael Snaer,Florida State,2012,14,8,3,3,6,2,2,1,1,0,1
2217,Solomon Alabi,Florida State,2009,75,21,53,0,13,37,0,0,2,0,0
2218,Matt Bouldin,Gonzaga,2009,7,2,4,1,0,2,0,2,7,0,5
2219,Craig Brackins,Iowa State,2009,38,28,6,4,17,3,3,3,1,0,1
2255,Mouphtaou Yarou,Villanova,2009,20,7,13,0,3,8,0,0,1,0,0
2255,Mouphtaou Yarou,Villanova,2010,29,10,19,0,9,7,0,0,0,0,0
2255,Mouphtaou Yarou,Villanova,2011,25,7,17,0,5,7,0,1,2,0,1
2255,Mouphtaou Yarou,Villanova,2012,21,8,11,1,3,9,0,0,3,0,1
2256,Kawhi Leonard,San Diego State,2009,24,12,8,3,7,4,2,1,3,0,7
2256,Kawhi Leonard,San Diego State,2010,21,17,3,1,10,1,0,3,5,0,9
2257,Daniel Orton,Kentucky,2009,49,27,21,0,12,12,0,3,2,0,0
2258,Brandon Knight,Kentucky,2010,8,2,6,0,1,1,0,0,6,0,3
2259,Corey Fisher,Villanova,2009,6,2,1,1,2,1,0,0,3,0,10
2259,Corey Fisher,Villanova,2010,2,0,2,0,0,1,0,1,4,0,8
2260,Damion James,Texas,2009,39,17,19,3,11,7,3,2,1,0,5
2272,Kevin Dillard,Southern Illinois,2009,4,3,1,0,0,1,0,0,3,0,9
2272,Kevin Dillard,Dayton,2011,13,5,5,3,3,3,1,1,3,0,6
2272,Kevin Dillard,Dayton,2012,4,2,0,2,0,0,2,1,4,0,6
2273,Brandon Paul,Illinois,2009,5,2,2,1,0,1,1,1,3,0,3
2273,Brandon Paul,Illinois,2010,12,5,3,4,3,2,0,2,2,0,10
2273,Brandon Paul,Illinois,2011,27,17,5,5,8,4,2,1,2,1,4
2273,Brandon Paul,Illinois,2012,23,10,10,3,6,3,1,0,6,1,9
2277,Jordan Hulls,Indiana,2009,0,0,0,0,0,0,0,0,4,0,1
2277,Jordan Hulls,Indiana,2010,6,4,2,0,1,0,0,3,4,0,1
2277,Jordan Hulls,Indiana,2011,2,1,1,0,0,1,0,1,1,0,1
2277,Jordan Hulls,Indiana,2012,0,0,0,0,0,0,0,1,3,0,1
2279,Manny Harris,Michigan,2009,11,9,2,0,4,1,0,0,1,0,15
2280,Terrico White,Ole Miss,2009,5,1,4,0,0,4,0,0,0,0,4
2282,Brandon Triche,Syracuse,2009,2,1,0,1,1,0,1,0,0,0,5
2282,Brandon Triche,Syracuse,2010,3,1,1,1,0,0,1,1,1,0,5
2282,Brandon Triche,Syracuse,2012,5,5,0,0,4,0,0,0,3,0,5
2283,Jonathan Mitchell,Rutgers,2009,8,2,6,0,0,4,0,0,2,0,1
2283,Jonathan Mitchell,Rutgers,2010,19,7,10,2,1,6,2,1,2,0,2
2284,Raymar Morgan,Michigan State,2009,22,7,10,4,3,7,2,0,2,0,4
2298,Patrick Christopher,California,2009,3,1,1,1,1,1,1,0,4,0,7
2300,Bryan Davis,Texas A&M,2009,58,17,38,1,10,19,0,1,2,0,5
2301,Malcolm Delaney,Virginia Tech,2009,3,0,2,1,0,1,1,2,0,0,4
2301,Malcolm Delaney,Virginia Tech,2010,5,4,1,0,3,0,0,0,2,0,9
2302,Devin Ebanks,West Virginia,2009,23,11,12,0,11,9,0,0,3,0,7
2303,Kenneth Faried,Morehead State,2009,65,15,50,0,8,26,0,3,7,0,3
2303,Kenneth Faried,Morehead State,2010,82,9,72,1,3,42,0,1,5,0,5
2304,Roderick Flemings,Hawaii,2009,10,5,4,1,3,2,0,1,3,0,2
2305,Paul George,Fresno State,2009,24,8,16,0,2,10,0,0,3,0,13
2306,Marcus Ginyard,North Carolina,2009,4,3,0,1,0,0,1,0,1,0,7
2307,Luke Harangody,Notre Dame,2009,20,9,10,0,4,5,0,1,3,0,0
2308,Lazar Hayward,Marquette,2009,16,9,7,0,3,3,0,0,3,0,4
2309,Robbie Hummel,Purdue,2009,24,19,4,1,11,2,1,0,0,0,3
2309,Robbie Hummel,Purdue,2011,42,33,8,1,18,4,1,1,2,0,2
2310,JaJuan Johnson,Purdue,2009,64,43,20,0,21,12,0,5,2,0,0
2310,JaJuan Johnson,Purdue,2010,70,43,26,1,20,17,0,0,2,0,4
2311,Jerome Jordan,Tulsa,2009,81,40,40,1,20,25,1,0,8,0,0
2312,Dwight Lewis,USC,2009,7,4,2,1,2,0,1,0,1,0,7
2313,Kalin Lucas,Michigan State,2009,2,0,1,1,0,0,1,0,0,0,9
2313,Kalin Lucas,Michigan State,2010,2,2,0,0,2,0,0,0,3,1,3
2315,A.J. Ogilvy,Vanderbilt,2009,38,16,22,0,8,8,0,1,4,0,0
2316,Arinze Onuaku,Syracuse,2009,19,14,5,0,9,4,0,0,2,0,0
