GMID,Name,School,Year,Grade,S2PA,S2PM,S2PMAss,DunkA,DunkM,DunkAss,L2PA,L2PM,L2PMAss,A3P,M3P,Ass3PM,FTA,FTM
14787,Ian Francis,Alcorn State,2009,Fr,14,8,5,1,0,0,10,0,0,0,0,0,19,11
14789,JaMarkus Holt,Alcorn State,2009,RS-Sr,22,8,3,0,0,0,32,11,7,1,0,0,19,7
14794,Shauvanta Ingram,Alcorn State,2009,Fr,1,1,0,0,0,0,7,4,1,3,0,0,4,3
14793,Michael Martin,Alcorn State,2009,Fr,2,0,0,0,0,0,0,0,0,0,0,0,0,0
14788,Jamar Ragland,Alcorn State,2009,Fr,4,1,0,0,0,0,13,3,1,7,1,0,4,2
14782,Brandon Rogers,Alcorn State,2009,RS-Sr,3,1,0,0,0,0,3,0,0,1,0,0,0,0
14781,Alex Savannah,Alcorn State,2009,So,5,3,1,0,0,0,3,0,0,1,0,0,8,1
14790,Keith Searcy,Alcorn State,2009,Fr,3,1,1,0,0,0,11,2,2,0,0,0,6,5
14792,Michael Starks,Alcorn State,2009,Fr,9,5,2,1,0,0,4,0,0,0,0,0,2,0
16942,Mike Bersch,American University,2009,Fr,0,0,0,0,0,0,0,0,0,2,0,0,0,0
16939,Jordan Borucki,American University,2009,Fr,0,0,0,0,0,0,0,0,0,0,0,0,0,0
16935,Daniel Fisher,American University,2009,Fr,1,1,1,0,0,0,2,1,1,0,0,0,3,1
16944,Riley Grafft,American University,2009,So,2,2,1,0,0,0,4,1,1,4,2,2,4,3
16943,Nick Hendra,American University,2009,Jr,4,3,1,0,0,0,5,2,2,14,4,3,9,7
16938,Joe Hill (2),American University,2009,So,0,0,0,0,0,0,0,0,0,6,3,3,0,0
16937,Jeff Holton,American University,2009,Fr,0,0,0,0,0,0,0,0,0,0,0,0,0,0
16934,Blake Jolivette,American University,2009,Fr,3,1,1,0,0,0,5,0,0,6,3,3,2,2
16946,Stephen Lumpkins,American University,2009,So,11,2,1,1,1,1,11,0,0,0,0,0,5,3
16947,Steve Luptak,American University,2009,Jr,0,0,0,0,0,0,1,0,0,0,0,0,0,0
16945,Simon McCormack,American University,2009,So,2,1,0,0,0,0,1,1,1,0,0,0,0,0
16948,Vlad Moldoveanu,American University,2009,So,0,0,0,0,0,0,3,1,0,6,4,4,0,0
16936,Daniel Munoz (2),American University,2009,Fr,2,1,0,0,0,0,3,1,0,6,1,1,4,3
16941,Matthew Wilson,American University,2009,Jr,1,0,0,0,0,0,3,0,0,0,0,0,2,0
20990,Ryann Abraham,Appalachian State,2009,Sr,4,3,0,0,0,0,7,4,0,16,7,4,5,3
20981,J.R. Archer,Appalachian State,2009,Jr,0,0,0,0,0,0,0,0,0,0,0,0,2,1
20983,Jeremi Booth,Appalachian State,2009,Jr,5,3,1,0,0,0,5,2,0,21,9,8,8,6
20986,Kellen Brand,Appalachian State,2009,Sr,10,4,1,0,0,0,18,4,3,14,4,3,17,14
20980,Isaac Butts,Appalachian State,2009,Jr,14,11,1,0,0,0,16,1,0,0,0,0,9,4
20988,Nathan Healy,Appalachian State,2009,Fr,1,1,0,0,0,0,2,0,0,0,0,0,0,0
20978,A.J. Highsmith,Appalachian State,2009,Sr,0,0,0,0,0,0,0,0,0,3,1,1,0,0
20985,Josh Hunter,Appalachian State,2009,Sr,11,5,4,0,0,0,11,1,0,1,0,0,8,2
20982,Jacob Lail,Appalachian State,2009,So,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20984,Josh Nirenberg,Appalachian State,2009,Fr,0,0,0,0,0,0,1,0,0,0,0,0,0,0
9581,Donald Sims,Appalachian State,2009,Jr,13,7,0,0,0,0,25,7,0,51,21,12,29,27
20991,Tyler Webb,Appalachian State,2009,Sr,1,1,0,0,0,0,4,1,1,8,3,3,3,2
20979,Andre Williamson,Appalachian State,2009,So,7,6,3,3,3,3,15,6,2,0,0,0,16,10
20987,Marcus Wright,Appalachian State,2009,So,6,4,3,0,0,0,9,2,0,12,4,3,6,4
6680,Ty Abbott,Arizona State,2009,Jr,15,10,4,3,2,1,32,11,5,65,24,22,27,19
1954,Eric Boateng,Arizona State,2009,Sr,27,17,5,3,3,1,32,11,2,0,0,0,31,14
4734,Derek Glasser,Arizona State,2009,Sr,12,7,3,0,0,0,39,11,0,37,9,2,45,38
6682,Marcus Jackson,Arizona State,2009,Fr,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6676,Rihards Kuksiks,Arizona State,2009,Jr,17,12,7,3,2,2,28,10,4,80,30,23,24,21
6679,Trent Lockett,Arizona State,2009,Fr,17,14,12,3,2,2,28,8,3,5,0,0,38,25
6674,Jamelle McMillan,Arizona State,2009,Jr,17,7,4,0,0,0,9,3,3,25,7,7,12,7
6677,Ruslan Pateev,Arizona State,2009,Fr,3,2,1,1,1,1,4,0,0,0,0,0,6,3
6678,Taylor Rohde,Arizona State,2009,So,7,4,1,0,0,0,5,2,1,1,0,0,11,5
6681,Victor Rudd,Arizona State,2009,Fr,3,2,0,2,2,0,0,0,0,18,3,2,2,1
6675,Jerren Shipp,Arizona State,2009,Sr,8,7,4,0,0,0,10,1,0,18,9,8,14,9
6671,Brandon Thompson,Arizona State,2009,Fr,0,0,0,0,0,0,0,0,0,1,0,0,0,0
6673,Demetrius Walker,Arizona State,2009,Fr,5,2,1,0,0,0,11,2,0,13,7,6,14,9
6649,Kyle Fogg,Arizona,2009,So,20,13,3,0,0,0,47,12,3,43,17,17,51,38
6653,Solomon Hill,Arizona,2009,Fr,27,20,5,1,1,0,28,7,0,10,3,3,34,25
6647,Jamelle Horne,Arizona,2009,Jr,13,7,2,2,2,1,43,14,1,55,25,22,13,5
6641,Alex Jacobson,Arizona,2009,So,1,1,0,0,0,0,4,3,3,0,0,0,4,3
2540,Lamont Jones,Arizona,2009,Fr,17,13,8,0,0,0,42,20,2,18,5,5,22,15
6646,Garland Judkins,Arizona,2009,RS-So,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6642,Brendon Lavender,Arizona,2009,So,5,3,0,0,0,0,6,3,0,28,13,10,6,5
6650,Kyryl Natyazhko,Arizona,2009,Fr,8,5,4,0,0,0,14,5,1,3,1,1,15,10
6648,Kevin Parrom,Arizona,2009,Fr,5,4,1,0,0,0,17,5,2,8,1,1,22,14
6643,D.J. Shumpert,Arizona,2009,So,0,0,0,0,0,0,1,0,0,0,0,0,2,2
6644,Derrick Williams,Arizona,2009,Fr,68,50,36,11,10,10,47,16,9,6,1,1,116,83
6645,Dondre Wise,Arizona,2009,So,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2331,Nic Wise,Arizona,2009,Sr,38,19,2,0,0,0,58,16,3,62,21,16,80,69
14852,Hugh Barnett,Arkansas-Pine Bluff ,2009,Sr,2,1,0,0,0,0,3,0,0,0,0,0,2,2
14858,Terrance Calvin,Arkansas-Pine Bluff ,2009,Sr,16,6,2,0,0,0,64,24,3,4,0,0,30,26
14856,Stephan Collins,Arkansas-Pine Bluff ,2009,Fr,7,5,3,0,0,0,4,2,0,1,0,0,0,0
14851,George Davis,Arkansas-Pine Bluff ,2009,Sr,14,4,2,2,1,0,20,7,4,2,1,1,5,2
14861,Tyrees Glass,Arkansas-Pine Bluff ,2009,Sr,22,15,6,1,1,1,23,8,5,11,3,2,26,16
14859,Terrell Kennedy,Arkansas-Pine Bluff ,2009,So,3,2,1,0,0,0,2,0,0,2,0,0,0,0
14847,Antoni Lasker,Arkansas-Pine Bluff ,2009,So,0,0,0,0,0,0,0,0,0,0,0,0,0,0
14862,Vincent Martin,Arkansas-Pine Bluff ,2009,Fr,2,1,1,0,0,0,8,2,1,9,2,2,5,2
14850,Gavin Montgomery,Arkansas-Pine Bluff ,2009,Jr,0,0,0,0,0,0,1,0,0,0,0,0,2,2
14849,Dominic Moore,Arkansas-Pine Bluff ,2009,Jr,5,3,1,1,1,0,12,3,0,11,4,4,12,7
14848,Antonio Ootesey,Arkansas-Pine Bluff ,2009,Jr,0,0,0,0,0,0,1,0,0,2,1,1,0,0
14854,Ricky Parks,Arkansas-Pine Bluff ,2009,Jr,0,0,0,0,0,0,0,0,0,0,0,0,0,0
14846,Allen Smith,Arkansas-Pine Bluff ,2009,Jr,6,3,2,0,0,0,4,0,0,17,7,7,2,1
14860,Terry Tidwell,Arkansas-Pine Bluff ,2009,Fr,5,3,2,0,0,0,1,0,0,0,0,0,4,1
14855,Savalace Townsend,Arkansas-Pine Bluff ,2009,So,16,6,2,1,1,0,36,12,1,36,14,12,25,22
14857,Tavaris Washington,Arkansas-Pine Bluff ,2009,Sr,30,22,9,7,5,3,9,3,0,7,0,0,31,20
14853,Lebaron Weathers,Arkansas-Pine Bluff ,2009,Sr,10,7,5,3,3,3,50,17,9,26,7,7,17,13
4550,Martavius Adams,Arkansas State ,2009,So,18,12,6,3,3,1,16,6,3,0,0,0,9,5
19725,Rashad Allison,Arkansas State ,2009,Jr,8,2,1,0,0,0,10,1,0,11,3,2,12,9
19719,Donald Boone,Arkansas State ,2009,RS-Sr,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5976,JeJuan Brown,Arkansas State ,2009,Jr,13,7,2,1,1,0,10,2,2,2,2,1,12,9
19718,Daniel Bryant,Arkansas State ,2009,So,12,7,1,0,0,0,6,1,1,25,6,3,13,5
19721,Justin Butler,Arkansas State ,2009,Jr,2,1,0,1,0,0,0,0,0,2,0,0,7,5
19726,Trey Finn,Arkansas State ,2009,Fr,6,3,0,0,0,0,6,1,0,9,3,2,6,3
19724,Michael Lance,Arkansas State ,2009,Sr,0,0,0,0,0,0,0,0,0,2,0,0,0,0
19716,Brandon Peterson,Arkansas State ,2009,Fr,4,2,2,1,0,0,8,2,0,1,0,0,15,9
19717,Brandon Reed,Arkansas State ,2009,Fr,13,5,2,2,2,2,16,6,5,19,6,5,12,4
19715,Adam Sterrenberg,Arkansas State ,2009,Fr,0,0,0,0,0,0,0,0,0,1,0,0,0,0
19720,Jeremy Thomas,Arkansas State ,2009,Jr,3,3,1,0,0,0,0,0,0,0,0,0,2,1
5539,Marcus Britt,Arkansas,2009,Jr,9,5,0,0,0,0,16,7,1,19,6,6,10,10
5536,Glenn Bryant,Arkansas,2009,Fr,13,8,3,2,2,1,6,3,3,11,2,2,10,6
5543,Rotnei Clarke,Arkansas,2009,So,15,7,4,0,0,0,42,20,5,127,47,37,39,33
5545,Stephen Cox,Arkansas,2009,Jr,2,0,0,0,0,0,1,1,0,0,0,0,2,2
5537,Jemal Farmer,Arkansas,2009,Jr,23,10,7,2,2,2,26,8,6,11,6,5,19,9
3642,Courtney Fortson,Arkansas,2009,So,96,43,4,1,1,0,51,11,1,58,19,11,110,83
5535,Delvon Johnson,Arkansas,2009,Jr,23,15,9,5,4,2,11,1,0,0,0,0,7,2
5534,Cody Lay,Arkansas,2009,Fr,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5542,Nick Mason,Arkansas,2009,So,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5532,Brandon Mitchell,Arkansas,2009,RS-Fr,0,0,0,0,0,0,2,0,0,1,0,0,2,1
5538,Julysses Nobles,Arkansas,2009,Fr,14,7,0,0,0,0,10,4,0,13,4,4,16,6
5540,Marshawn Powell,Arkansas,2009,Fr,118,74,47,22,18,15,86,33,4,23,4,2,85,55
5533,Chris Roberts,Arkansas,2009,Fr,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5541,Michael Sanchez,Arkansas,2009,So,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2330,Michael Washington,Arkansas,2009,Sr,78,52,38,14,13,12,61,20,9,14,2,2,93,65
5544,Stefan Welsh,Arkansas,2009,Sr,24,14,5,0,0,0,23,3,0,41,10,9,19,13
16988,Joe Clark,Army,2009,So,0,0,0,0,0,0,0,0,0,0,0,0,0,0
16984,Ella Ellis,Army,2009,Fr,1,1,0,0,0,0,1,0,0,1,0,0,3,2
16996,Nathan Hedgecock,Army,2009,Jr,0,0,0,0,0,0,0,0,0,0,0,0,0,0
16987,Jeremy Hence,Army,2009,Jr,1,0,0,0,0,0,1,0,0,1,0,0,4,2
16995,Mitch McDonald,Army,2009,Jr,0,0,0,0,0,0,0,0,0,0,0,0,0,0
47965,C.J. McElrath,Army,2009,Fr,0,0,0,0,0,0,0,0,0,0,0,0,0,0
16991,Josh Miller,Army,2009,Sr,2,1,0,0,0,0,1,0,0,4,1,0,6,6
16994,Marcus Nelson,Army,2009,Sr,3,1,1,0,0,0,1,0,0,0,0,0,2,1
16986,Jason Pancoe,Army,2009,Fr,0,0,0,0,0,0,0,0,0,0,0,0,0,0
16983,Cleveland Richard,Army,2009,Sr,1,0,0,0,0,0,7,1,0,4,2,2,2,2
16992,Julian Simmons,Army,2009,So,0,0,0,0,0,0,2,0,0,7,5,5,3,2
16989,Jon Sizemore,Army,2009,Sr,1,1,0,0,0,0,3,1,0,0,0,0,0,0
16990,Jordan Springer,Army,2009,Fr,0,0,0,0,0,0,0,0,0,0,0,0,0,0
16998,Tyrell Thompson,Army,2009,Sr,0,0,0,0,0,0,0,0,0,0,0,0,0,0
16982,Chris Walker,Army,2009,Sr,2,1,0,0,0,0,4,1,0,0,0,0,0,0
16985,Eric Zastoupil,Army,2009,Sr,0,0,0,0,0,0,1,1,0,0,0,0,0,0
5590,Ty Armstrong,Auburn,2009,Fr,9,6,4,1,1,1,10,3,0,0,0,0,14,7
5587,Rob Chubb,Auburn,2009,Fr,1,0,0,0,0,0,0,0,0,0,0,0,0,0
5581,Jake Drum,Auburn,2009,So,1,1,0,0,0,0,0,0,0,0,0,0,0,0
5584,Kenny Gabriel,Auburn,2009,So,5,4,2,3,2,1,8,4,4,21,4,4,0,0
