GMID,Name,School,Year,A1PerRimAtt,A1Per2PT,PercFTsShootF
2380,Terrell Vinson,Massachusetts,2011,0.068,0.043,115.73%
2380,Terrell Vinson,Massachusetts,2012,0.054,0.036,102.94%
2381,Deshaun Thomas,Ohio State,2010,0.055,0.035,91.07%
2381,Deshaun Thomas,Ohio State,2011,0.127,0.055,103.13%
2381,Deshaun Thomas,Ohio State,2012,0.170,0.058,95.12%
2382,Lorenzo Brown,NC State,2010,0.141,0.060,98.80%
2382,Lorenzo Brown,NC State,2011,0.105,0.052,85.51%
2382,Lorenzo Brown,NC State,2012,0.100,0.051,114.29%
2383,Thomas Robinson,Kansas,2009,0.083,0.048,77.50%
2383,Thomas Robinson,Kansas,2010,0.078,0.060,79.52%
2383,Thomas Robinson,Kansas,2011,0.100,0.052,92.04%
2384,Erik Murphy,Florida,2009,0.087,0.060,100.00%
2384,Erik Murphy,Florida,2010,0.043,0.019,65.22%
2384,Erik Murphy,Florida,2011,0.017,0.008,100.00%
2384,Erik Murphy,Florida,2012,0.052,0.027,107.50%
2385,Roger Franklin,Oklahoma State,2009,0.143,0.054,110.00%
2385,Roger Franklin,Oklahoma State,2010,0.091,0.024,42.86%
2385,Roger Franklin,North Texas,2011,0.000,0.000,800.00%
2385,Roger Franklin,North Texas,2012,0.111,0.030,944.44%
2386,D.J. Richardson,Illinois,2009,0.097,0.026,98.44%
2386,D.J. Richardson,Illinois,2010,0.222,0.067,86.67%
2386,D.J. Richardson,Illinois,2011,0.042,0.009,124.39%
2386,D.J. Richardson,Illinois,2012,0.098,0.043,97.56%
2388,DeShawn Sims,Michigan,2009,0.057,0.016,95.88%
2389,Alex Stepheson,USC,2009,0.129,0.049,102.78%
2389,Alex Stepheson,USC,2010,0.127,0.064,97.75%
2390,Brian Zoubek,Duke,2009,0.108,0.083,91.80%
2391,Jerry Smith,Louisville,2009,0.119,0.077,68.83%
2411,Jerime Anderson,UCLA,2009,0.059,0.040,557.14%
2411,Jerime Anderson,UCLA,2010,0.069,0.030,74.07%
2411,Jerime Anderson,UCLA,2011,0.077,0.036,90.38%
2412,Drew Gordon,UCLA,2009,NA,NA,NA
2412,Drew Gordon,New Mexico,2010,0.063,0.036,96.05%
2412,Drew Gordon,New Mexico,2011,0.081,0.043,89.74%
2415,Angel Garcia,Memphis,2009,0.286,0.143,83.33%
2415,Angel Garcia,Memphis,2010,0.100,0.048,71.43%
2416,Emmanuel Negedu,New Mexico,2010,0.095,0.091,123.81%
2419,Devoe Joseph,Minnesota,2009,0.088,0.038,94.37%
2419,Devoe Joseph,Minnesota,2010,0.043,0.029,108.33%
2419,Devoe Joseph,Oregon,2011,0.047,0.017,84.62%
2421,Mike Moser,UCLA,2009,NA,NA,NA
2421,Mike Moser,UNLV,2011,0.049,0.025,136.54%
2421,Mike Moser,UNLV,2012,0.105,0.044,89.19%
2421,Mike Moser,Oregon,2013,0.069,0.036,86.76%
2439,Marvell Waithe,Arkansas,2010,0.000,0.000,650.00%
2439,Marvell Waithe,Arkansas,2011,0.000,0.000,1700.00%
2479,Torgrim Sommerfeldt,Manhattan,2011,#N/A,#N/A,#VALUE!
2482,Ben Allen,Saint Mary's,2009,0.143,0.030,528.57%
2505,Mike Tisdale,Illinois,2009,0.161,0.044,112.00%
2505,Mike Tisdale,Illinois,2010,0.130,0.047,82.61%
2506,Demetri McCamey,Illinois,2009,0.177,0.050,101.74%
2506,Demetri McCamey,Illinois,2010,0.230,0.088,100.87%
2507,Mike Davis,Illinois,2009,0.104,0.026,92.59%
2507,Mike Davis,Illinois,2010,0.141,0.044,88.89%
