GMID,Name,School,Year,A1PerRimAtt,A1Per2PT,PercFTsShootF
41492,Leron Black,Illinois,2017,0.220,0.046,91.21%
41493,Diamond Stone,Maryland,2015,0.106,0.059,85.61%
41494,Kevon Looney,UCLA,2014,0.100,0.062,86.32%
41495,Ivan Rabb,California,2015,0.198,0.102,74.47%
41495,Ivan Rabb,California,2016,0.107,0.042,87.35%
41496,Jermaine Lawrence,Cincinnati,2013,0.000,0.000,58.06%
41496,Jermaine Lawrence,Manhattan,2014,0.000,0.000,1000.00%
41578,Antonio Vrankovic,Duke,2015,0.000,0.000,NA
41578,Antonio Vrankovic,Duke,2016,0.000,0.000,90.91%
41578,Antonio Vrankovic,Duke,2017,0.000,0.000,50.00%
41588,David Pekarek,Fordham,2015,0.000,0.000,500.00%
41588,David Pekarek,Fordham,2016,NA,NA,100.00%
41588,David Pekarek,Fordham,2017,0.000,0.000,900.00%
41597,Dwayne Lautier-Ogunleye,Bradley,2015,0.400,0.111,400.00%
41597,Dwayne Lautier-Ogunleye,Bradley,2016,0.100,0.071,583.33%
41597,Dwayne Lautier-Ogunleye,Bradley,2017,0.200,0.150,280.00%
41599,Joe Mvuezolo,Montana State,2016,0.000,0.000,275.00%
41599,Joe Mvuezolo,Montana State,2017,0.000,0.000,2100.00%
41600,Joshua Steel,Duquesne,2015,NA,NA,NA
41600,Joshua Steel,Duquesne,2016,NA,NA,NA
41629,Georgios Tsalmpouris,Iowa State,2014,0.000,0.000,200.00%
41632,Kostas Mitoglou,Wake Forest,2014,0.000,0.000,420.00%
41632,Kostas Mitoglou,Wake Forest,2015,0.000,0.000,238.10%
41632,Kostas Mitoglou,Wake Forest,2016,0.197,0.113,86.08%
41644,Rendijs Feikners,Florida Gulf Coast,2016,NA,NA,NA
41647,Ervins Meznieks,Boston College,2015,0.000,0.000,125.00%
41647,Ervins Meznieks,Boston College,2016,NA,0.000,NA
41647,Ervins Meznieks,Boston College,2017,0.500,0.500,100.00%
41662,Deividas Zemgulis,Penn State,2015,0.143,0.059,183.33%
41662,Deividas Zemgulis,Penn State,2016,0.000,0.000,0.00%
41662,Deividas Zemgulis,Penn State,2017,0.000,0.000,100.00%
41690,Dusan Kovacevic,Davidson,2016,0.059,0.040,77.78%
41690,Dusan Kovacevic,Davidson,2017,0.000,0.000,80.00%
41707,Francisco Alonso,UNC Greensboro,2015,0.000,0.000,NA
41707,Francisco Alonso,UNC Greensboro,2016,0.000,0.000,925.00%
41707,Francisco Alonso,UNC Greensboro,2017,0.000,0.000,573.33%
41726,Sviatoslav Mykhailiuk,Kansas,2014,0.000,0.000,33.33%
41726,Sviatoslav Mykhailiuk,Kansas,2015,0.167,0.096,65.00%
41726,Sviatoslav Mykhailiuk,Kansas,2016,0.000,0.000,94.59%
41726,Sviatoslav Mykhailiuk,Kansas,2017,0.051,0.030,90.74%
41773,Candido Sa,Rutgers,2016,0.154,0.083,215.38%
41773,Candido Sa,Rutgers,2017,0.000,0.000,250.00%
41957,Tyler Dorsey,Oregon,2015,0.106,0.068,84.21%
41957,Tyler Dorsey,Oregon,2016,0.052,0.033,95.00%
41959,Mangok Mathiang,Louisville,2013,0.068,0.048,102.38%
41959,Mangok Mathiang,Louisville,2014,0.100,0.050,80.49%
41959,Mangok Mathiang,Louisville,2015,0.107,0.063,72.41%
41959,Mangok Mathiang,Louisville,2016,0.066,0.039,105.77%
42059,Sidy N'dir,New Mexico State,2015,0.000,0.000,1100.00%
42059,Sidy N'dir,New Mexico State,2016,0.154,0.077,100.00%
42059,Sidy N'dir,New Mexico State,2017,0.081,0.048,126.92%
42064,Braian Angola-Rodas,Florida State,2016,0.083,0.052,83.87%
42064,Braian Angola-Rodas,Florida State,2017,0.078,0.053,83.90%
42067,Jonah Bolden,UCLA,2015,0.143,0.063,74.07%
42068,Jack McVeigh,Nebraska,2015,0.000,0.000,64.29%
42068,Jack McVeigh,Nebraska,2016,0.125,0.048,385.71%
42068,Jack McVeigh,Nebraska,2017,0.250,0.091,100.00%
42069,Jordan Bell,Oregon,2014,0.032,0.025,100.00%
42069,Jordan Bell,Oregon,2015,0.028,0.021,82.22%
42069,Jordan Bell,Oregon,2016,0.071,0.054,80.37%
42072,Daniel Hamilton,Connecticut,2014,0.036,0.010,100.00%
42072,Daniel Hamilton,Connecticut,2015,0.103,0.038,86.05%
42073,Adonys Henriquez,UCF,2014,0.000,0.000,440.00%
42073,Adonys Henriquez,UCF,2015,0.250,0.143,542.86%
42074,Skal Labissiere,Kentucky,2015,0.067,0.018,79.63%
42075,Melo Trimble,Maryland,2014,0.133,0.067,87.62%
42075,Melo Trimble,Maryland,2015,0.090,0.044,83.73%
42075,Melo Trimble,Maryland,2016,0.134,0.071,72.22%
42077,Craig Victor,Arizona,2014,0.167,0.077,88.24%
42077,Craig Victor,LSU,2015,0.138,0.042,91.82%
42077,Craig Victor,LSU,2016,0.000,0.000,218.18%
42078,Isaiah Whitehead,Seton Hall,2014,0.036,0.016,94.12%
42078,Isaiah Whitehead,Seton Hall,2015,0.149,0.057,96.75%
42079,Cliff Alexander,Kansas,2014,0.076,0.048,81.58%
42080,Kaleb Joseph,Syracuse,2014,0.034,0.011,102.50%
42080,Kaleb Joseph,Syracuse,2015,0.333,0.077,33.33%
42080,Kaleb Joseph,Creighton,2017,0.000,0.000,88.89%
42081,Trey Thompson,Arkansas,2014,0.500,0.200,100.00%
42081,Trey Thompson,Arkansas,2015,0.029,0.018,89.29%
42081,Trey Thompson,Arkansas,2016,0.188,0.115,89.66%
42081,Trey Thompson,Arkansas,2017,0.104,0.054,73.08%
42082,Rashad Vaughn,UNLV,2014,0.087,0.037,350.00%
42083,Milik Yarbrough,Saint Louis,2014,0.086,0.052,287.50%
42083,Milik Yarbrough,Saint Louis,2015,0.067,0.033,450.00%
42083,Milik Yarbrough,Illinois State,2017,0.167,0.083,314.29%
42084,Luke Kennard,Duke,2015,0.057,0.027,75.86%
42084,Luke Kennard,Duke,2016,0.188,0.059,80.70%
42087,Andrew Chrabascz,Butler,2013,0.122,0.091,85.53%
42087,Andrew Chrabascz,Butler,2014,0.091,0.056,90.68%
42087,Andrew Chrabascz,Butler,2015,0.096,0.062,87.01%
42087,Andrew Chrabascz,Butler,2016,0.105,0.047,7.25%
42089,Mike Young,Pittsburgh,2013,0.075,0.034,86.11%
42089,Mike Young,Pittsburgh,2014,0.085,0.046,115.32%
42089,Mike Young,Pittsburgh,2015,0.171,0.069,91.19%
42089,Mike Young,Pittsburgh,2016,0.136,0.054,93.27%
42121,Georgios Angelou,St. Francis (PA),2013,#N/A,#N/A,#VALUE!
42121,Georgios Angelou,St. Francis (PA),2014,NA,NA,NA
42121,Georgios Angelou,St. Francis (PA),2015,NA,NA,400.00%
42121,Georgios Angelou,St. Francis (PA),2016,NA,0.000,1300.00%
42139,Filip Nowicki,Sacred Heart,2014,0.143,0.111,500.00%
42139,Filip Nowicki,Sacred Heart,2015,0.000,0.000,NA
42151,Matija Milin,Fairfield,2015,0.143,0.091,366.67%
42151,Matija Milin,Fairfield,2016,0.000,0.000,900.00%
42151,Matija Milin,Fairfield,2017,0.000,0.000,NA
42158,Martin Krampelj,Creighton,2015,0.125,0.091,83.33%
42158,Martin Krampelj,Creighton,2016,0.162,0.133,92.31%
42158,Martin Krampelj,Creighton,2017,0.067,0.060,77.36%
42177,Kerem Kanter,Green Bay,2014,0.100,0.067,100.00%
42177,Kerem Kanter,Green Bay,2015,0.091,0.077,550.00%
42177,Kerem Kanter,Green Bay,2016,0.000,0.000,3400.00%
42177,Kerem Kanter,Xavier,2017,0.039,0.027,88.31%
42187,"Lance Tejada, Jr.",East Carolina,2014,0.200,0.071,341.67%
42187,"Lance Tejada, Jr.",East Carolina,2015,0.000,0.000,294.12%
42187,"Lance Tejada, Jr.",Lehigh,2017,0.125,0.059,760.00%
42199,Markel Crawford,Memphis,2014,0.082,0.063,122.22%
42199,Markel Crawford,Memphis,2015,0.051,0.029,71.43%
42199,Markel Crawford,Memphis,2016,0.033,0.024,265.00%
42199,Markel Crawford,Ole Miss,2017,0.133,0.063,79.35%
42277,Alexandru Olah,Northwestern,2012,0.043,0.020,243.75%
42277,Alexandru Olah,Northwestern,2013,0.088,0.044,182.50%
42277,Alexandru Olah,Northwestern,2014,0.156,0.061,294.87%
42277,Alexandru Olah,Northwestern,2015,0.077,0.045,86.49%
42281,Roddy Peters,Maryland,2013,0.093,0.059,88.89%
42281,Roddy Peters,South Florida,2015,0.000,0.000,500.00%
42281,Roddy Peters,Nicholls State,2017,0.000,0.000,6700.00%
42282,Terrence Samuel,Connecticut,2013,0.074,0.056,96.55%
42282,Terrence Samuel,Connecticut,2014,0.055,0.037,100.00%
42282,Terrence Samuel,Penn State,2016,0.077,0.048,102.63%
42282,Terrence Samuel,South Florida,2017,0.000,0.000,569.23%
42283,Jared Terrell,Rhode Island,2014,0.064,0.034,97.26%
42283,Jared Terrell,Rhode Island,2015,0.163,0.068,103.70%
42283,Jared Terrell,Rhode Island,2016,0.148,0.074,92.19%
42283,Jared Terrell,Rhode Island,2017,0.030,0.015,94.50%
42284,Robert Hubbs III,Tennessee,2013,0.095,0.051,100.00%
42284,Robert Hubbs III,Tennessee,2014,0.071,0.027,107.41%
42284,Robert Hubbs III,Tennessee,2015,0.111,0.041,204.35%
42284,Robert Hubbs III,Tennessee,2016,0.051,0.014,86.02%
42285,Chier Ajou,Northwestern,2012,#N/A,#N/A,#VALUE!
42285,Chier Ajou,Seton Hall,2014,0.000,0.000,NA
42291,Joe Rahon,Boston College,2012,0.000,0.000,500.00%
42291,Joe Rahon,Boston College,2013,0.095,0.037,284.21%
42291,Joe Rahon,Saint Mary's,2015,0.009,0.006,98.08%
42291,Joe Rahon,Saint Mary's,2016,0.014,0.010,173.68%
42292,Jaron Blossomgame,Clemson,2013,0.047,0.033,110.26%
42292,Jaron Blossomgame,Clemson,2014,0.137,0.071,95.59%
42292,Jaron Blossomgame,Clemson,2015,0.092,0.058,90.67%
42292,Jaron Blossomgame,Clemson,2016,0.093,0.052,79.76%
42293,Jordan Roper,Clemson,2012,0.500,0.100,266.67%
42293,Jordan Roper,Clemson,2013,0.194,0.072,103.92%
42293,Jordan Roper,Clemson,2014,0.080,0.020,93.02%
42293,Jordan Roper,Clemson,2015,0.063,0.024,127.91%
42294,Boris Bojanovski,Florida State,2012,0.000,0.000,366.67%
42294,Boris Bojanovski,Florida State,2013,0.115,0.073,89.33%
42294,Boris Bojanovski,Florida State,2014,0.125,0.076,78.67%
42294,Boris Bojanovski,Florida State,2015,0.071,0.053,81.48%
42295,Robert Gilchrist,Florida State,2012,0.250,0.071,700.00%
42295,Robert Gilchrist,Florida State,2013,0.042,0.023,54.55%
42296,Joell Hopkins,Florida State,2013,0.000,0.000,75.00%
42296,Joell Hopkins,Southern,2014,0.000,0.000,1000.00%
42297,Michael Ojo (2),Florida State,2012,0.000,0.000,100.00%
42297,Michael Ojo (2),Florida State,2013,0.103,0.066,69.57%
42297,Michael Ojo (2),Florida State,2014,0.156,0.106,76.74%
42297,Michael Ojo (2),Florida State,2016,0.053,0.043,66.67%
42298,Chris Bolden,Georgia Tech,2012,0.143,0.029,640.00%
42298,Chris Bolden,Georgia Tech,2013,0.000,0.000,500.00%
42298,Chris Bolden,Georgia Tech,2014,0.000,0.000,166.67%
42299,Brooks Doyle,Georgia Tech,2012,NA,NA,NA
42299,Brooks Doyle,Georgia Tech,2013,NA,0.000,NA
42299,Brooks Doyle,Georgia Tech,2014,NA,0.000,NA
42300,Corey Heyward,Georgia Tech,2013,0.000,0.000,333.33%
42300,Corey Heyward,Georgia Tech,2014,0.167,0.143,84.62%
42300,Corey Heyward,Georgia Tech,2015,0.000,0.000,NA
42300,Corey Heyward,Georgia Tech,2016,0.000,0.000,81.25%
42301,Seth Allen,Maryland,2012,0.104,0.052,101.69%
42301,Seth Allen,Maryland,2013,0.000,0.000,82.76%
42301,Seth Allen,Virginia Tech,2015,0.052,0.038,85.25%
42301,Seth Allen,Virginia Tech,2016,0.097,0.063,98.81%
42302,Conner Lipinski,Maryland,2012,NA,NA,100.00%
42303,Taylor Barnette,Virginia,2012,0.000,0.000,100.00%
42303,Taylor Barnette,Belmont,2014,0.000,0.000,NA
42303,Taylor Barnette,Belmont,2015,0.000,0.000,325.00%
42303,Taylor Barnette,Belmont,2016,0.061,0.050,141.67%
42304,Teven Jones,Virginia,2012,0.000,0.000,86.96%
42304,Teven Jones,Virginia,2013,0.000,0.000,100.00%
42305,Caid Kirven,Virginia,2012,0.000,0.000,NA
42305,Caid Kirven,Virginia,2013,0.000,0.000,NA
42305,Caid Kirven,Virginia,2014,0.000,0.000,NA
42305,Caid Kirven,Virginia,2015,0.000,0.000,NA
42307,Mike Tobey,Virginia,2012,0.068,0.027,100.00%
42307,Mike Tobey,Virginia,2013,0.026,0.013,106.67%
42307,Mike Tobey,Virginia,2014,0.151,0.085,91.07%
42307,Mike Tobey,Virginia,2015,0.047,0.028,80.00%
42308,Marcus Patrick,Virginia Tech,2012,NA,0.000,200.00%
42309,Marshall Wood,Virginia Tech,2012,0.000,0.000,NA
42309,Marshall Wood,Virginia Tech,2013,0.500,0.091,380.00%
42309,Marshall Wood,Richmond,2015,#N/A,#N/A,#VALUE!
42309,Marshall Wood,Richmond,2016,0.000,0.000,80.00%
42310,Tyler Cavanaugh,Wake Forest,2012,0.059,0.032,333.33%
42310,Tyler Cavanaugh,Wake Forest,2013,0.136,0.059,385.19%
42310,Tyler Cavanaugh,George Washington,2015,0.111,0.067,112.41%
42310,Tyler Cavanaugh,George Washington,2016,0.200,0.089,560.71%
42311,Devin Thomas,Wake Forest,2012,0.108,0.066,271.43%
42311,Devin Thomas,Wake Forest,2013,0.078,0.048,239.22%
42311,Devin Thomas,Wake Forest,2014,0.048,0.031,214.29%
42311,Devin Thomas,Wake Forest,2015,0.046,0.032,183.54%
42312,Andre Washington,Wake Forest,2012,0.333,0.200,233.33%
42312,Andre Washington,Wake Forest,2013,0.250,0.083,281.82%
42312,Andre Washington,Wake Forest,2014,0.000,0.000,171.43%
42312,Andre Washington,East Carolina,2016,0.000,0.000,1285.71%
42315,Anthony Clemmons,Iowa,2012,0.071,0.033,97.92%
42315,Anthony Clemmons,Iowa,2013,0.231,0.103,82.86%
42315,Anthony Clemmons,Iowa,2014,0.138,0.068,85.19%
42315,Anthony Clemmons,Iowa,2015,0.048,0.028,80.52%
42316,Kyle Meyer,Iowa,2013,0.000,0.000,100.00%
42316,Kyle Meyer,Houston,2015,0.000,0.000,96.00%
42316,Kyle Meyer,Houston,2016,0.100,0.070,91.30%
42317,Mike LaTulip,Illinois,2012,NA,0.000,150.00%
42317,Mike LaTulip,Illinois,2013,NA,NA,100.00%
42317,Mike LaTulip,Illinois,2014,0.000,0.000,100.00%
42317,Mike LaTulip,Wright State,2016,0.000,0.000,1600.00%
42318,Zak Showalter,Wisconsin,2012,0.222,0.143,71.43%
42318,Zak Showalter,Wisconsin,2014,0.167,0.143,100.00%
42318,Zak Showalter,Wisconsin,2015,0.075,0.060,75.51%
42318,Zak Showalter,Wisconsin,2016,0.047,0.038,90.48%
42319,Stephen Toyra,Purdue,2012,NA,NA,80.00%
42319,Stephen Toyra,Purdue,2013,0.000,0.000,100.00%
42319,Stephen Toyra,Purdue,2014,NA,NA,100.00%
42319,Stephen Toyra,Purdue,2015,NA,0.000,100.00%
42320,Rapheal Davis,Purdue,2012,0.208,0.122,110.77%
42320,Rapheal Davis,Purdue,2013,0.167,0.087,82.67%
42320,Rapheal Davis,Purdue,2014,0.052,0.032,99.10%
42320,Rapheal Davis,Purdue,2015,0.155,0.083,74.32%
42321,Spike Albrecht,Michigan,2012,0.100,0.040,81.82%
42321,Spike Albrecht,Michigan,2013,0.000,0.000,100.00%
42321,Spike Albrecht,Michigan,2014,0.059,0.024,105.56%
42321,Spike Albrecht,Michigan,2015,0.000,0.000,57.14%
42321,Spike Albrecht,Purdue,2016,0.000,0.000,68.42%
42322,Caris LeVert,Michigan,2012,0.000,0.000,100.00%
42322,Caris LeVert,Michigan,2013,0.226,0.078,83.33%
42322,Caris LeVert,Michigan,2014,0.135,0.035,73.02%
42322,Caris LeVert,Michigan,2015,0.085,0.046,77.27%
42323,Charles Buggs,Minnesota,2013,0.000,0.000,NA
42323,Charles Buggs,Minnesota,2014,0.097,0.059,78.57%
42323,Charles Buggs,Minnesota,2015,0.000,0.000,700.00%
42323,Charles Buggs,USC,2016,0.000,0.000,66.67%
42324,Kale Abrahamson,Northwestern,2012,0.182,0.100,342.86%
42324,Kale Abrahamson,Northwestern,2013,0.091,0.063,161.54%
42324,Kale Abrahamson,Drake,2015,0.000,0.000,1200.00%
42324,Kale Abrahamson,Duquesne,2016,0.000,0.000,180.00%
42325,Aaron Liberman,Northwestern,2013,NA,0.000,NA
42325,Aaron Liberman,Tulane,2014,NA,NA,NA
42326,Sanjay Lumpkin,Northwestern,2012,NA,NA,NA
42326,Sanjay Lumpkin,Northwestern,2013,0.048,0.030,194.12%
42326,Sanjay Lumpkin,Northwestern,2014,0.000,0.000,625.00%
42326,Sanjay Lumpkin,Northwestern,2015,0.083,0.077,125.00%
42326,Sanjay Lumpkin,Northwestern,2016,0.097,0.086,67.69%
42327,Donovon Jack,Penn State,2012,0.500,0.167,700.00%
42327,Donovon Jack,Penn State,2013,0.040,0.025,91.43%
42327,Donovon Jack,Penn State,2014,0.023,0.017,100.00%
42327,Donovon Jack,Penn State,2015,0.059,0.032,157.69%
42328,Akosa Maduegbunam,Penn State,2012,0.000,0.000,NA
42329,Brandon Taylor,Penn State,2012,0.167,0.045,433.33%
42329,Brandon Taylor,Penn State,2013,0.167,0.067,84.75%
42329,Brandon Taylor,Penn State,2014,0.077,0.020,105.00%
42329,Brandon Taylor,Penn State,2015,0.038,0.010,369.23%
42330,Deverell Biggs,Nebraska,2013,0.098,0.043,87.50%
42330,Deverell Biggs,Texas Southern,2014,0.100,0.048,255.00%
42331,Benny Parker,Nebraska,2012,0.000,0.000,325.00%
42331,Benny Parker,Nebraska,2013,0.095,0.051,85.71%
42331,Benny Parker,Nebraska,2014,0.000,0.000,475.00%
42331,Benny Parker,Nebraska,2015,0.065,0.030,88.89%
42332,Max Ritchie,Nebraska,2012,NA,NA,NA
42333,Shavon Shields,Nebraska,2012,0.231,0.090,335.29%
42333,Shavon Shields,Nebraska,2013,0.146,0.071,88.89%
42333,Shavon Shields,Nebraska,2014,0.073,0.030,273.17%
42333,Shavon Shields,Nebraska,2015,0.177,0.061,79.41%
42334,Sergej Vucetic,Nebraska,2012,1.000,0.500,66.67%
42334,Sergej Vucetic,Nebraska,2013,NA,0.000,100.00%
42334,Sergej Vucetic,Evansville,2015,0.000,0.000,50.00%
42334,Sergej Vucetic,Evansville,2016,0.000,0.000,433.33%
42335,Anthlon Bell,Arkansas,2012,0.143,0.037,90.91%
42335,Anthlon Bell,Arkansas,2013,0.000,0.000,78.57%
42335,Anthlon Bell,Arkansas,2014,0.308,0.059,96.77%
42335,Anthlon Bell,Arkansas,2015,0.067,0.017,87.50%
42336,Coty Clarke,Arkansas,2012,0.167,0.091,95.70%
42336,Coty Clarke,Arkansas,2013,0.106,0.042,87.76%
42337,Charlie Henderson,Arkansas,2012,0.000,0.000,NA
42338,Michael Qualls,Arkansas,2012,0.133,0.061,85.71%
42338,Michael Qualls,Arkansas,2013,0.089,0.056,80.17%
42338,Michael Qualls,Arkansas,2014,0.132,0.070,96.26%
42339,Davion Spivey,Arkansas,2012,0.000,0.000,NA
42340,DeQuavious Wagner,Arkansas,2012,0.000,0.000,66.67%
42340,DeQuavious Wagner,Arkansas,2013,0.000,0.000,100.00%
42341,Jacorey Williams,Arkansas,2012,0.130,0.044,59.09%
42341,Jacorey Williams,Arkansas,2013,0.034,0.011,57.89%
42341,Jacorey Williams,Arkansas,2014,0.116,0.031,92.45%
42341,Jacorey Williams,Middle Tennessee State,2016,0.100,0.036,148.65%
42342,Asauhn Dixon-Tatum,Auburn,2012,0.000,0.000,162.50%
42342,Asauhn Dixon-Tatum,Auburn,2013,0.071,0.040,330.77%
42343,Jordon Granger,Auburn,2012,0.000,0.000,300.00%
42343,Jordon Granger,Auburn,2013,0.200,0.200,233.33%
42343,Jordon Granger,Auburn,2014,0.000,0.000,333.33%
42343,Jordon Granger,Auburn,2015,0.125,0.091,192.31%
42344,"Brian Greene, Jr.",Auburn,2012,0.333,0.077,128.57%
42344,"Brian Greene, Jr.",Florida Gulf Coast,2014,0.000,0.000,200.00%
42344,"Brian Greene, Jr.",Florida Gulf Coast,2015,NA,0.000,NA
42344,"Brian Greene, Jr.",Chicago State,2016,0.125,0.077,185.71%
42345,Nick Pellar,Auburn,2012,#N/A,#N/A,#VALUE!
42345,Nick Pellar,Florida Gulf Coast,2014,#N/A,#N/A,#VALUE!
42346,DeVon Walker,Florida,2012,0.000,0.000,100.00%
42346,DeVon Walker,Florida,2013,0.200,0.063,72.73%
42346,DeVon Walker,Florida,2015,0.000,0.000,83.33%
42346,DeVon Walker,Troy,2016,0.000,0.000,836.36%
42347,A.J. Astroth,Vanderbilt,2012,0.000,0.000,NA
42347,A.J. Astroth,Towson,2014,0.000,0.000,1500.00%
42347,A.J. Astroth,Hampton,2016,0.250,0.167,2400.00%
42347,A.J. Astroth,Hampton,2017,#N/A,#N/A,#VALUE!
42348,Sheldon Jeter,Vanderbilt,2012,0.211,0.083,123.33%
42348,Sheldon Jeter,Pittsburgh,2014,0.111,0.040,119.35%
42348,Sheldon Jeter,Pittsburgh,2015,0.141,0.063,90.38%
42348,Sheldon Jeter,Pittsburgh,2016,0.072,0.036,85.94%
42349,Alex Caruso,Texas A&M,2012,0.017,0.011,86.67%
42349,Alex Caruso,Texas A&M,2013,0.048,0.026,233.33%
42349,Alex Caruso,Texas A&M,2014,0.081,0.058,98.68%
42349,Alex Caruso,Texas A&M,2015,0.058,0.041,104.26%
42350,Kyle Dobbins,Texas A&M,2012,NA,NA,100.00%
42350,Kyle Dobbins,Texas A&M,2013,0.000,0.000,300.00%
42350,Kyle Dobbins,Texas A&M,2014,0.000,0.000,NA
42350,Kyle Dobbins,Texas A&M,2015,0.000,0.000,100.00%
42351,Shawn Smith,Texas A&M,2013,0.071,0.053,470.00%
42352,Andrew Young,Texas A&M,2012,0.079,0.044,110.00%
42353,D'Montre Edwards,Tennessee,2012,0.000,0.000,88.89%
42353,D'Montre Edwards,Tennessee,2013,0.000,0.000,50.00%
42354,Armani Moore,Tennessee,2012,0.057,0.032,71.43%
42354,Armani Moore,Tennessee,2013,0.063,0.043,104.35%
42354,Armani Moore,Tennessee,2014,0.081,0.050,77.97%
42354,Armani Moore,Tennessee,2015,0.088,0.040,168.52%
42355,Shavon Coleman,LSU,2012,0.063,0.045,400.00%
42355,Shavon Coleman,LSU,2013,0.118,0.076,108.47%
42356,Corban Collins,LSU,2012,0.000,0.000,450.00%
42356,Corban Collins,Morehead State,2014,0.000,0.000,700.00%
42356,Corban Collins,Morehead State,2015,0.000,0.000,650.00%
42356,Corban Collins,Alabama,2016,0.208,0.079,78.85%
42357,Terry Brutus,Ole Miss,2012,0.050,0.050,70.00%
42357,Terry Brutus,Ole Miss,2014,NA,NA,NA
42357,Terry Brutus,Ole Miss,2015,0.000,0.000,NA
42357,Terry Brutus,Samford,2016,0.000,0.000,433.33%
42358,Jason Carter,Alabama,2010,0.000,0.000,92.31%
42358,Jason Carter,Texas Southern,2014,0.000,0.000,230.77%
42359,Derrick Millinghaus,Ole Miss,2012,0.098,0.051,85.71%
42359,Derrick Millinghaus,Ole Miss,2013,0.105,0.063,94.34%
42360,Martavious Newby,Ole Miss,2012,0.050,0.043,52.94%
42360,Martavious Newby,Ole Miss,2013,0.040,0.037,88.46%
42360,Martavious Newby,Ole Miss,2014,0.000,0.000,97.30%
42360,Martavious Newby,Ole Miss,2015,0.021,0.018,100.00%
42361,Anthony Perez-Cortesia,Ole Miss,2012,0.000,0.000,57.14%
42361,Anthony Perez-Cortesia,Ole Miss,2013,0.182,0.080,122.58%
42361,Anthony Perez-Cortesia,Ole Miss,2014,0.000,0.000,95.65%
42361,Anthony Perez-Cortesia,Ole Miss,2015,0.089,0.063,94.55%
42362,Dre Applewhite,Mississippi State,2013,0.000,0.000,1700.00%
42363,Trivante Bloodman,Mississippi State,2012,0.115,0.073,339.29%
42363,Trivante Bloodman,Mississippi State,2013,0.000,0.000,409.09%
42363,Trivante Bloodman,Mississippi State,2014,0.000,0.000,345.45%
42364,Colin Borchert,Mississippi State,2012,0.000,0.000,300.00%
42364,Colin Borchert,Mississippi State,2013,0.000,0.000,880.00%
42365,Jacoby Davis,Mississippi State,2013,0.000,0.000,NA
42366,Craig Sword,Mississippi State,2012,0.000,0.000,360.00%
42366,Craig Sword,Mississippi State,2013,0.070,0.045,251.11%
42366,Craig Sword,Mississippi State,2014,0.059,0.029,225.71%
42366,Craig Sword,Mississippi State,2015,0.155,0.088,94.40%
42367,Fred Thomas,Mississippi State,2012,0.077,0.020,278.26%
42367,Fred Thomas,Mississippi State,2013,0.071,0.038,441.67%
42367,Fred Thomas,Mississippi State,2014,0.500,0.200,385.71%
42367,Fred Thomas,Mississippi State,2015,0.063,0.029,100.00%
42368,Gavin Ware,Mississippi State,2012,0.054,0.031,209.38%
42368,Gavin Ware,Mississippi State,2013,0.037,0.019,270.37%
42368,Gavin Ware,Mississippi State,2014,0.091,0.031,218.75%
42368,Gavin Ware,Mississippi State,2015,0.110,0.045,96.69%
42369,Dwayne Morgan,UNLV,2014,0.000,0.000,600.00%
42369,Dwayne Morgan,UNLV,2015,0.000,0.000,700.00%
42369,Dwayne Morgan,UNLV,2016,NA,NA,NA
42369,Dwayne Morgan,Southern Utah,2017,NA,NA,NA
42370,Tyus Battle,Syracuse,2016,0.083,0.041,82.54%
42370,Tyus Battle,Syracuse,2017,0.162,0.048,90.86%
42371,Allonzo Trier,Arizona,2015,0.115,0.059,75.17%
42371,Allonzo Trier,Arizona,2016,0.065,0.037,113.33%
42371,Allonzo Trier,Arizona,2017,0.116,0.064,94.40%
42379,Damian Jones,Vanderbilt,2013,0.065,0.027,306.67%
42379,Damian Jones,Vanderbilt,2014,0.115,0.061,94.52%
42379,Damian Jones,Vanderbilt,2015,0.144,0.076,87.60%
42380,Luke Worthington,Brigham Young,2013,0.200,0.080,88.89%
42380,Luke Worthington,Brigham Young,2014,0.100,0.033,109.52%
42380,Luke Worthington,Brigham Young,2017,0.063,0.016,108.82%
42381,Titus Rubles,Cincinnati,2012,0.090,0.042,108.43%
42381,Titus Rubles,Cincinnati,2013,0.060,0.028,92.55%
42382,Durrell McDonald,DePaul,2012,0.000,0.000,500.00%
42382,Durrell McDonald,DePaul,2013,0.100,0.029,385.71%
42382,Durrell McDonald,DePaul,2014,0.125,0.080,180.00%
42383,Peter Ryckbosch,DePaul,2012,0.000,0.000,100.00%
42383,Peter Ryckbosch,DePaul,2013,0.000,0.000,250.00%
42383,Peter Ryckbosch,DePaul,2015,0.000,0.000,88.89%
42383,Peter Ryckbosch,DePaul,2017,0.000,0.000,NA
42384,Cory Dolins,DePaul,2012,#N/A,#N/A,#VALUE!
42384,Cory Dolins,DePaul,2013,NA,NA,NA
42384,Cory Dolins,DePaul,2014,NA,0.000,100.00%
42384,Cory Dolins,DePaul,2015,0.000,0.000,NA
42385,DeJuan Marrero,DePaul,2013,0.000,0.000,214.29%
42385,DeJuan Marrero,Morehead State,2015,0.000,0.000,3900.00%
42385,DeJuan Marrero,Morehead State,2016,0.000,0.000,1200.00%
42386,Michael Baffour,Louisville,2012,NA,NA,100.00%
42387,Jamal Ferguson,Marquette,2012,0.000,0.000,100.00%
42387,Jamal Ferguson,North Carolina Central,2014,0.333,0.077,525.00%
