GMID,Name,School,Year,Grade,S2PA,S2PM,S2PMAss,DunkA,DunkM,DunkAss,L2PA,L2PM,L2PMAss,A3P,M3P,Ass3PM,FTA,FTM
5504,Justin Luquire,Alabama,2009,Sr,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5506,Tony Mitchell,Alabama,2009,Fr,95,71,44,28,24,14,73,24,10,54,15,14,52,29
5495,Andrew Steele,Alabama,2009,RS-So,4,3,2,0,0,0,4,1,0,5,2,2,13,6
5505,Mikhail Torrance,Alabama,2009,Sr,113,63,20,2,2,1,116,55,15,107,38,18,140,121
17582,Billy Allen,Albany,2009,So,10,6,5,0,0,0,8,4,3,58,16,15,8,8
17596,Tim Ambrose,Albany,2009,Jr,82,55,16,4,4,1,169,58,13,73,24,19,96,72
17590,Logan Aronhalt,Albany,2009,Fr,21,9,8,2,2,2,42,17,3,97,32,27,37,32
17591,Louis Barraza,Albany,2009,Jr,0,0,0,0,0,0,0,0,0,3,1,1,0,0
17593,Mike Black,Albany,2009,Fr,47,21,5,0,0,0,39,10,2,72,32,25,60,46
17584,Brett Gifford,Albany,2009,Sr,21,16,12,0,0,0,39,13,12,1,0,0,9,4
4414,Will Harris,Albany,2009,Sr,73,44,27,4,4,3,92,36,16,109,41,30,52,41
17592,Mike Johnson,Albany,2009,Sr,27,20,5,0,0,0,43,14,5,24,5,4,27,18
17588,Jake Lindfors,Albany,2009,RS-Fr,15,7,3,0,0,0,18,7,5,39,9,9,9,7
17595,Scotty McRae,Albany,2009,Sr,42,22,8,5,5,3,92,28,11,26,6,6,77,53
17583,Blake Metcalf,Albany,2009,Fr,29,12,6,0,0,0,23,12,6,1,0,0,18,8
17585,Derrek Tartt,Albany,2009,Fr,8,5,3,1,0,0,10,2,0,15,6,5,15,8
17586,Fran Urli,Albany,2009,Jr,58,33,17,0,0,0,40,14,5,4,2,2,71,53
14783,Corey Anthony,Alcorn State,2009,So,15,10,1,0,0,0,10,1,1,16,3,1,8,3
14785,Derrick Blackwell,Alcorn State,2009,Jr,14,1,0,0,0,0,11,3,2,17,4,4,14,10
14786,Gifford Blakely,Alcorn State,2009,RS-Sr,3,1,0,0,0,0,4,2,2,0,0,0,5,3
9460,Jonathan Boyd,Alcorn State,2009,RS-Sr,37,17,3,0,0,0,61,14,3,167,66,40,57,44
14795,Tony Eackles,Alcorn State,2009,Fr,29,15,3,1,0,0,31,14,1,14,4,4,61,40
14787,Ian Francis,Alcorn State,2009,Fr,124,70,30,20,17,8,64,20,10,0,0,0,108,64
14789,JaMarkus Holt,Alcorn State,2009,RS-Sr,78,41,16,1,1,1,89,22,16,1,0,0,74,39
14794,Shauvanta Ingram,Alcorn State,2009,Fr,25,9,4,0,0,0,44,18,4,35,8,7,33,20
14793,Michael Martin,Alcorn State,2009,Fr,7,3,0,0,0,0,5,3,0,0,0,0,8,3
14788,Jamar Ragland,Alcorn State,2009,Fr,12,6,0,2,2,0,27,5,2,12,3,3,9,6
14782,Brandon Rogers,Alcorn State,2009,RS-Sr,39,18,4,0,0,0,26,9,2,32,9,8,44,31
14781,Alex Savannah,Alcorn State,2009,So,17,4,1,0,0,0,24,9,2,14,5,5,22,7
14790,Keith Searcy,Alcorn State,2009,Fr,38,20,6,0,0,0,109,37,9,15,1,1,59,41
14792,Michael Starks,Alcorn State,2009,Fr,30,17,10,6,4,4,9,3,2,0,0,0,26,10
16942,Mike Bersch,American University,2009,Fr,5,3,2,0,0,0,4,2,0,39,12,11,2,2
16939,Jordan Borucki,American University,2009,Fr,0,0,0,0,0,0,0,0,0,0,0,0,0,0
16935,Daniel Fisher,American University,2009,Fr,1,1,0,0,0,0,5,2,2,0,0,0,2,1
16944,Riley Grafft,American University,2009,So,46,34,20,8,7,5,82,32,27,18,4,4,38,27
