GMID,Name,School,Year,Grade,PerRimABlkd,Per2PJABlkd,Per3PABlkd,PerRimMissesRbded,Per2PJMissesRbded,Per3PMissesRbded,PerS2APB,PerL2PAPB,PerPBDunked
5498,Charvez Davis,Alabama,2009,Jr,0.00%,7.14%,1.39%,25.00%,20.00%,23.91%,0.00%,0.00%,NA
44725,Chris Dixon,Alabama,2009,Fr,NA,NA,NA,NA,NA,NA,NA,NA,NA
5497,Ben Eblen,Alabama,2009,Fr,0.00%,50.00%,0.00%,100.00%,0.00%,0.00%,0.00%,0.00%,NA
2187,JaMychal Green,Alabama,2009,So,15.22%,16.82%,0.00%,51.22%,40.32%,0.00%,21.74%,9.35%,13.33%
2356,Senario Hillman,Alabama,2009,Jr,22.00%,5.08%,0.00%,46.43%,23.81%,38.46%,6.00%,1.69%,0.00%
5499,Chris Hines,Alabama,2009,Jr,7.69%,9.68%,0.00%,66.67%,30.43%,0.00%,23.08%,19.35%,0.00%
5503,Justin Knox,Alabama,2009,Jr,11.43%,7.94%,0.00%,26.32%,41.46%,NA,31.43%,14.29%,5.00%
5504,Justin Luquire,Alabama,2009,Sr,NA,NA,NA,NA,NA,NA,NA,NA,NA
5506,Tony Mitchell,Alabama,2009,Fr,3.57%,5.66%,0.00%,53.33%,35.90%,32.14%,26.79%,16.98%,25.00%
5495,Andrew Steele,Alabama,2009,RS-So,0.00%,50.00%,0.00%,NA,50.00%,0.00%,0.00%,50.00%,0.00%
5505,Mikhail Torrance,Alabama,2009,Sr,7.41%,1.30%,2.74%,33.33%,45.45%,36.36%,1.23%,2.60%,0.00%
17582,Billy Allen,Albany,2009,So,0.00%,0.00%,0.00%,NA,NA,50.00%,0.00%,0.00%,NA
17596,Tim Ambrose,Albany,2009,Jr,0.00%,6.25%,0.00%,50.00%,9.09%,37.50%,10.00%,0.00%,0.00%
17590,Logan Aronhalt,Albany,2009,Fr,NA,25.00%,10.00%,NA,40.00%,22.22%,NA,25.00%,0.00%
17591,Louis Barraza,Albany,2009,Jr,NA,NA,0.00%,NA,NA,0.00%,NA,NA,NA
17593,Mike Black,Albany,2009,Fr,0.00%,14.29%,0.00%,0.00%,50.00%,40.00%,0.00%,0.00%,NA
17584,Brett Gifford,Albany,2009,Sr,NA,25.00%,NA,NA,33.33%,NA,NA,25.00%,0.00%
4414,Will Harris,Albany,2009,Sr,20.00%,17.65%,5.56%,50.00%,42.86%,27.27%,20.00%,5.88%,0.00%
17592,Mike Johnson,Albany,2009,Sr,100.00%,14.29%,0.00%,50.00%,40.00%,0.00%,0.00%,0.00%,NA
17588,Jake Lindfors,Albany,2009,RS-Fr,0.00%,33.33%,0.00%,50.00%,0.00%,25.00%,50.00%,0.00%,0.00%
17595,Scotty McRae,Albany,2009,Sr,0.00%,0.00%,0.00%,100.00%,40.00%,0.00%,50.00%,0.00%,0.00%
17583,Blake Metcalf,Albany,2009,Fr,50.00%,0.00%,NA,50.00%,0.00%,NA,100.00%,50.00%,0.00%
17585,Derrek Tartt,Albany,2009,Fr,33.33%,0.00%,0.00%,50.00%,100.00%,66.67%,0.00%,0.00%,NA
17586,Fran Urli,Albany,2009,Jr,20.00%,50.00%,0.00%,100.00%,0.00%,100.00%,20.00%,0.00%,0.00%
