GMID,Name,School,Year,Grade,S2PA,S2PM,S2PMAss,DunkA,DunkM,L2PA,L2PM,L2PMAss,A3P,M3P,Ass3PM,FTA,FTM
20991,Tyler Webb,Appalachian State,2009,Sr,6,6,2,0,0,12,3,2,16,7,7,5,2
20979,Andre Williamson,Appalachian State,2009,So,30,20,10,6,6,60,21,9,0,0,0,44,31
20987,Marcus Wright,Appalachian State,2009,So,22,14,4,0,0,50,22,6,36,12,8,27,19
6680,Ty Abbott,Arizona State,2009,Jr,31,14,4,2,1,57,19,11,134,50,47,39,33
1954,Eric Boateng,Arizona State,2009,Sr,104,76,40,17,17,55,26,8,0,0,0,82,41
4734,Derek Glasser,Arizona State,2009,Sr,26,9,5,0,0,69,19,3,82,30,14,49,42
6682,Marcus Jackson,Arizona State,2009,Fr,0,0,0,0,0,0,0,0,0,0,0,0,0
6676,Rihards Kuksiks,Arizona State,2009,Jr,32,20,7,1,1,41,18,4,158,58,51,32,28
6679,Trent Lockett,Arizona State,2009,Fr,39,26,12,6,6,56,19,9,14,3,3,39,27
6674,Jamelle McMillan,Arizona State,2009,Jr,37,19,8,0,0,17,6,5,63,26,26,28,16
6677,Ruslan Pateev,Arizona State,2009,Fr,4,3,2,0,0,10,2,1,0,0,0,6,4
6678,Taylor Rohde,Arizona State,2009,So,21,12,7,0,0,6,3,2,2,0,0,18,9
6681,Victor Rudd,Arizona State,2009,Fr,2,1,1,0,0,1,1,0,9,1,0,2,1
6675,Jerren Shipp,Arizona State,2009,Sr,30,22,12,0,0,15,6,2,32,10,9,17,12
6671,Brandon Thompson,Arizona State,2009,Fr,0,0,0,0,0,0,0,0,0,0,0,0,0
6673,Demetrius Walker,Arizona State,2009,Fr,7,1,0,0,0,13,2,0,18,4,2,15,12
6649,Kyle Fogg,Arizona,2009,So,28,16,3,0,0,67,22,4,89,39,38,42,34
6653,Solomon Hill,Arizona,2009,Fr,59,38,13,4,2,48,16,2,12,3,3,39,27
6647,Jamelle Horne,Arizona,2009,Jr,22,14,5,5,5,69,27,6,79,36,32,29,16
6641,Alex Jacobson,Arizona,2009,So,1,1,0,0,0,6,4,3,1,1,0,4,3
2540,Lamont Jones,Arizona,2009,Fr,23,13,4,0,0,63,25,4,40,8,8,27,19
6646,Garland Judkins,Arizona,2009,RS-So,0,0,0,0,0,1,0,0,0,0,0,0,0
6642,Brendon Lavender,Arizona,2009,So,6,1,0,0,0,9,3,0,46,12,10,10,7
6650,Kyryl Natyazhko,Arizona,2009,Fr,15,6,4,2,1,31,9,3,3,1,1,18,14
6648,Kevin Parrom,Arizona,2009,Fr,18,11,5,0,0,26,5,2,11,1,1,13,10
6643,D.J. Shumpert,Arizona,2009,So,0,0,0,0,0,2,0,0,0,0,0,0,0
6644,Derrick Williams,Arizona,2009,Fr,132,96,61,28,25,82,20,10,12,4,4,169,113
6645,Dondre Wise,Arizona,2009,So,0,0,0,0,0,0,0,0,0,0,0,0,0
2331,Nic Wise,Arizona,2009,Sr,39,18,2,0,0,96,32,9,108,36,26,80,71
14852,Hugh Barnett,Arkansas-Pine Bluff ,2009,Sr,7,4,1,0,0,4,0,0,0,0,0,9,6
14858,Terrance Calvin,Arkansas-Pine Bluff ,2009,Sr,63,29,14,0,0,100,27,7,18,4,2,78,60
14856,Stephan Collins,Arkansas-Pine Bluff ,2009,Fr,5,4,2,0,0,3,2,0,6,2,2,5,2
14851,George Davis,Arkansas-Pine Bluff ,2009,Sr,36,21,12,4,3,59,24,18,12,5,5,34,20
14861,Tyrees Glass,Arkansas-Pine Bluff ,2009,Sr,71,42,27,0,0,45,11,7,16,4,3,121,75
14859,Terrell Kennedy,Arkansas-Pine Bluff ,2009,So,31,16,8,0,0,9,3,3,5,2,2,12,8
14847,Antoni Lasker,Arkansas-Pine Bluff ,2009,So,0,0,0,0,0,0,0,0,1,0,0,0,0
14862,Vincent Martin,Arkansas-Pine Bluff ,2009,Fr,0,0,0,0,0,3,1,0,8,2,2,4,2
14850,Gavin Montgomery,Arkansas-Pine Bluff ,2009,Jr,6,3,2,0,0,3,0,0,10,4,4,14,7
14849,Dominic Moore,Arkansas-Pine Bluff ,2009,Jr,8,4,3,1,1,13,2,0,9,2,2,17,8
14848,Antonio Ootesey,Arkansas-Pine Bluff ,2009,Jr,1,0,0,0,0,0,0,0,4,0,0,2,1
14854,Ricky Parks,Arkansas-Pine Bluff ,2009,Jr,7,4,2,0,0,7,0,0,22,4,4,13,7
14846,Allen Smith,Arkansas-Pine Bluff ,2009,Jr,8,2,1,0,0,19,2,0,83,28,25,19,12
14860,Terry Tidwell,Arkansas-Pine Bluff ,2009,Fr,8,5,3,0,0,1,0,0,0,0,0,6,3
14855,Savalace Townsend,Arkansas-Pine Bluff ,2009,So,29,12,5,0,0,75,18,1,63,21,17,55,43
14857,Tavaris Washington,Arkansas-Pine Bluff ,2009,Sr,90,54,26,16,14,16,4,3,22,4,4,69,46
14853,Lebaron Weathers,Arkansas-Pine Bluff ,2009,Sr,51,27,12,4,4,108,42,21,68,23,21,53,33
4550,Martavius Adams,Arkansas State ,2009,So,108,78,52,13,12,93,30,15,0,0,0,73,43
19725,Rashad Allison,Arkansas State ,2009,Jr,28,14,1,0,0,73,27,9,36,12,11,40,29
19719,Donald Boone,Arkansas State ,2009,RS-Sr,0,0,0,0,0,0,0,0,0,0,0,0,0
5976,JeJuan Brown,Arkansas State ,2009,Jr,32,24,12,3,3,36,9,2,7,4,4,25,15
19718,Daniel Bryant,Arkansas State ,2009,So,20,6,0,0,0,15,6,1,79,24,16,11,7
19721,Justin Butler,Arkansas State ,2009,Jr,9,3,1,1,0,4,1,0,2,0,0,17,13
19726,Trey Finn,Arkansas State ,2009,Fr,30,16,4,0,0,51,14,5,59,21,20,36,26
19724,Michael Lance,Arkansas State ,2009,Sr,0,0,0,0,0,1,0,0,1,0,0,0,0
19716,Brandon Peterson,Arkansas State ,2009,Fr,55,29,13,5,3,56,15,5,2,0,0,59,35
19717,Brandon Reed,Arkansas State ,2009,Fr,57,31,2,2,2,116,37,10,120,40,36,60,44
19715,Adam Sterrenberg,Arkansas State ,2009,Fr,3,2,1,0,0,6,2,1,17,5,4,8,5
19720,Jeremy Thomas,Arkansas State ,2009,Jr,36,24,10,4,4,9,3,0,0,0,0,38,19
5539,Marcus Britt,Arkansas,2009,Jr,12,8,2,0,0,21,11,1,20,6,6,4,4
5536,Glenn Bryant,Arkansas,2009,Fr,14,10,6,1,1,5,2,2,15,4,4,13,7
5543,Rotnei Clarke,Arkansas,2009,So,12,8,1,0,0,45,22,5,133,55,44,45,38
5545,Stephen Cox,Arkansas,2009,Jr,2,0,0,0,0,0,0,0,0,0,0,2,1
5537,Jemal Farmer,Arkansas,2009,Jr,27,18,11,3,3,48,13,6,13,6,5,34,23
3642,Courtney Fortson,Arkansas,2009,So,67,29,3,1,1,48,10,1,51,13,7,67,54
5535,Delvon Johnson,Arkansas,2009,Jr,23,15,10,4,4,13,5,3,0,0,0,11,6
5534,Cody Lay,Arkansas,2009,Fr,0,0,0,0,0,0,0,0,0,0,0,0,0
5542,Nick Mason,Arkansas,2009,So,0,0,0,0,0,0,0,0,0,0,0,0,0
5532,Brandon Mitchell,Arkansas,2009,RS-Fr,1,1,0,0,0,3,1,0,2,0,0,0,0
5538,Julysses Nobles,Arkansas,2009,Fr,9,4,0,0,0,13,4,1,20,7,7,21,12
5540,Marshawn Powell,Arkansas,2009,Fr,124,78,44,14,12,109,39,11,26,7,3,89,62
5533,Chris Roberts,Arkansas,2009,Fr,0,0,0,0,0,0,0,0,0,0,0,0,0
5541,Michael Sanchez,Arkansas,2009,So,7,3,1,0,0,0,0,0,1,0,0,9,4
2330,Michael Washington,Arkansas,2009,Sr,95,57,40,15,14,85,28,13,22,6,5,119,77
5544,Stefan Welsh,Arkansas,2009,Sr,23,15,5,0,0,23,3,0,62,17,17,24,13
16988,Joe Clark,Army,2009,So,0,0,0,0,0,0,0,0,0,0,0,0,0
16984,Ella Ellis,Army,2009,Fr,16,7,4,0,0,22,7,5,14,2,2,17,10
16996,Nathan Hedgecock,Army,2009,Jr,0,0,0,0,0,0,0,0,12,4,4,0,0
16987,Jeremy Hence,Army,2009,Jr,39,21,11,0,0,20,3,1,28,8,8,31,15
16995,Mitch McDonald,Army,2009,Jr,9,3,1,0,0,9,4,2,2,0,0,2,2
47965,C.J. McElrath,Army,2009,Fr,0,0,0,0,0,0,0,0,0,0,0,0,0
16991,Josh Miller,Army,2009,Sr,24,13,2,0,0,42,11,3,75,23,16,22,13
